group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1NDMFN9A5G25G,1389916693409,0,0,train,1,[0 1],[0 1],1 2 4 2 3 6,6,2 2 1 1 2,[0 2];[0 0];[0 0];[0 0];[7 0],2 0 0 0 0,2639 7576 7532 6896 14597,50 50 50 49 49,0 1 2 3 4,39240,2,[0 1],1616985405.534,Sun Mar 28 2021 21:36:45 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,1,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,1250 12068 4101,50 51 49,0 1 2,17419,10,[0 1],1616985430.591,Sun Mar 28 2021 21:37:10 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,2,train,1,[1 0],[1 0],1 2 4 2 3 2 3 6,8,1 2 1 1 1 1 2,[4 0];[0 0];[0 0];[0 0];[0 0];[0 0];[7 0],4 0 0 0 0 0 7,2213 6856 3742 2403 1870 1903 2986,49 50 50 49 50 49 49,0 1 2 3 4 5 6,21973,11,[0 1],1616985455.812,Sun Mar 28 2021 21:37:35 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,3,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],2 0 6,28379 6591 3709,50 50 49,0 1 2,38679,8,[0 1],1616985499.544,Sun Mar 28 2021 21:38:19 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,4,train,1,[1 0],[1 0],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],0 0 0,2619 4498 3805,50 51 49,0 1 2,10922,0,[0 1],1616985513.702,Sun Mar 28 2021 21:38:33 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,5,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,1473 4084 2646,49 49 49,0 1 2,8203,11,[0 1],1616985525.314,Sun Mar 28 2021 21:38:45 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,6,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,1412 2689 2692,49 50 49,0 1 2,6793,6,[0 1],1616985534.858,Sun Mar 28 2021 21:38:54 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,7,train,1,[0 1],[0 1],1 2 5 2 5 2 4 6,8,2 3 1 3 1 2 2,[0 2];[0 0];[0 0];[0 0];[0 0];[0 0];[4 6],2 0 0 0 0 0 6,1648 3799 2634 3186 2524 3068 2061,50 51 50 51 50 50 49,0 1 2 3 4 5 6,18920,8,[0 1],1616985556.17,Sun Mar 28 2021 21:39:16 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,8,train,1,[0 1],[0 1],1 2 3 2 3 2 3 6,8,1 1 1 1 1 1 2,[4 0];[0 0];[0 0];[0 0];[0 0];[0 0];[7 0],0 0 0 0 0 0 0,1430 2620 1992 1967 1748 1727 2444,49 49 50 49 50 49 49,0 1 2 3 4 5 6,13928,0,[0 1],1616985572.909,Sun Mar 28 2021 21:39:32 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,9,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,1489 3423 3110,49 51 49,0 1 2,8022,8,[0 1],1616985584.256,Sun Mar 28 2021 21:39:44 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,10,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],0 0 4,1447 3590 2665,50 50 49,0 1 2,7702,4,[0 1],1616985594.861,Sun Mar 28 2021 21:39:54 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,11,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,92566 5770 3909,50 51 49,0 1 2,102245,10,[0 1],1616985700.13,Sun Mar 28 2021 21:41:40 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,12,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],2 0 6,1548 2450 2721,50 50 49,0 1 2,6719,8,[0 1],1616985709.573,Sun Mar 28 2021 21:41:49 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,13,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,2363 3900 2879,49 51 49,0 1 2,9142,8,[0 1],1616985722.358,Sun Mar 28 2021 21:42:02 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,14,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,2254 4262 3334,50 49 49,0 1 2,9850,7,[0 1],1616985734.992,Sun Mar 28 2021 21:42:14 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,15,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,1534 4009 3080,50 51 49,0 1 2,8623,10,[0 1],1616985746.417,Sun Mar 28 2021 21:42:26 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,16,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,1662 3601 2520,49 51 49,0 1 2,7783,8,[0 1],1616985758.331,Sun Mar 28 2021 21:42:38 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,17,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],0 0 4,1822 3403 2664,50 50 49,0 1 2,7889,4,[0 1],1616985768.962,Sun Mar 28 2021 21:42:48 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,18,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,2610 3125 2514,49 51 49,0 1 2,8249,8,[0 1],1616985779.818,Sun Mar 28 2021 21:42:59 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,19,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],0 0 4,1537 2910 2788,50 50 49,0 1 2,7235,4,[0 1],1616985789.534,Sun Mar 28 2021 21:43:09 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,20,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,39008 3796 2623,49 50 49,0 1 2,45427,6,[0 1],1616985838.713,Sun Mar 28 2021 21:43:58 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,21,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,1021 3389 3484,49 49 49,0 1 2,7894,11,[0 1],1616985849.981,Sun Mar 28 2021 21:44:09 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,22,train,1,[0 1],[0 1],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],0 0 0,1139 2740 2936,49 49 49,0 1 2,6815,0,[0 1],1616985859.497,Sun Mar 28 2021 21:44:19 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,23,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,1106 2515 2694,50 49 49,0 1 2,6315,7,[0 1],1616985869.49,Sun Mar 28 2021 21:44:29 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,24,train,1,[0 1],[0 1],1 2 4 2 5 6,6,2 2 1 3 2,[0 2];[0 0];[0 0];[0 0];[0 8],2 0 0 0 8,1963 2797 2465 2966 3043,50 50 50 51 49,0 1 2 3 4,13234,10,[0 1],1616985885.977,Sun Mar 28 2021 21:44:45 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,25,train,1,[0 1],[0 1],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],0 0 0,1093 2780 2827,49 49 49,0 1 2,6700,0,[0 1],1616985899.708,Sun Mar 28 2021 21:44:59 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,26,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],0 0 4,1786 4029 2277,50 50 49,0 1 2,8092,4,[0 1],1616985919.601,Sun Mar 28 2021 21:45:19 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,27,train,1,[0 1],[0 1],1 2 3 2 3 6,6,1 1 1 1 2,[4 0];[0 0];[0 0];[0 0];[7 0],0 0 0 0 0,1092 3868 2494 2538 2739,49 49 50 49 49,0 1 2 3 4,12731,0,[0 1],1616985936.193,Sun Mar 28 2021 21:45:36 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,28,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,986 2066 2240,50 49 49,0 1 2,5292,7,[0 1],1616985944.642,Sun Mar 28 2021 21:45:44 GMT-0500 (Central Daylight Time),1
A,A1NDMFN9A5G25G,1389916693409,0,29,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],0 0 4,39005 2855 2260,50 50 49,0 1 2,44120,4,[0 1],1616985991.449,Sun Mar 28 2021 21:46:31 GMT-0500 (Central Daylight Time),1
