group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1Q56N80RJLQ7S,1382906615629,0,0,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,1856 14033 3539,49 51 50,0 1 2,19428,6,[1 0],1616967375.091,Sun Mar 28 2021 17:36:15 GMT-0400 (Eastern Daylight Time),0
A,A1Q56N80RJLQ7S,1382906615629,0,1,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],0 0 8,684 10643 2405,49 50 50,0 1 2,13732,8,[1 0],1616967395.81,Sun Mar 28 2021 17:36:35 GMT-0400 (Eastern Daylight Time),0
A,A1Q56N80RJLQ7S,1382906615629,0,2,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],4 0 0,718 4388 3016,49 50 50,0 1 2,8122,4,[1 0],1616967407.924,Sun Mar 28 2021 17:36:47 GMT-0400 (Eastern Daylight Time),0
A,A1Q56N80RJLQ7S,1382906615629,0,3,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,1654 3590 3657,49 49 50,0 1 2,8901,11,[1 0],1616967421.526,Sun Mar 28 2021 17:37:01 GMT-0400 (Eastern Daylight Time),0
A,A1Q56N80RJLQ7S,1382906615629,0,4,train,1,[0 1],[1 0],1 2 4 2 5 2 5 6,8,2 2 1 3 1 3 2,[2 0];[0 0];[0 0];[0 0];[0 0];[0 0];[8 0],2 0 0 0 0 0 8,2500 4756 2789 2726 2391 1907 1713 285,50 51 49 50 49 50 51 50,0 1 2 3 4 5 7,19067,10,[1 0],1616967442.789,Sun Mar 28 2021 17:37:22 GMT-0400 (Eastern Daylight Time),0
A,A1Q56N80RJLQ7S,1382906615629,0,5,train,1,[1 0],[0 1],1 2 5 2 3 6,6,1 3 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 7],4 0 0 0 7,457 3424 1950 2670 2516,49 50 49 49 50,0 1 2 3 4,11017,11,[1 0],1616967457.611,Sun Mar 28 2021 17:37:37 GMT-0400 (Eastern Daylight Time),0
A,A1Q56N80RJLQ7S,1382906615629,0,6,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,1776 2932 2561,49 51 50,0 1 2,7269,6,[1 0],1616967467.683,Sun Mar 28 2021 17:37:47 GMT-0400 (Eastern Daylight Time),0
A,A1Q56N80RJLQ7S,1382906615629,0,7,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],0 0 7,1009 3636 2558,50 49 50,0 1 2,7203,7,[1 0],1616967477.377,Sun Mar 28 2021 17:37:57 GMT-0400 (Eastern Daylight Time),0
A,A1Q56N80RJLQ7S,1382906615629,0,8,train,1,[1 0],[0 1],1 2 3 2 5 6,6,1 1 1 3 2,[0 4];[0 0];[0 0];[0 0];[8 0],4 0 0 0 0,4063 3414 3055 2790 2872,49 49 49 50 50,0 1 2 3 4,16194,4,[1 0],1616967495.801,Sun Mar 28 2021 17:38:15 GMT-0400 (Eastern Daylight Time),0
A,A1Q56N80RJLQ7S,1382906615629,0,9,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,1990 4015 2388,50 51 50,0 1 2,8393,8,[1 0],1616967506.802,Sun Mar 28 2021 17:38:26 GMT-0400 (Eastern Daylight Time),0
