group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1S5SPI4NQPGSI,1613771615823,0,0,train,1,[1 0],[0 1],1 2 5 2 3 6,6,2 3 1 1 2,[2 0];[0 0];[0 0];[0 0];[0 7],0 0 0 0 7,1590 4834 20016 6821 4188 5303,32 97 98 98 99 97,1 2 3 4 5,42752,7,[1 0],1616972132.686,Sun Mar 28 2021 18:55:32 GMT-0400 (Eastern Daylight Time),0
A,A1S5SPI4NQPGSI,1613771615823,0,1,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],0 0 8,1659 3517 4244,98 98 97,0 1 2,9420,8,[1 0],1616972149.005,Sun Mar 28 2021 18:55:49 GMT-0400 (Eastern Daylight Time),0
A,A1S5SPI4NQPGSI,1613771615823,0,2,train,1,[0 1],[1 0],1 2 3 2 4 6,6,1 1 1 2 2,[0 4];[0 0];[0 0];[0 0];[6 4],0 0 0 0 6,853 5153 3562 2619 2361,98 99 98 97 98,0 1 2 3 4,14548,6,[1 0],1616972168.835,Sun Mar 28 2021 18:56:08 GMT-0400 (Eastern Daylight Time),0
A,A1S5SPI4NQPGSI,1613771615823,0,3,train,1,[0 1],[1 0],1 2 5 2 4 6,6,2 3 1 2 2,[2 0];[0 0];[0 0];[0 0];[6 4],2 0 0 0 6,439 2888 2184 908 2423 2281,97 98 99 98 97 98,0 1 3 4 5,11123,8,[1 0],1616972183.758,Sun Mar 28 2021 18:56:23 GMT-0400 (Eastern Daylight Time),0
A,A1S5SPI4NQPGSI,1613771615823,0,4,train,1,[1 0],[0 1],1 2 5 2 3 6,6,2 3 1 1 2,[2 0];[0 0];[0 0];[0 0];[0 7],0 0 0 0 7,137 908 2508 2927 1766 3315,32 97 98 98 99 97,1 2 3 4 5,11561,7,[1 0],1616972198.754,Sun Mar 28 2021 18:56:38 GMT-0400 (Eastern Daylight Time),0
A,A1S5SPI4NQPGSI,1613771615823,0,5,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,1336 5900 2594,98 97 98,0 1 2,9830,8,[1 0],1616972211.718,Sun Mar 28 2021 18:56:51 GMT-0400 (Eastern Daylight Time),0
A,A1S5SPI4NQPGSI,1613771615823,0,6,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],0 0 8,1339 4577 3385,98 98 97,0 1 2,9301,8,[1 0],1616972224.504,Sun Mar 28 2021 18:57:04 GMT-0400 (Eastern Daylight Time),0
A,A1S5SPI4NQPGSI,1613771615823,0,7,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],0 0 7,1569 4960 3395,97 99 97,0 1 2,9924,7,[1 0],1616972237.82,Sun Mar 28 2021 18:57:17 GMT-0400 (Eastern Daylight Time),0
A,A1S5SPI4NQPGSI,1613771615823,0,8,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,1962 5525 2781,98 97 98,0 1 2,10268,8,[1 0],1616972250.531,Sun Mar 28 2021 18:57:30 GMT-0400 (Eastern Daylight Time),0
A,A1S5SPI4NQPGSI,1613771615823,0,9,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,1040 4299 2664,98 97 98,0 1 2,8003,6,[1 0],1616972260.921,Sun Mar 28 2021 18:57:40 GMT-0400 (Eastern Daylight Time),0
A,A1S5SPI4NQPGSI,1613771615823,0,10,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,1054 3306 2780,98 97 98,0 1 2,7140,6,[1 0],1616972270.635,Sun Mar 28 2021 18:57:50 GMT-0400 (Eastern Daylight Time),0
A,A1S5SPI4NQPGSI,1613771615823,0,11,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,831 2603 3270,98 99 97,0 1 2,6704,11,[1 0],1616972279.946,Sun Mar 28 2021 18:57:59 GMT-0400 (Eastern Daylight Time),0
A,A1S5SPI4NQPGSI,1613771615823,0,12,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,1142 4345 2482,98 97 98,0 1 2,7969,6,[1 0],1616972290.77,Sun Mar 28 2021 18:58:10 GMT-0400 (Eastern Daylight Time),0
A,A1S5SPI4NQPGSI,1613771615823,0,13,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],4 0 0,868 3234 2962,98 98 97,0 1 2,7064,4,[1 0],1616972300.44,Sun Mar 28 2021 18:58:20 GMT-0400 (Eastern Daylight Time),0
A,A1S5SPI4NQPGSI,1613771615823,0,14,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,1131 2776 2429,98 97 98,0 1 2,6336,6,[1 0],1616972309.147,Sun Mar 28 2021 18:58:29 GMT-0400 (Eastern Daylight Time),0
A,A1S5SPI4NQPGSI,1613771615823,0,15,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,788 3481 2494,98 97 98,0 1 2,6763,6,[1 0],1616972319.036,Sun Mar 28 2021 18:58:39 GMT-0400 (Eastern Daylight Time),0
A,A1S5SPI4NQPGSI,1613771615823,0,16,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,797 3740 2584,98 97 98,0 1 2,7121,6,[1 0],1616972328.665,Sun Mar 28 2021 18:58:48 GMT-0400 (Eastern Daylight Time),0
A,A1S5SPI4NQPGSI,1613771615823,0,17,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],4 0 0,818 3300 2605,98 98 97,0 1 2,6723,4,[1 0],1616972338.396,Sun Mar 28 2021 18:58:58 GMT-0400 (Eastern Daylight Time),0
A,A1S5SPI4NQPGSI,1613771615823,0,18,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,913 5283 2559,97 97 98,0 1 2,8755,8,[1 0],1616972350.136,Sun Mar 28 2021 18:59:10 GMT-0400 (Eastern Daylight Time),0
