group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1WQACYPLESVGL,1915453253435,0,0,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,9887 13648 43666 5694 26938 20029 14061,122 49 122 122 49 32 49,1 4 6,133923,8,[1 0],1616986357.6,Sun Mar 28 2021 22:52:37 GMT-0400 (Eastern Daylight Time),0
A,A1WQACYPLESVGL,1915453253435,0,1,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,1397 38130 64957,50 51 50,0 1 2,104484,10,[1 0],1616986510.528,Sun Mar 28 2021 22:55:10 GMT-0400 (Eastern Daylight Time),0
A,A1WQACYPLESVGL,1915453253435,0,2,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,8565 8721 101594,50 50 50,0 1 2,118880,2,[1 0],1616986658.113,Sun Mar 28 2021 22:57:38 GMT-0400 (Eastern Daylight Time),0
A,A1WQACYPLESVGL,1915453253435,0,3,train,1,[1 0],[0 1],1 2 4 2 3 6,6,1 2 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 7],4 0 0 0 7,1061 22680 8676 46740 9268,49 49 50 50 50,0 1 2 3 4,88425,11,[1 0],1616986752.71,Sun Mar 28 2021 22:59:12 GMT-0400 (Eastern Daylight Time),0
A,A1WQACYPLESVGL,1915453253435,0,4,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,2298 20814 17128,50 51 50,0 1 2,40240,10,[1 0],1616986804.159,Sun Mar 28 2021 23:00:04 GMT-0400 (Eastern Daylight Time),0
A,A1WQACYPLESVGL,1915453253435,0,5,train,1,[1 0],[0 1],1 2 3 2 5 2 3 6,8,1 1 1 3 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 0];[0 0];[0 7],4 0 0 0 0 0 7,7394 2976 3168 42564 5143 35232 2748,49 50 49 51 49 50 50,0 1 2 3 4 5 6,99225,11,[1 0],1616986911.132,Sun Mar 28 2021 23:01:51 GMT-0400 (Eastern Daylight Time),0
A,A1WQACYPLESVGL,1915453253435,0,6,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,44214 2960 2454,49 49 49,0 1 2,49628,8,[1 0],1616986994.068,Sun Mar 28 2021 23:03:14 GMT-0400 (Eastern Daylight Time),0
A,A1WQACYPLESVGL,1915453253435,0,7,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,516 2346 1878,49 49 49,0 1 2,4740,8,[1 0],1616987012.415,Sun Mar 28 2021 23:03:32 GMT-0400 (Eastern Daylight Time),0
A,A1WQACYPLESVGL,1915453253435,0,8,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,790 11505 2345,50 51 50,0 1 2,14640,10,[1 0],1616987030.589,Sun Mar 28 2021 23:03:50 GMT-0400 (Eastern Daylight Time),0
A,A1WQACYPLESVGL,1915453253435,0,9,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,678 2208 2285,50 51 50,0 1 2,5171,10,[1 0],1616987039.606,Sun Mar 28 2021 23:03:59 GMT-0400 (Eastern Daylight Time),0
