group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A27VFM67RPD2L5,1607125636053,0,0,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,2936 10312 4685,49 51 50,0 1 2,17933,10,[1 0],1617015808.431,Mon Mar 29 2021 07:03:28 GMT-0400 (Eastern Daylight Time),1
A,A27VFM67RPD2L5,1607125636053,0,1,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,2797 5830 7001,50 50 50,0 1 2,15628,8,[1 0],1617015835.376,Mon Mar 29 2021 07:03:55 GMT-0400 (Eastern Daylight Time),1
A,A27VFM67RPD2L5,1607125636053,0,2,train,1,[1 0],[0 1],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],0 0 4,2208 11035 6948,49 50 50,0 1 2,20191,4,[1 0],1617015862.079,Mon Mar 29 2021 07:04:22 GMT-0400 (Eastern Daylight Time),1
A,A27VFM67RPD2L5,1607125636053,0,3,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,3155 8323 4067,50 50 50,0 1 2,15545,6,[1 0],1617015883.384,Mon Mar 29 2021 07:04:43 GMT-0400 (Eastern Daylight Time),1
A,A27VFM67RPD2L5,1607125636053,0,4,train,1,[0 1],[1 0],1 2 5 2 3 6,6,1 3 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 7],0 0 0 0 0,2138 6479 4445 4690 4607,50 51 49 49 50,0 1 2 3 4,22359,0,[1 0],1617015910.226,Mon Mar 29 2021 07:05:10 GMT-0400 (Eastern Daylight Time),1
A,A27VFM67RPD2L5,1607125636053,0,5,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,5800 7035 4050,49 49 50,0 1 2,16885,2,[1 0],1617015931.565,Mon Mar 29 2021 07:05:31 GMT-0400 (Eastern Daylight Time),1
A,A27VFM67RPD2L5,1607125636053,0,6,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],0 0 7,2626 6130 3170,49 49 50,0 1 2,11926,7,[1 0],1617015946.52,Mon Mar 29 2021 07:05:46 GMT-0400 (Eastern Daylight Time),1
A,A27VFM67RPD2L5,1607125636053,0,7,train,1,[0 1],[1 0],1 2 3 2 4 6,6,1 1 1 2 2,[0 4];[0 0];[0 0];[0 0];[6 4],0 0 0 0 6,2511 7344 4328 4979 3440,50 49 49 50 50,0 1 2 3 4,22602,6,[1 0],1617015974.122,Mon Mar 29 2021 07:06:14 GMT-0400 (Eastern Daylight Time),1
A,A27VFM67RPD2L5,1607125636053,0,8,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,2792 5298 3030,50 49 50,0 1 2,11120,11,[1 0],1617015988.562,Mon Mar 29 2021 07:06:28 GMT-0400 (Eastern Daylight Time),1
A,A27VFM67RPD2L5,1607125636053,0,9,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,1894 5368 3875,50 49 50,0 1 2,11137,11,[1 0],1617016003.976,Mon Mar 29 2021 07:06:43 GMT-0400 (Eastern Daylight Time),1
A,A27VFM67RPD2L5,1607125636053,0,10,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,3925 3779 3583,50 49 50,0 1 2,11287,11,[1 0],1617016019.582,Mon Mar 29 2021 07:06:59 GMT-0400 (Eastern Daylight Time),1
A,A27VFM67RPD2L5,1607125636053,0,11,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,2670 3796 2660,50 49 50,0 1 2,9126,11,[1 0],1617016033.408,Mon Mar 29 2021 07:07:13 GMT-0400 (Eastern Daylight Time),1
A,A27VFM67RPD2L5,1607125636053,0,12,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,2419 5141 2758,49 50 50,0 1 2,10318,8,[1 0],1617016047.592,Mon Mar 29 2021 07:07:27 GMT-0400 (Eastern Daylight Time),1
A,A27VFM67RPD2L5,1607125636053,0,13,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,2377 4495 2769,50 49 50,0 1 2,9641,11,[1 0],1617016060.669,Mon Mar 29 2021 07:07:40 GMT-0400 (Eastern Daylight Time),1
A,A27VFM67RPD2L5,1607125636053,0,14,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,1966 3007 2850,50 49 50,0 1 2,7823,11,[1 0],1617016071.736,Mon Mar 29 2021 07:07:51 GMT-0400 (Eastern Daylight Time),1
A,A27VFM67RPD2L5,1607125636053,0,15,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,1245 3086 2693,50 50 50,0 1 2,7024,8,[1 0],1617016084.989,Mon Mar 29 2021 07:08:04 GMT-0400 (Eastern Daylight Time),1
A,A27VFM67RPD2L5,1607125636053,0,16,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,1296 2750 2730,50 50 50,0 1 2,6776,6,[1 0],1617016096.375,Mon Mar 29 2021 07:08:16 GMT-0400 (Eastern Daylight Time),1
A,A27VFM67RPD2L5,1607125636053,0,17,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,3257 2606 2704,50 49 50,0 1 2,8567,11,[1 0],1617016107.319,Mon Mar 29 2021 07:08:27 GMT-0400 (Eastern Daylight Time),1
A,A27VFM67RPD2L5,1607125636053,0,18,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,1358 3804 3691,49 51 50,0 1 2,8853,10,[1 0],1617016126.557,Mon Mar 29 2021 07:08:46 GMT-0400 (Eastern Daylight Time),1
A,A27VFM67RPD2L5,1607125636053,0,19,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,2030 3416 2485,50 49 50,0 1 2,7931,11,[1 0],1617016137.899,Mon Mar 29 2021 07:08:57 GMT-0400 (Eastern Daylight Time),1
A,A27VFM67RPD2L5,1607125636053,0,20,train,1,[0 1],[1 0],1 2 5 2 4 6,6,2 3 1 2 2,[2 0];[0 0];[0 0];[0 0];[6 4],2 0 0 0 6,1478 3630 3256 6436 3918,49 51 49 50 50,0 1 2 3 4,18718,8,[1 0],1617016162.012,Mon Mar 29 2021 07:09:22 GMT-0400 (Eastern Daylight Time),1
A,A27VFM67RPD2L5,1607125636053,0,21,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,1213 3150 2806,49 49 50,0 1 2,7169,2,[1 0],1617016173.616,Mon Mar 29 2021 07:09:33 GMT-0400 (Eastern Daylight Time),1
