group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2CEGS0NVDBCPT,1509949656281,0,0,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,8105 17060 7793,97 99 97,0 1 2,32958,7,[0 1],1616987162.208,Sun Mar 28 2021 22:06:02 GMT-0500 (Central Daylight Time),0
A,A2CEGS0NVDBCPT,1509949656281,0,1,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,1643 3755 3529,98 97 98,0 1 2,8927,8,[0 1],1616987175.597,Sun Mar 28 2021 22:06:15 GMT-0500 (Central Daylight Time),0
A,A2CEGS0NVDBCPT,1509949656281,0,2,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,940 6024 3307,98 99 97,0 1 2,10271,11,[0 1],1616987188.974,Sun Mar 28 2021 22:06:28 GMT-0500 (Central Daylight Time),0
A,A2CEGS0NVDBCPT,1509949656281,0,3,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,709 3958 2510,98 98 97,0 1 2,7177,8,[0 1],1616987199.18,Sun Mar 28 2021 22:06:39 GMT-0500 (Central Daylight Time),0
A,A2CEGS0NVDBCPT,1509949656281,0,4,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,1026 3934 2573,98 98 97,0 1 2,7533,8,[0 1],1616987210.139,Sun Mar 28 2021 22:06:50 GMT-0500 (Central Daylight Time),0
A,A2CEGS0NVDBCPT,1509949656281,0,5,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],2 0 0,532 3026 2271,97 99 97,0 1 2,5829,2,[0 1],1616987218.978,Sun Mar 28 2021 22:06:58 GMT-0500 (Central Daylight Time),0
A,A2CEGS0NVDBCPT,1509949656281,0,6,train,1,[1 0],[1 0],1 2 4 2 5 2 4 6,8,2 2 1 3 1 2 2,[0 2];[0 0];[0 0];[0 0];[0 0];[0 0];[4 6],0 0 0 0 0 0 4,454 2753 2327 2754 2503 2397 3662 424,97 97 97 98 98 97 99 98,0 1 2 3 4 5 7,17274,4,[0 1],1616987239.495,Sun Mar 28 2021 22:07:19 GMT-0500 (Central Daylight Time),0
A,A2CEGS0NVDBCPT,1509949656281,0,7,train,1,[1 0],[1 0],1 2 3 2 4 2 5 6,8,2 1 1 2 1 3 2,[0 2];[0 0];[0 0];[0 0];[0 0];[0 0];[0 8],0 0 0 0 0 0 0,1136 2258 2720 1935 1807 1948 2452,97 99 98 97 97 98 97,0 1 2 3 4 5 6,14256,0,[0 1],1616987257.784,Sun Mar 28 2021 22:07:37 GMT-0500 (Central Daylight Time),0
A,A2CEGS0NVDBCPT,1509949656281,0,8,train,1,[0 1],[0 1],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],0 0 0,1205 4287 6645,98 99 97,0 1 2,12137,0,[0 1],1616987272.879,Sun Mar 28 2021 22:07:52 GMT-0500 (Central Daylight Time),0
A,A2CEGS0NVDBCPT,1509949656281,0,9,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,952 3074 2876,98 97 98,0 1 2,6902,8,[0 1],1616987282.773,Sun Mar 28 2021 22:08:02 GMT-0500 (Central Daylight Time),0
