group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2EA2PN47ZWILX,1493108250335,0,0,train,1,[0 1],[1 0],1 2 3 2 4 6,6,2 1 1 2 2,[2 0];[0 0];[0 0];[0 0];[6 4],2 0 0 0 6,2942 10127 6935 4711 8232,97 98 97 99 98,0 1 2 3 4,32947,8,[1 0],1616450225.303,Mon Mar 22 2021 14:57:05 GMT-0700 (Pacific Daylight Time),0
A,A2EA2PN47ZWILX,1493108250335,0,1,train,1,[1 0],[0 1],1 2 5 2 5 2 4 6,8,1 3 1 3 1 2 2,[0 4];[0 0];[0 0];[0 0];[0 0];[0 0];[6 4],4 0 0 0 0 0 4,1920 4850 5181 5120 3775 4783 3935,98 97 98 97 98 99 98,0 1 2 3 4 5 6,29564,8,[1 0],1616450258.714,Mon Mar 22 2021 14:57:38 GMT-0700 (Pacific Daylight Time),0
A,A2EA2PN47ZWILX,1493108250335,0,2,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],0 0 7,1568 4527 4648,97 98 98,0 1 2,10743,7,[1 0],1616450273.272,Mon Mar 22 2021 14:57:53 GMT-0700 (Pacific Daylight Time),0
A,A2EA2PN47ZWILX,1493108250335,0,3,train,1,[1 0],[0 1],1 2 5 2 3 6,6,1 3 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 7],4 0 0 0 7,3206 3655 3376 4966 4784,98 97 98 98 98,0 1 2 3 4,19987,11,[1 0],1616450299.781,Mon Mar 22 2021 14:58:19 GMT-0700 (Pacific Daylight Time),0
A,A2EA2PN47ZWILX,1493108250335,0,4,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,1392 4279 3048,98 99 98,0 1 2,8719,6,[1 0],1616450311.827,Mon Mar 22 2021 14:58:31 GMT-0700 (Pacific Daylight Time),0
A,A2EA2PN47ZWILX,1493108250335,0,5,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],0 0 8,2176 2976 6736,98 97 97,0 1 2,11888,8,[1 0],1616450328.213,Mon Mar 22 2021 14:58:48 GMT-0700 (Pacific Daylight Time),0
A,A2EA2PN47ZWILX,1493108250335,0,6,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,931 3508 2912,98 98 98,0 1 2,7351,11,[1 0],1616450368.603,Mon Mar 22 2021 14:59:28 GMT-0700 (Pacific Daylight Time),0
A,A2EA2PN47ZWILX,1493108250335,0,7,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,968 3160 2646,98 99 98,0 1 2,6774,8,[1 0],1616450378.97,Mon Mar 22 2021 14:59:38 GMT-0700 (Pacific Daylight Time),0
A,A2EA2PN47ZWILX,1493108250335,0,8,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],4 0 0,2440 4295 2567,98 97 97,0 1 2,9302,4,[1 0],1616450391.304,Mon Mar 22 2021 14:59:51 GMT-0700 (Pacific Daylight Time),0
A,A2EA2PN47ZWILX,1493108250335,0,9,train,1,[0 1],[1 0],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],0 0 0,903 2688 3040,98 98 98,0 1 2,6631,0,[1 0],1616450401.654,Mon Mar 22 2021 15:00:01 GMT-0700 (Pacific Daylight Time),0
A,A2EA2PN47ZWILX,1493108250335,0,10,train,1,[0 1],[1 0],1 2 5 2 4 6,6,2 3 1 2 2,[2 0];[0 0];[0 0];[0 0];[6 4],2 0 0 0 6,905 3271 2807 3352 2743,97 97 98 99 98,0 1 2 3 4,13078,8,[1 0],1616450417.844,Mon Mar 22 2021 15:00:17 GMT-0700 (Pacific Daylight Time),0
A,A2EA2PN47ZWILX,1493108250335,0,11,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,878 3672 2735,98 98 98,0 1 2,7285,11,[1 0],1616450429.707,Mon Mar 22 2021 15:00:29 GMT-0700 (Pacific Daylight Time),0
A,A2EA2PN47ZWILX,1493108250335,0,12,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,975 2513 3887,97 98 98,0 1 2,7375,2,[1 0],1616450440.666,Mon Mar 22 2021 15:00:40 GMT-0700 (Pacific Daylight Time),0
A,A2EA2PN47ZWILX,1493108250335,0,13,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,463 2496 2864,97 98 98,0 1 2,5823,2,[1 0],1616450449.36,Mon Mar 22 2021 15:00:49 GMT-0700 (Pacific Daylight Time),0
