group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2HJK77HH1IDTM,1102064435856,0,0,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,11528 45752 23776,97 98 98,0 1 2,81056,6,[1 0],1616379607.104,Sun Mar 21 2021 22:20:07 GMT-0400 (Eastern Daylight Time),0
A,A2HJK77HH1IDTM,1102064435856,0,1,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],4 0 0,7607 12641 23312,97 99 97,0 1 2,43560,4,[1 0],1616379695.248,Sun Mar 21 2021 22:21:35 GMT-0400 (Eastern Daylight Time),0
A,A2HJK77HH1IDTM,1102064435856,0,2,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,9296 15080 19806,98 97 97,0 1 2,44182,2,[1 0],1616379762.258,Sun Mar 21 2021 22:22:42 GMT-0400 (Eastern Daylight Time),0
A,A2HJK77HH1IDTM,1102064435856,0,3,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,6664 8281 22152,98 98 98,0 1 2,37097,8,[1 0],1616379811.064,Sun Mar 21 2021 22:23:31 GMT-0400 (Eastern Daylight Time),0
A,A2HJK77HH1IDTM,1102064435856,0,4,train,1,[1 0],[0 1],1 2 5 2 3 6,6,1 3 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 7],4 0 0 0 7,6408 17672 23592 15920 10329,97 99 98 97 97,0 1 2 3 4,73921,11,[1 0],1616379893.432,Sun Mar 21 2021 22:24:53 GMT-0400 (Eastern Daylight Time),0
A,A2HJK77HH1IDTM,1102064435856,0,5,train,1,[0 1],[1 0],1 2 3 2 5 6,6,2 1 1 3 2,[2 0];[0 0];[0 0];[0 0];[8 0],2 0 0 0 8,5392 8625 6416 7535 10016,98 97 98 99 97,0 1 2 3 4,37984,10,[1 0],1616379937.008,Sun Mar 21 2021 22:25:37 GMT-0400 (Eastern Daylight Time),0
A,A2HJK77HH1IDTM,1102064435856,0,6,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,10234 7550 5593,98 98 98,0 1 2,23377,8,[1 0],1616379975.464,Sun Mar 21 2021 22:26:15 GMT-0400 (Eastern Daylight Time),0
A,A2HJK77HH1IDTM,1102064435856,0,7,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,1968 4000 15064,98 97 97,0 1 2,21032,2,[1 0],1616380003.801,Sun Mar 21 2021 22:26:43 GMT-0400 (Eastern Daylight Time),0
A,A2HJK77HH1IDTM,1102064435856,0,8,train,1,[1 0],[0 1],1 2 5 2 3 6,6,1 3 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 7],4 0 0 0 7,3512 5928 14945 4831 9912,97 99 98 97 97,0 1 2 3 4,39128,11,[1 0],1616380048.688,Sun Mar 21 2021 22:27:28 GMT-0400 (Eastern Daylight Time),0
A,A2HJK77HH1IDTM,1102064435856,0,9,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,3448 4176 3776,97 98 98,0 1 2,11400,8,[1 0],1616380065.704,Sun Mar 21 2021 22:27:45 GMT-0400 (Eastern Daylight Time),0
A,A2HJK77HH1IDTM,1102064435856,0,10,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,1808 3784 4128,97 97 97,0 1 2,9720,11,[1 0],1616380082.248,Sun Mar 21 2021 22:28:02 GMT-0400 (Eastern Daylight Time),0
A,A2HJK77HH1IDTM,1102064435856,0,11,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,4543 2952 3872,97 98 98,0 1 2,11367,8,[1 0],1616380096.608,Sun Mar 21 2021 22:28:16 GMT-0400 (Eastern Daylight Time),0
A,A2HJK77HH1IDTM,1102064435856,0,12,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,3441 2512 2584,97 97 97,0 1 2,8537,11,[1 0],1616380107.512,Sun Mar 21 2021 22:28:27 GMT-0400 (Eastern Daylight Time),0
A,A2HJK77HH1IDTM,1102064435856,0,13,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,2838 3737 3216,98 98 98,0 1 2,9791,8,[1 0],1616380120.48,Sun Mar 21 2021 22:28:40 GMT-0400 (Eastern Daylight Time),0
A,A2HJK77HH1IDTM,1102064435856,0,14,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,1783 2505 4792,98 99 97,0 1 2,9080,10,[1 0],1616380132.592,Sun Mar 21 2021 22:28:52 GMT-0400 (Eastern Daylight Time),0
A,A2HJK77HH1IDTM,1102064435856,0,15,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],4 0 0,2920 3695 3585,97 99 97,0 1 2,10200,4,[1 0],1616380150.336,Sun Mar 21 2021 22:29:10 GMT-0400 (Eastern Daylight Time),0
A,A2HJK77HH1IDTM,1102064435856,0,16,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,4264 3048 2823,97 98 98,0 1 2,10135,6,[1 0],1616380163.839,Sun Mar 21 2021 22:29:23 GMT-0400 (Eastern Daylight Time),0
A,A2HJK77HH1IDTM,1102064435856,0,17,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,2215 3016 2842,97 97 97,0 1 2,8073,11,[1 0],1616380175.143,Sun Mar 21 2021 22:29:35 GMT-0400 (Eastern Daylight Time),0
