group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2N9U74YIPDQ9F,1360533603245,0,0,train,1,[1 0],[0 1],1 2 5 2 4 6,6,1 3 1 2 2,[0 4];[0 0];[0 0];[0 0];[6 4],4 0 0 0 4,1809 14120 4720 5093 3576,97 98 97 99 97,0 1 2 3 4,29318,8,[1 0],1616969178.446,Sun Mar 28 2021 17:06:18 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,1,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],0 0 8,2103 4258 3682,97 98 98,0 1 2,10043,8,[1 0],1616969192.419,Sun Mar 28 2021 17:06:32 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,2,train,1,[1 0],[0 1],1 2 3 2 5 6,6,1 1 1 3 2,[0 4];[0 0];[0 0];[0 0];[8 0],4 0 0 0 0,1047 4384 4717 3237 3531 1343,97 97 97 98 99 98,0 1 2 3 5,18259,4,[1 0],1616969215.293,Sun Mar 28 2021 17:06:55 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,3,train,1,[1 0],[0 1],1 2 3 2 3 6,6,1 1 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 7],4 0 0 0 7,973 4579 3410 2926 4028,97 97 97 97 98,0 1 2 3 4,15916,11,[1 0],1616969234.647,Sun Mar 28 2021 17:07:14 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,4,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],0 0 8,1019 4546 3305,97 98 98,0 1 2,8870,8,[1 0],1616969246.841,Sun Mar 28 2021 17:07:26 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,5,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,982 3878 3361,97 99 97,0 1 2,8221,6,[1 0],1616969257.847,Sun Mar 28 2021 17:07:37 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,6,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,782 5777 3147 990,97 99 99 97,0 1 3,10696,6,[1 0],1616969271.592,Sun Mar 28 2021 17:07:51 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,7,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],4 0 0,832 6527 2870,97 98 98,0 1 2,10229,4,[1 0],1616969284.452,Sun Mar 28 2021 17:08:04 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,8,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,793 4168 3028,97 99 97,0 1 2,7989,8,[1 0],1616969295.024,Sun Mar 28 2021 17:08:15 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,9,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],4 0 0,716 3333 2789,97 98 98,0 1 2,6838,4,[1 0],1616969304.362,Sun Mar 28 2021 17:08:24 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,10,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],4 0 0,912 2714 2983,97 98 98,0 1 2,6609,4,[1 0],1616969313.16,Sun Mar 28 2021 17:08:33 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,11,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],0 0 8,965 2987 2474,97 98 98,0 1 2,6426,8,[1 0],1616969323.329,Sun Mar 28 2021 17:08:43 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,12,train,1,[0 1],[1 0],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],0 0 0,1468 5341 2845,97 97 98,0 1 2,9654,0,[1 0],1616969337.881,Sun Mar 28 2021 17:08:57 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,13,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,747 3298 2499,97 97 98,0 1 2,6544,11,[1 0],1616969350.929,Sun Mar 28 2021 17:09:10 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,14,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],4 0 0,760 2944 2798,97 98 98,0 1 2,6502,4,[1 0],1616969360.292,Sun Mar 28 2021 17:09:20 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,15,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],4 0 0,564 3100 2580,97 98 98,0 1 2,6244,4,[1 0],1616969368.857,Sun Mar 28 2021 17:09:28 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,16,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],0 0 8,936 4085 2815,97 98 98,0 1 2,7836,8,[1 0],1616969379.758,Sun Mar 28 2021 17:09:39 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,17,train,1,[0 1],[1 0],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],0 0 0,651 2803 2181,97 97 98,0 1 2,5635,0,[1 0],1616969388.263,Sun Mar 28 2021 17:09:48 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,18,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,774 3525 2987,97 97 98,0 1 2,7286,11,[1 0],1616969398.752,Sun Mar 28 2021 17:09:58 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,19,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],0 0 8,689 3165 2751,97 98 98,0 1 2,6605,8,[1 0],1616969407.738,Sun Mar 28 2021 17:10:07 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,20,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,659 2824 3633,97 99 97,0 1 2,7116,8,[1 0],1616969417.423,Sun Mar 28 2021 17:10:17 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,21,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,829 3866 2699,97 99 97,0 1 2,7394,6,[1 0],1616969427.198,Sun Mar 28 2021 17:10:27 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,22,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,919 523 2712 2728,99 98 98 98,1 2 3,6882,10,[1 0],1616969437.512,Sun Mar 28 2021 17:10:37 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,23,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,1073 2447 2319,98 97 98,0 1 2,5839,2,[1 0],1616969445.983,Sun Mar 28 2021 17:10:45 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,24,train,1,[1 0],[0 1],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],0 0 4,1078 2214 2964,98 99 97,0 1 2,6256,4,[1 0],1616969454.668,Sun Mar 28 2021 17:10:54 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,25,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],0 0 8,4848 3931 2702,97 98 98,0 1 2,11481,8,[1 0],1616969469.776,Sun Mar 28 2021 17:11:09 GMT-0500 (Central Daylight Time),0
A,A2N9U74YIPDQ9F,1360533603245,0,26,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,748 1970 2110,97 97 98,0 1 2,4828,11,[1 0],1616969476.693,Sun Mar 28 2021 17:11:16 GMT-0500 (Central Daylight Time),0
