group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2PUL3ZDXOW0VZ,1207362628722,0,0,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,17038 72286 31774,97 97 98,0 1 2,121098,8,[0 1],1617036922.626,Mon Mar 29 2021 11:55:22 GMT-0500 (Central Daylight Time),0
A,A2PUL3ZDXOW0VZ,1207362628722,0,1,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,5341 11555 15204,98 98 98,0 1 2,32100,10,[0 1],1617036965.55,Mon Mar 29 2021 11:56:05 GMT-0500 (Central Daylight Time),0
A,A2PUL3ZDXOW0VZ,1207362628722,0,2,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,7119 14219 13492,97 99 97,0 1 2,34830,11,[0 1],1617037010.32,Mon Mar 29 2021 11:56:50 GMT-0500 (Central Daylight Time),0
A,A2PUL3ZDXOW0VZ,1207362628722,0,3,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],2 0 6,4476 10088 9703,98 97 98,0 1 2,24267,8,[0 1],1617037047.071,Mon Mar 29 2021 11:57:27 GMT-0500 (Central Daylight Time),0
A,A2PUL3ZDXOW0VZ,1207362628722,0,4,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],2 0 6,3495 14743 4628,98 97 98,0 1 2,22866,8,[0 1],1617037075.763,Mon Mar 29 2021 11:57:55 GMT-0500 (Central Daylight Time),0
A,A2PUL3ZDXOW0VZ,1207362628722,0,5,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,3631 10605 4597,98 99 97,0 1 2,18833,7,[0 1],1617037106.326,Mon Mar 29 2021 11:58:26 GMT-0500 (Central Daylight Time),0
A,A2PUL3ZDXOW0VZ,1207362628722,0,6,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,5255 13930 4630,97 99 97,0 1 2,23815,11,[0 1],1617037137.458,Mon Mar 29 2021 11:58:57 GMT-0500 (Central Daylight Time),0
A,A2PUL3ZDXOW0VZ,1207362628722,0,7,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,3615 9681 6346,98 98 98,0 1 2,19642,10,[0 1],1617037166.712,Mon Mar 29 2021 11:59:26 GMT-0500 (Central Daylight Time),0
A,A2PUL3ZDXOW0VZ,1207362628722,0,8,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],2 0 6,5228 14055 5509,98 97 98,0 1 2,24792,8,[0 1],1617037199.058,Mon Mar 29 2021 11:59:59 GMT-0500 (Central Daylight Time),0
A,A2PUL3ZDXOW0VZ,1207362628722,0,9,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,4877 8811 4181,97 97 98,0 1 2,17869,6,[0 1],1617037222.665,Mon Mar 29 2021 12:00:22 GMT-0500 (Central Daylight Time),0
