group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2R9OK4M877ZCC,1149129686465,0,0,train,1,[1 0],[1 0],1 2 3 2 4 6,6,1 1 1 2 2,[4 0];[0 0];[0 0];[0 0];[4 6],4 0 0 0 4,5666 9572 6106 9187 3770 526,50 49 49 51 51 50,0 1 2 3 5,34827,8,[0 1],1616388658.935,Sun Mar 21 2021 23:50:58 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,1,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,1664 7889 3415,49 49 50,0 1 2,12968,7,[0 1],1616388675.332,Sun Mar 21 2021 23:51:15 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,2,train,1,[0 1],[0 1],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],0 0 0,1154 6814 6470,50 49 50,0 1 2,14438,0,[0 1],1616388692.443,Sun Mar 21 2021 23:51:32 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,3,train,1,[1 0],[1 0],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],4 0 0,1374 2711 2414,50 50 50,0 1 2,6499,4,[0 1],1616388701.207,Sun Mar 21 2021 23:51:41 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,4,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],2 0 6,620 2837 2191,49 51 50,0 1 2,5648,8,[0 1],1616388709.433,Sun Mar 21 2021 23:51:49 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,5,train,1,[1 0],[1 0],1 2 5 2 4 6,6,1 3 1 2 2,[4 0];[0 0];[0 0];[0 0];[4 6],4 0 0 0 4,1038 3743 2539 4286 2461,50 50 49 51 50,0 1 2 3 4,14067,8,[0 1],1616388725.849,Sun Mar 21 2021 23:52:05 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,6,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,1074 3475 2869,50 49 50,0 1 2,7418,11,[0 1],1616388736.471,Sun Mar 21 2021 23:52:16 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,7,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,692 5762 2806 409,50 49 51 50,0 1 3,9669,11,[0 1],1616388750.935,Sun Mar 21 2021 23:52:30 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,8,train,1,[0 1],[0 1],1 2 5 2 5 6,6,1 3 1 3 2,[4 0];[0 0];[0 0];[0 0];[0 8],0 0 0 0 8,710 3487 2523 2144 2200 500,50 50 49 50 51 50,0 1 2 3 5,11564,8,[0 1],1616388765.09,Sun Mar 21 2021 23:52:45 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,9,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],0 0 4,840 3441 2068,49 51 50,0 1 2,6349,4,[0 1],1616388774.156,Sun Mar 21 2021 23:52:54 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,10,train,1,[1 0],[1 0],1 2 5 2 5 6,6,1 3 1 3 2,[4 0];[0 0];[0 0];[0 0];[0 8],4 0 0 0 0,968 2466 2325 2481 2568 359,50 50 49 50 51 50,0 1 2 3 5,11167,4,[0 1],1616388788.277,Sun Mar 21 2021 23:53:08 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,11,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],0 0 4,780 3420 1883,49 51 50,0 1 2,6083,4,[0 1],1616388796.175,Sun Mar 21 2021 23:53:16 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,12,train,1,[0 1],[0 1],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],0 0 0,582 2716 3244,50 49 50,0 1 2,6542,0,[0 1],1616388805.411,Sun Mar 21 2021 23:53:25 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,13,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],2 0 6,707 3677 2245,49 51 50,0 1 2,6629,8,[0 1],1616388816.616,Sun Mar 21 2021 23:53:36 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,14,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,1323 6035 3203 486,50 49 51 50,0 1 3,11047,11,[0 1],1616388832.187,Sun Mar 21 2021 23:53:52 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,15,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],2 0 6,805 3085 2367,49 51 50,0 1 2,6257,8,[0 1],1616388842.267,Sun Mar 21 2021 23:54:02 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,16,train,1,[0 1],[0 1],1 2 5 2 4 6,6,2 3 1 2 2,[0 2];[0 0];[0 0];[0 0];[4 6],2 0 0 0 6,786 2138 2498 2403 3040,49 50 49 51 50,0 1 2 3 4,10865,8,[0 1],1616388856.528,Sun Mar 21 2021 23:54:16 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,17,train,1,[0 1],[0 1],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],0 0 0,1067 3510 2074,50 49 50,0 1 2,6651,0,[0 1],1616388865.442,Sun Mar 21 2021 23:54:25 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,18,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,953 3278 1994,50 51 50,0 1 2,6225,6,[0 1],1616388874.591,Sun Mar 21 2021 23:54:34 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,19,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,489 2130 2136 575,49 50 51 50,0 1 3,5330,10,[0 1],1616388882.588,Sun Mar 21 2021 23:54:42 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,20,train,1,[0 1],[0 1],1 2 5 2 4 6,6,1 3 1 2 2,[4 0];[0 0];[0 0];[0 0];[4 6],0 0 0 0 6,1236 3323 1978 2305 2137,50 50 49 51 50,0 1 2 3 4,10979,6,[0 1],1616388896.864,Sun Mar 21 2021 23:54:56 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,21,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],2 0 0,646 3073 2160,49 49 50,0 1 2,5879,2,[0 1],1616388905.543,Sun Mar 21 2021 23:55:05 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,22,train,1,[1 0],[1 0],1 2 5 2 4 2 5 6,8,1 3 1 2 1 3 2,[4 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 8],4 0 0 0 0 0 0,906 2927 2204 619 2256 2426 2145 2007 421,50 50 51 49 51 49 50 51 50,0 1 3 4 5 6 8,15911,4,[0 1],1616388924.208,Sun Mar 21 2021 23:55:24 GMT-0500 (Central Daylight Time),1
A,A2R9OK4M877ZCC,1149129686465,0,23,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],2 0 6,570 2406 1935,49 51 50,0 1 2,4911,8,[0 1],1616388932.021,Sun Mar 21 2021 23:55:32 GMT-0500 (Central Daylight Time),1
