group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2VUAAJHX6ROS9,1293195942289,0,0,train,1,[0 1],[1 0],1 2 4 2 5 6,6,2 2 1 3 2,[2 0];[0 0];[0 0];[0 0];[8 0],2 0 0 0 8,5192 11704 6974 4225 7425,97 98 98 99 98,0 1 2 3 4,35520,10,[1 0],1616966809.58,Sun Mar 28 2021 16:26:49 GMT-0500 (Central Daylight Time),1
A,A2VUAAJHX6ROS9,1293195942289,0,1,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],0 0 7,1767 6137 3919,97 97 97,0 1 2,11823,7,[1 0],1616966829.901,Sun Mar 28 2021 16:27:09 GMT-0500 (Central Daylight Time),1
A,A2VUAAJHX6ROS9,1293195942289,0,2,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],0 0 8,1647 11921 3878,98 99 98,0 1 2,17446,8,[1 0],1616966856.999,Sun Mar 28 2021 16:27:36 GMT-0500 (Central Daylight Time),1
A,A2VUAAJHX6ROS9,1293195942289,0,3,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,2111 8217 6263,97 99 98,0 1 2,16591,10,[1 0],1616966881.454,Sun Mar 28 2021 16:28:01 GMT-0500 (Central Daylight Time),1
A,A2VUAAJHX6ROS9,1293195942289,0,4,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,1832 6088 3911,97 97 97,0 1 2,11831,2,[1 0],1616966897.948,Sun Mar 28 2021 16:28:17 GMT-0500 (Central Daylight Time),1
A,A2VUAAJHX6ROS9,1293195942289,0,5,train,1,[1 0],[0 1],1 2 5 2 4 6,6,1 3 1 2 2,[0 4];[0 0];[0 0];[0 0];[6 4],4 0 0 0 4,1553 4104 3184 3233 2896,98 99 97 98 97,0 1 2 3 4,14970,8,[1 0],1616966918.006,Sun Mar 28 2021 16:28:38 GMT-0500 (Central Daylight Time),1
A,A2VUAAJHX6ROS9,1293195942289,0,6,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,2398 9129 3256,97 97 97,0 1 2,14783,2,[1 0],1616966939.389,Sun Mar 28 2021 16:28:59 GMT-0500 (Central Daylight Time),1
A,A2VUAAJHX6ROS9,1293195942289,0,7,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,2249 4792 2910,98 98 97,0 1 2,9951,6,[1 0],1616966953.078,Sun Mar 28 2021 16:29:13 GMT-0500 (Central Daylight Time),1
A,A2VUAAJHX6ROS9,1293195942289,0,8,train,1,[1 0],[0 1],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],0 0 0,1326 4336 3064,97 99 98,0 1 2,8726,0,[1 0],1616966968.284,Sun Mar 28 2021 16:29:28 GMT-0500 (Central Daylight Time),1
A,A2VUAAJHX6ROS9,1293195942289,0,9,train,1,[1 0],[0 1],1 2 3 2 5 6,6,2 1 1 3 2,[2 0];[0 0];[0 0];[0 0];[8 0],0 0 0 0 0,1464 3816 2167 2745 6976,97 97 98 99 98,0 1 2 3 4,17168,0,[1 0],1616966992.9,Sun Mar 28 2021 16:29:52 GMT-0500 (Central Daylight Time),1
