group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2YHF0DPCO832L,1711026691012,0,0,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,2485 12597 8833,49 49 50,0 1 2,23915,11,[1 0],1616448242.013,Mon Mar 22 2021 16:24:02 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,1,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,4038 5900 6420,49 49 50,0 1 2,16358,11,[1 0],1616448265.617,Mon Mar 22 2021 16:24:25 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,2,train,1,[1 0],[0 1],1 2 4 2 3 6,6,1 2 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 7],4 0 0 0 7,1521 2561 3512 432 3532 6315,49 50 51 50 49 50,0 1 3 4 5,17873,11,[1 0],1616448289.563,Mon Mar 22 2021 16:24:49 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,3,train,1,[0 1],[1 0],1 2 3 2 4 6,6,1 1 1 2 2,[0 4];[0 0];[0 0];[0 0];[6 4],0 0 0 0 6,1493 4398 3550 3579 3317,49 49 49 50 49,0 1 2 3 4,16337,6,[1 0],1616448312.674,Mon Mar 22 2021 16:25:12 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,4,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,1396 5080 5501,49 50 49,0 1 2,11977,8,[1 0],1616448329.044,Mon Mar 22 2021 16:25:29 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,5,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],4 0 0,1156 4503 2983,49 51 50,0 1 2,8642,4,[1 0],1616448340.336,Mon Mar 22 2021 16:25:40 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,6,train,1,[1 0],[0 1],1 2 4 2 5 2 4 6,8,1 2 1 3 1 2 2,[0 4];[0 0];[0 0];[0 0];[0 0];[0 0];[6 4],4 0 0 0 0 0 4,1211 4101 2810 2986 2425 2417 2195,49 50 50 51 49 50 49,0 1 2 3 4 5 6,18145,8,[1 0],1616448362.546,Mon Mar 22 2021 16:26:02 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,7,train,1,[1 0],[0 1],1 2 3 2 3 6,6,2 1 1 1 2,[2 0];[0 0];[0 0];[0 0];[0 7],0 0 0 0 7,1280 3610 2703 2067 2183,50 49 49 49 50,0 1 2 3 4,11843,7,[1 0],1616448377.218,Mon Mar 22 2021 16:26:17 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,8,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,1184 2615 2073,50 51 50,0 1 2,5872,10,[1 0],1616448385.289,Mon Mar 22 2021 16:26:25 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,9,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,850 2202 2065,49 50 49,0 1 2,5117,6,[1 0],1616448393.383,Mon Mar 22 2021 16:26:33 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,10,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,754 2133 1719,49 49 50,0 1 2,4606,11,[1 0],1616448400.457,Mon Mar 22 2021 16:26:40 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,11,train,1,[0 1],[1 0],1 2 5 2 4 6,6,2 3 1 2 2,[2 0];[0 0];[0 0];[0 0];[6 4],2 0 0 0 6,680 2578 2095 1758 2034,50 51 49 50 49,0 1 2 3 4,9145,8,[1 0],1616448411.372,Mon Mar 22 2021 16:26:51 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,12,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,679 3540 2170,49 50 49,0 1 2,6389,6,[1 0],1616448419.989,Mon Mar 22 2021 16:26:59 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,13,train,1,[1 0],[0 1],1 2 4 2 5 2 4 6,8,1 2 1 3 1 2 2,[0 4];[0 0];[0 0];[0 0];[0 0];[0 0];[6 4],4 0 0 0 0 0 4,495 1727 1718 373 2447 1995 1793 1731,49 50 51 50 51 49 50 49,0 1 3 4 5 6 7,12279,8,[1 0],1616448434.486,Mon Mar 22 2021 16:27:14 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,14,train,1,[0 1],[1 0],1 2 5 2 4 6,6,2 3 1 2 2,[2 0];[0 0];[0 0];[0 0];[6 4],2 0 0 0 6,737 400 3082 2088 2115 1985,32 50 51 49 50 49,1 2 3 4 5,10407,8,[1 0],1616448446.721,Mon Mar 22 2021 16:27:26 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,15,train,1,[0 1],[1 0],1 2 4 2 3 6,6,2 2 1 1 2,[2 0];[0 0];[0 0];[0 0];[0 7],2 0 0 0 0,1008 2153 1929 1939 2271,50 50 50 49 50,0 1 2 3 4,9300,2,[1 0],1616448457.754,Mon Mar 22 2021 16:27:37 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,16,train,1,[0 1],[1 0],1 2 3 2 5 6,6,1 1 1 3 2,[0 4];[0 0];[0 0];[0 0];[8 0],0 0 0 0 8,656 3413 1844 2938 1998,49 49 49 51 50,0 1 2 3 4,10849,8,[1 0],1616448471.149,Mon Mar 22 2021 16:27:51 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,17,train,1,[0 1],[1 0],1 2 5 2 4 2 3 6,8,2 3 1 2 1 1 2,[2 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 7],2 0 0 0 0 0 0,984 3077 2220 2301 2020 1885 2394,50 51 49 50 50 49 50,0 1 2 3 4 5 6,14881,2,[1 0],1616448488.714,Mon Mar 22 2021 16:28:08 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,18,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,883 2377 2357,50 49 50,0 1 2,5617,2,[1 0],1616448496.181,Mon Mar 22 2021 16:28:16 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,19,train,1,[0 1],[1 0],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],0 0 0,912 2569 1981,49 49 50,0 1 2,5462,0,[1 0],1616448504.187,Mon Mar 22 2021 16:28:24 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,20,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,869 3924 2302,50 50 49,0 1 2,7095,8,[1 0],1616448514.054,Mon Mar 22 2021 16:28:34 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,21,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,2002 2405 2393,50 49 50,0 1 2,6800,2,[1 0],1616448523.138,Mon Mar 22 2021 16:28:43 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,22,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],0 0 7,800 2700 2444,50 49 50,0 1 2,5944,7,[1 0],1616448530.934,Mon Mar 22 2021 16:28:50 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,23,train,1,[1 0],[0 1],1 2 4 2 3 6,6,1 2 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 7],4 0 0 0 7,536 2191 1828 1902 2119,49 50 50 49 50,0 1 2 3 4,8576,11,[1 0],1616448541.674,Mon Mar 22 2021 16:29:01 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,24,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,794 2718 2181,49 49 50,0 1 2,5693,11,[1 0],1616448549.24,Mon Mar 22 2021 16:29:09 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,25,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],4 0 0,1282 2526 2248,49 51 50,0 1 2,6056,4,[1 0],1616448557.495,Mon Mar 22 2021 16:29:17 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,26,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,1050 2285 1745,50 49 50,0 1 2,5080,2,[1 0],1616448564.797,Mon Mar 22 2021 16:29:24 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,27,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],0 0 7,651 1960 2344,50 49 50,0 1 2,4955,7,[1 0],1616448571.687,Mon Mar 22 2021 16:29:31 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,28,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,668 2368 2291,50 49 50,0 1 2,5327,2,[1 0],1616448578.883,Mon Mar 22 2021 16:29:38 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,29,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],0 0 7,711 2491 1708,50 49 50,0 1 2,4910,7,[1 0],1616448585.727,Mon Mar 22 2021 16:29:45 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,30,train,1,[1 0],[0 1],1 2 3 2 4 2 3 6,8,2 1 1 2 1 1 2,[2 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 7],0 0 0 0 0 0 7,559 2289 1611 2473 2360 1871 2260 415,50 49 49 50 50 49 32 50,0 1 2 3 4 5 7,13838,7,[1 0],1616448601.538,Mon Mar 22 2021 16:30:01 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,31,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],0 0 7,761 1767 2047,50 49 50,0 1 2,4575,7,[1 0],1616448608.3,Mon Mar 22 2021 16:30:08 GMT-0500 (Central Daylight Time),0
A,A2YHF0DPCO832L,1711026691012,0,32,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,642 1845 2255,50 49 50,0 1 2,4742,2,[1 0],1616448614.819,Mon Mar 22 2021 16:30:14 GMT-0500 (Central Daylight Time),0
