group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A30VLAIIJIG5IS,1052767022353,0,0,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,12328 14879 7277,50 51 49,0 1 2,34484,7,[0 1],1616355915.094,Sun Mar 21 2021 15:45:15 GMT-0400 (Eastern Daylight Time),8
A,A30VLAIIJIG5IS,1052767022353,0,1,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,2239 8729 4437,49 50 49,0 1 2,15405,8,[0 1],1616355941.305,Sun Mar 21 2021 15:45:41 GMT-0400 (Eastern Daylight Time),8
A,A30VLAIIJIG5IS,1052767022353,0,2,train,1,[1 0],[1 0],1 2 3 2 5 6,6,1 1 1 3 2,[4 0];[0 0];[0 0];[0 0];[0 8],4 0 0 0 0,1482 3953 4292 3950 5122,49 51 50 49 49,0 1 2 3 4,18799,4,[0 1],1616355968.512,Sun Mar 21 2021 15:46:08 GMT-0400 (Eastern Daylight Time),8
A,A30VLAIIJIG5IS,1052767022353,0,3,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,1866 5836 4517,50 51 49,0 1 2,12219,7,[0 1],1616355987.008,Sun Mar 21 2021 15:46:27 GMT-0400 (Eastern Daylight Time),8
A,A30VLAIIJIG5IS,1052767022353,0,4,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],0 0 4,1572 5495 3950,50 50 49,0 1 2,11017,4,[0 1],1616356002.725,Sun Mar 21 2021 15:46:42 GMT-0400 (Eastern Daylight Time),8
A,A30VLAIIJIG5IS,1052767022353,0,5,train,1,[1 0],[1 0],1 2 5 2 3 6,6,2 3 1 1 2,[0 2];[0 0];[0 0];[0 0];[7 0],0 0 0 0 7,1351 5623 4700 5420 3497,50 49 50 51 49,0 1 2 3 4,20591,7,[0 1],1616356027.324,Sun Mar 21 2021 15:47:07 GMT-0400 (Eastern Daylight Time),8
A,A30VLAIIJIG5IS,1052767022353,0,6,train,1,[1 0],[1 0],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],0 0 0,1413 4091 4166,50 49 49,0 1 2,9670,0,[0 1],1616356042.011,Sun Mar 21 2021 15:47:22 GMT-0400 (Eastern Daylight Time),8
A,A30VLAIIJIG5IS,1052767022353,0,7,train,1,[1 0],[1 0],1 2 5 2 4 2 5 6,8,2 3 1 2 1 3 2,[0 2];[0 0];[0 0];[0 0];[0 0];[0 0];[0 8],0 0 0 0 0 0 0,956 4004 3707 3521 3981 3426 3520,50 49 50 50 50 49 49,0 1 2 3 4 5 6,23115,0,[0 1],1616356070.289,Sun Mar 21 2021 15:47:50 GMT-0400 (Eastern Daylight Time),8
A,A30VLAIIJIG5IS,1052767022353,0,8,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],2 0 6,1127 4909 2831,50 50 49,0 1 2,8867,8,[0 1],1616356085.116,Sun Mar 21 2021 15:48:05 GMT-0400 (Eastern Daylight Time),8
A,A30VLAIIJIG5IS,1052767022353,0,9,train,1,[0 1],[0 1],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],0 0 0,906 3873 3264,49 51 49,0 1 2,8043,0,[0 1],1616356098.875,Sun Mar 21 2021 15:48:18 GMT-0400 (Eastern Daylight Time),8
A,A30VLAIIJIG5IS,1052767022353,0,10,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,848 3961 3580,50 51 49,0 1 2,8389,7,[0 1],1616356110.525,Sun Mar 21 2021 15:48:30 GMT-0400 (Eastern Daylight Time),8
A,A30VLAIIJIG5IS,1052767022353,0,11,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],2 0 6,766 3467 3456,50 50 49,0 1 2,7689,8,[0 1],1616356121.992,Sun Mar 21 2021 15:48:41 GMT-0400 (Eastern Daylight Time),8
