group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A37JC45Y9GLSA7,1121857600885,0,0,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,2733 8973 3038,49 51 50,0 1 2,14744,2,[1 0],1616969345.817,Sun Mar 28 2021 18:09:05 GMT-0400 (Eastern Daylight Time),7
A,A37JC45Y9GLSA7,1121857600885,0,1,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],0 0 7,613 5952 3273,49 51 50,0 1 2,9838,7,[1 0],1616969359.515,Sun Mar 28 2021 18:09:19 GMT-0400 (Eastern Daylight Time),7
A,A37JC45Y9GLSA7,1121857600885,0,2,train,1,[0 1],[1 0],1 2 5 2 4 6,6,2 3 1 2 2,[2 0];[0 0];[0 0];[0 0];[6 4],2 0 0 0 6,958 6173 3315 2863 3043,49 49 50 50 49,0 1 2 3 4,16352,8,[1 0],1616969383.183,Sun Mar 28 2021 18:09:43 GMT-0400 (Eastern Daylight Time),7
A,A37JC45Y9GLSA7,1121857600885,0,3,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,1415 3928 3029,49 50 49,0 1 2,8372,8,[1 0],1616969397.827,Sun Mar 28 2021 18:09:57 GMT-0400 (Eastern Daylight Time),7
A,A37JC45Y9GLSA7,1121857600885,0,4,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,1246 3155 2723,49 50 49,0 1 2,7124,8,[1 0],1616969514.486,Sun Mar 28 2021 18:11:54 GMT-0400 (Eastern Daylight Time),7
A,A37JC45Y9GLSA7,1121857600885,0,5,train,1,[1 0],[0 1],1 2 4 2 5 2 3 6,8,2 2 1 3 1 1 2,[2 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 7],0 0 0 0 0 0 7,1719 2810 3116 3080 2739 2879 2244,49 50 50 49 50 51 50,0 1 2 3 4 5 6,18587,7,[1 0],1616969536.873,Sun Mar 28 2021 18:12:16 GMT-0400 (Eastern Daylight Time),7
A,A37JC45Y9GLSA7,1121857600885,0,6,train,1,[1 0],[0 1],1 2 4 2 4 6,6,2 2 1 2 2,[2 0];[0 0];[0 0];[0 0];[6 4],0 0 0 0 4,1146 2430 2201 356 2766 2698,49 50 51 50 50 49,0 1 3 4 5,11597,4,[1 0],1616969552.719,Sun Mar 28 2021 18:12:32 GMT-0400 (Eastern Daylight Time),7
A,A37JC45Y9GLSA7,1121857600885,0,7,train,1,[0 1],[1 0],1 2 3 2 4 6,6,2 1 1 2 2,[2 0];[0 0];[0 0];[0 0];[6 4],2 0 0 0 6,801 3089 2514 2140 2653,49 51 49 50 49,0 1 2 3 4,11197,8,[1 0],1616969568.259,Sun Mar 28 2021 18:12:48 GMT-0400 (Eastern Daylight Time),7
A,A37JC45Y9GLSA7,1121857600885,0,8,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,1025 1365 4596 6776,81 49 50 49,1 2 3,13762,8,[1 0],1616969721.037,Sun Mar 28 2021 18:15:21 GMT-0400 (Eastern Daylight Time),7
A,A37JC45Y9GLSA7,1121857600885,0,9,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,2063 28938 7861,49 50 49,0 1 2,38862,8,[1 0],1616969808.164,Sun Mar 28 2021 18:16:48 GMT-0400 (Eastern Daylight Time),7
A,A37JC45Y9GLSA7,1121857600885,0,10,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,755 2895 2989,50 51 50,0 1 2,6639,11,[1 0],1616969820.404,Sun Mar 28 2021 18:17:00 GMT-0400 (Eastern Daylight Time),7
A,A37JC45Y9GLSA7,1121857600885,0,11,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,1224 3061 2481,49 50 49,0 1 2,6766,8,[1 0],1616969849.915,Sun Mar 28 2021 18:17:29 GMT-0400 (Eastern Daylight Time),7
A,A37JC45Y9GLSA7,1121857600885,0,12,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,1297 2726 2106,50 51 50,0 1 2,6129,11,[1 0],1616969858.569,Sun Mar 28 2021 18:17:38 GMT-0400 (Eastern Daylight Time),7
A,A37JC45Y9GLSA7,1121857600885,0,13,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,510 4962 2086,49 51 50,0 1 2,7558,2,[1 0],1616969868.994,Sun Mar 28 2021 18:17:48 GMT-0400 (Eastern Daylight Time),7
A,A37JC45Y9GLSA7,1121857600885,0,14,train,1,[1 0],[0 1],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],0 0 4,1307 2244 2367,49 50 49,0 1 2,5918,4,[1 0],1616969994.915,Sun Mar 28 2021 18:19:54 GMT-0400 (Eastern Daylight Time),7
A,A37JC45Y9GLSA7,1121857600885,0,15,train,1,[1 0],[0 1],1 2 4 2 3 2 4 6,8,1 2 1 1 1 2 2,[0 4];[0 0];[0 0];[0 0];[0 0];[0 0];[6 4],4 0 0 0 0 0 4,877 2610 2379 378 2361 2122 2054 2298,50 50 51 50 51 49 50 49,0 1 3 4 5 6 7,15079,8,[1 0],1616970014.231,Sun Mar 28 2021 18:20:14 GMT-0400 (Eastern Daylight Time),7
A,A37JC45Y9GLSA7,1121857600885,0,16,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,802 2591 2091,49 50 49,0 1 2,5484,8,[1 0],1616970022.911,Sun Mar 28 2021 18:20:22 GMT-0400 (Eastern Daylight Time),7
A,A37JC45Y9GLSA7,1121857600885,0,17,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,673 2861 2309,50 50 49,0 1 2,5843,6,[1 0],1616970032.595,Sun Mar 28 2021 18:20:32 GMT-0400 (Eastern Daylight Time),7
A,A37JC45Y9GLSA7,1121857600885,0,18,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,1155 2058 1993,49 50 49,0 1 2,5206,8,[1 0],1616970068.677,Sun Mar 28 2021 18:21:08 GMT-0400 (Eastern Daylight Time),7
A,A37JC45Y9GLSA7,1121857600885,0,19,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,653 2822 1979,49 50 49,0 1 2,5454,8,[1 0],1616970082.796,Sun Mar 28 2021 18:21:22 GMT-0400 (Eastern Daylight Time),7
A,A37JC45Y9GLSA7,1121857600885,0,20,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,702 2035 1917,49 50 49,0 1 2,4654,8,[1 0],1616970089.695,Sun Mar 28 2021 18:21:29 GMT-0400 (Eastern Daylight Time),7
A,A37JC45Y9GLSA7,1121857600885,0,21,train,1,[1 0],[0 1],1 2 4 2 5 6,6,2 2 1 3 2,[2 0];[0 0];[0 0];[0 0];[8 0],0 0 0 0 0,698 1925 1809 349 1859 2432,49 50 51 50 49 49,0 1 3 4 5,9072,0,[1 0],1616970102.838,Sun Mar 28 2021 18:21:42 GMT-0400 (Eastern Daylight Time),7
