group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3CTXNQ2GXIQSP,1793795495259,0,0,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,1717 25539 7512,49 50 49,0 1 2,34768,11,[0 1],1616510525.853,Tue Mar 23 2021 10:42:05 GMT-0400 (Eastern Daylight Time),0
A,A3CTXNQ2GXIQSP,1793795495259,0,1,train,1,[0 1],[0 1],1 2 3 2 5 6,6,1 1 1 3 2,[4 0];[0 0];[0 0];[0 0];[0 8],0 0 0 0 8,1434 7049 2454 5949 3297,49 50 50 49 50,0 1 2 3 4,20183,8,[0 1],1616510555.509,Tue Mar 23 2021 10:42:35 GMT-0400 (Eastern Daylight Time),0
A,A3CTXNQ2GXIQSP,1793795495259,0,2,train,1,[0 1],[0 1],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],0 0 0,1847 7154 3976,49 50 49,0 1 2,12977,0,[0 1],1616510573.57,Tue Mar 23 2021 10:42:53 GMT-0400 (Eastern Daylight Time),0
A,A3CTXNQ2GXIQSP,1793795495259,0,3,train,1,[1 0],[1 0],1 2 5 2 3 2 5 2 4 6,10,2 3 1 1 1 3 1 2 2,[0 2];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[4 6],0 0 0 0 0 0 0 0 4,2270 10748 3279 4986 5251 3284 6454 4624 2652,50 49 49 50 50 49 49 51 49,0 1 2 3 4 5 6 7 8,43548,4,[0 1],1616510621.337,Tue Mar 23 2021 10:43:41 GMT-0400 (Eastern Daylight Time),0
A,A3CTXNQ2GXIQSP,1793795495259,0,4,train,1,[0 1],[0 1],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],0 0 0,798 3072 2211,49 50 49,0 1 2,6081,0,[0 1],1616510631.232,Tue Mar 23 2021 10:43:51 GMT-0400 (Eastern Daylight Time),0
A,A3CTXNQ2GXIQSP,1793795495259,0,5,train,1,[1 0],[1 0],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],0 0 0,3320 2643 3162,50 49 50,0 1 2,9125,0,[0 1],1616510643.247,Tue Mar 23 2021 10:44:03 GMT-0400 (Eastern Daylight Time),0
A,A3CTXNQ2GXIQSP,1793795495259,0,6,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,4901 4151 2854,49 51 49,0 1 2,11906,6,[0 1],1616510659.083,Tue Mar 23 2021 10:44:19 GMT-0400 (Eastern Daylight Time),0
A,A3CTXNQ2GXIQSP,1793795495259,0,7,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,4619 3859 2335,50 50 49,0 1 2,10813,7,[0 1],1616510673.317,Tue Mar 23 2021 10:44:33 GMT-0400 (Eastern Daylight Time),0
A,A3CTXNQ2GXIQSP,1793795495259,0,8,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,3748 4438 2909,49 51 49,0 1 2,11095,6,[0 1],1616510689.496,Tue Mar 23 2021 10:44:49 GMT-0400 (Eastern Daylight Time),0
A,A3CTXNQ2GXIQSP,1793795495259,0,9,train,1,[1 0],[1 0],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],0 0 0,4920 5305 4800,50 49 50,0 1 2,15025,0,[0 1],1616510708.147,Tue Mar 23 2021 10:45:08 GMT-0400 (Eastern Daylight Time),0
A,A3CTXNQ2GXIQSP,1793795495259,0,10,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,2979 4114 2927,49 51 49,0 1 2,10020,8,[0 1],1616510723.669,Tue Mar 23 2021 10:45:23 GMT-0400 (Eastern Daylight Time),0
A,A3CTXNQ2GXIQSP,1793795495259,0,11,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,3109 3785 2530,49 51 49,0 1 2,9424,6,[0 1],1616510736.668,Tue Mar 23 2021 10:45:36 GMT-0400 (Eastern Daylight Time),0
A,A3CTXNQ2GXIQSP,1793795495259,0,12,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,3784 2942 2328,49 51 49,0 1 2,9054,6,[0 1],1616510748.715,Tue Mar 23 2021 10:45:48 GMT-0400 (Eastern Daylight Time),0
A,A3CTXNQ2GXIQSP,1793795495259,0,13,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,1450 3215 2285,49 51 49,0 1 2,6950,6,[0 1],1616510759.459,Tue Mar 23 2021 10:45:59 GMT-0400 (Eastern Daylight Time),0
A,A3CTXNQ2GXIQSP,1793795495259,0,14,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,7753 3105 2102,49 51 49,0 1 2,12960,6,[0 1],1616510775.153,Tue Mar 23 2021 10:46:15 GMT-0400 (Eastern Daylight Time),0
A,A3CTXNQ2GXIQSP,1793795495259,0,15,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,1283 2868 2002,49 51 49,0 1 2,6153,6,[0 1],1616510783.602,Tue Mar 23 2021 10:46:23 GMT-0400 (Eastern Daylight Time),0
A,A3CTXNQ2GXIQSP,1793795495259,0,16,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],0 0 4,2429 3025 2238,50 51 49,0 1 2,7692,4,[0 1],1616510793.798,Tue Mar 23 2021 10:46:33 GMT-0400 (Eastern Daylight Time),0
A,A3CTXNQ2GXIQSP,1793795495259,0,17,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,2538 2698 2114,49 51 49,0 1 2,7350,8,[0 1],1616510804.594,Tue Mar 23 2021 10:46:44 GMT-0400 (Eastern Daylight Time),0
