group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3JAM040VWXHDO,1231511121792,0,0,train,1,[1 0],[0 1],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],0 0 0,3319 28585 18934,97 98 98,0 1 2,50838,0,[1 0],1617021754.332,Mon Mar 29 2021 08:42:34 GMT-0400 (Eastern Daylight Time),0
A,A3JAM040VWXHDO,1231511121792,0,1,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,2084 27712 8448,98 99 97,0 1 2,38244,11,[1 0],1617021811.916,Mon Mar 29 2021 08:43:31 GMT-0400 (Eastern Daylight Time),0
A,A3JAM040VWXHDO,1231511121792,0,2,train,1,[0 1],[1 0],1 2 3 2 4 6,6,2 1 1 2 2,[2 0];[0 0];[0 0];[0 0];[6 4],2 0 0 0 6,2734 8359 9289 6723 6874,97 99 98 97 97,0 1 2 3 4,33979,8,[1 0],1617021857.292,Mon Mar 29 2021 08:44:17 GMT-0400 (Eastern Daylight Time),0
A,A3JAM040VWXHDO,1231511121792,0,3,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,3195 7139 4788,97 97 97,0 1 2,15122,8,[1 0],1617021878.1,Mon Mar 29 2021 08:44:38 GMT-0400 (Eastern Daylight Time),0
A,A3JAM040VWXHDO,1231511121792,0,4,train,1,[0 1],[1 0],1 2 3 2 4 6,6,2 1 1 2 2,[2 0];[0 0];[0 0];[0 0];[6 4],2 0 0 0 6,2738 6742 5546 6674 3631,97 99 98 97 97,0 1 2 3 4,25331,8,[1 0],1617021909.129,Mon Mar 29 2021 08:45:09 GMT-0400 (Eastern Daylight Time),0
A,A3JAM040VWXHDO,1231511121792,0,5,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],4 0 0,1905 6214 4572,98 98 98,0 1 2,12691,4,[1 0],1617021930.806,Mon Mar 29 2021 08:45:30 GMT-0400 (Eastern Daylight Time),0
A,A3JAM040VWXHDO,1231511121792,0,6,train,1,[0 1],[1 0],1 2 3 2 4 6,6,2 1 1 2 2,[2 0];[0 0];[0 0];[0 0];[6 4],2 0 0 0 6,2604 6640 3895 7564 3524,97 99 98 97 97,0 1 2 3 4,24227,8,[1 0],1617021961.137,Mon Mar 29 2021 08:46:01 GMT-0400 (Eastern Daylight Time),0
A,A3JAM040VWXHDO,1231511121792,0,7,train,1,[0 1],[1 0],1 2 3 2 4 6,6,2 1 1 2 2,[2 0];[0 0];[0 0];[0 0];[6 4],2 0 0 0 6,3983 4851 4055 7448 3548,97 99 98 97 97,0 1 2 3 4,23885,8,[1 0],1617021993.141,Mon Mar 29 2021 08:46:33 GMT-0400 (Eastern Daylight Time),0
A,A3JAM040VWXHDO,1231511121792,0,8,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,3680 5118 4185,97 98 98,0 1 2,12983,10,[1 0],1617022010.886,Mon Mar 29 2021 08:46:50 GMT-0400 (Eastern Daylight Time),0
A,A3JAM040VWXHDO,1231511121792,0,9,train,1,[1 0],[0 1],1 2 4 2 3 6,6,1 2 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 7],4 0 0 0 7,2871 6705 4025 6357 3434,98 97 98 99 97,0 1 2 3 4,23392,11,[1 0],1617022038.471,Mon Mar 29 2021 08:47:18 GMT-0400 (Eastern Daylight Time),0
A,A3JAM040VWXHDO,1231511121792,0,10,train,1,[1 0],[0 1],1 2 4 2 4 2 3 6,8,2 2 1 2 1 1 2,[2 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 7],0 0 0 0 0 0 7,2667 6313 3370 4562 3345 4206 5300,97 97 98 97 98 99 97,0 1 2 3 4 5 6,29763,7,[1 0],1617022074.591,Mon Mar 29 2021 08:47:54 GMT-0400 (Eastern Daylight Time),0
A,A3JAM040VWXHDO,1231511121792,0,11,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],0 0 7,2691 3941 3061,97 99 97,0 1 2,9693,7,[1 0],1617022087.717,Mon Mar 29 2021 08:48:07 GMT-0400 (Eastern Daylight Time),0
A,A3JAM040VWXHDO,1231511121792,0,12,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,1983 4949 3205,97 97 97,0 1 2,10137,8,[1 0],1617022104.141,Mon Mar 29 2021 08:48:24 GMT-0400 (Eastern Daylight Time),0
A,A3JAM040VWXHDO,1231511121792,0,13,train,1,[1 0],[0 1],1 2 3 2 4 6,6,1 1 1 2 2,[0 4];[0 0];[0 0];[0 0];[6 4],4 0 0 0 4,1876 4118 3383 3457 5362,98 99 98 97 97,0 1 2 3 4,18196,8,[1 0],1617022127.667,Mon Mar 29 2021 08:48:47 GMT-0400 (Eastern Daylight Time),0
A,A3JAM040VWXHDO,1231511121792,0,14,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,4825 5694 5499,97 99 97,0 1 2,16018,2,[1 0],1617022150.117,Mon Mar 29 2021 08:49:10 GMT-0400 (Eastern Daylight Time),0
A,A3JAM040VWXHDO,1231511121792,0,15,train,1,[1 0],[0 1],1 2 4 2 3 6,6,1 2 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 7],4 0 0 0 7,1287 4587 6446 4470 2341,98 97 98 99 97,0 1 2 3 4,19131,11,[1 0],1617022176.053,Mon Mar 29 2021 08:49:36 GMT-0400 (Eastern Daylight Time),0
A,A3JAM040VWXHDO,1231511121792,0,16,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,3039 8054 7306,97 97 97,0 1 2,18399,8,[1 0],1617022218.094,Mon Mar 29 2021 08:50:18 GMT-0400 (Eastern Daylight Time),0
