group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3JGVZEXXELM3C,1281782992190,0,0,train,1,[1 0],[1 0],1 2 4 2 3 2 5 2 5 6,10,1 2 1 1 1 3 1 3 2,[4 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 8],4 0 0 0 0 0 0 0 0,5884 26847 10889 7587 6561 4724 4675 3198 3606,50 50 50 49 50 51 49 51 50,0 1 2 3 4 5 6 7 8,73971,4,[0 1],1616970583.413,Sun Mar 28 2021 17:29:43 GMT-0500 (Central Daylight Time),0
A,A3JGVZEXXELM3C,1281782992190,0,1,train,1,[1 0],[1 0],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],0 0 0,4110 9462 2556,49 51 50,0 1 2,16128,0,[0 1],1616970606.775,Sun Mar 28 2021 17:30:06 GMT-0500 (Central Daylight Time),0
A,A3JGVZEXXELM3C,1281782992190,0,2,train,1,[1 0],[1 0],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],4 0 0,3035 6062 3492,50 51 50,0 1 2,12589,4,[0 1],1616970623.86,Sun Mar 28 2021 17:30:23 GMT-0500 (Central Daylight Time),0
A,A3JGVZEXXELM3C,1281782992190,0,3,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,1927 4673 2960,50 51 50,0 1 2,9560,8,[0 1],1616970636.709,Sun Mar 28 2021 17:30:36 GMT-0500 (Central Daylight Time),0
A,A3JGVZEXXELM3C,1281782992190,0,4,train,1,[1 0],[1 0],1 2 5 2 5 6,6,1 3 1 3 2,[4 0];[0 0];[0 0];[0 0];[0 8],4 0 0 0 0,1610 6265 2914 4246 2646,50 51 49 51 50,0 1 2 3 4,17681,4,[0 1],1616970660.016,Sun Mar 28 2021 17:31:00 GMT-0500 (Central Daylight Time),0
A,A3JGVZEXXELM3C,1281782992190,0,5,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,912 3043 3499,50 51 50,0 1 2,7454,8,[0 1],1616970670.928,Sun Mar 28 2021 17:31:10 GMT-0500 (Central Daylight Time),0
A,A3JGVZEXXELM3C,1281782992190,0,6,train,1,[1 0],[1 0],1 2 3 2 4 6,6,1 1 1 2 2,[4 0];[0 0];[0 0];[0 0];[4 6],4 0 0 0 4,1215 2552 4085 10238 3076,50 49 50 50 49,0 1 2 3 4,21166,8,[0 1],1616970697.976,Sun Mar 28 2021 17:31:37 GMT-0500 (Central Daylight Time),0
A,A3JGVZEXXELM3C,1281782992190,0,7,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,1551 3430 2403,50 50 49,0 1 2,7384,8,[0 1],1616970709.234,Sun Mar 28 2021 17:31:49 GMT-0500 (Central Daylight Time),0
A,A3JGVZEXXELM3C,1281782992190,0,8,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,1101 4308 4677,50 50 49,0 1 2,10086,8,[0 1],1616970723.298,Sun Mar 28 2021 17:32:03 GMT-0500 (Central Daylight Time),0
A,A3JGVZEXXELM3C,1281782992190,0,9,train,1,[1 0],[1 0],1 2 4 2 4 6,6,1 2 1 2 2,[4 0];[0 0];[0 0];[0 0];[4 6],4 0 0 0 4,876 3968 3218 3342 2541,50 50 50 50 49,0 1 2 3 4,13945,8,[0 1],1616970740.886,Sun Mar 28 2021 17:32:20 GMT-0500 (Central Daylight Time),0
A,A3JGVZEXXELM3C,1281782992190,0,10,train,1,[0 1],[0 1],1 2 3 2 3 6,6,1 1 1 1 2,[4 0];[0 0];[0 0];[0 0];[7 0],0 0 0 0 0,755 2493 2454 2557 2346,50 49 50 49 49,0 1 2 3 4,10605,0,[0 1],1616970757.228,Sun Mar 28 2021 17:32:37 GMT-0500 (Central Daylight Time),0
A,A3JGVZEXXELM3C,1281782992190,0,11,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,788 2565 3856,50 51 50,0 1 2,7209,8,[0 1],1616970767.834,Sun Mar 28 2021 17:32:47 GMT-0500 (Central Daylight Time),0
A,A3JGVZEXXELM3C,1281782992190,0,12,train,1,[1 0],[1 0],1 2 3 2 3 6,6,1 1 1 1 2,[4 0];[0 0];[0 0];[0 0];[7 0],4 0 0 0 7,2559 2220 5686 4283 2343,50 49 50 49 49,0 1 2 3 4,17091,11,[0 1],1616970787.758,Sun Mar 28 2021 17:33:07 GMT-0500 (Central Daylight Time),0
A,A3JGVZEXXELM3C,1281782992190,0,13,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,2197 3306 3140,50 49 49,0 1 2,8643,11,[0 1],1616970798.956,Sun Mar 28 2021 17:33:18 GMT-0500 (Central Daylight Time),0
A,A3JGVZEXXELM3C,1281782992190,0,14,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,2532 5757 3108,49 51 50,0 1 2,11397,10,[0 1],1616970814.662,Sun Mar 28 2021 17:33:34 GMT-0500 (Central Daylight Time),0
A,A3JGVZEXXELM3C,1281782992190,0,15,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,3509 2848 2958,50 49 49,0 1 2,9315,11,[0 1],1616970827.044,Sun Mar 28 2021 17:33:47 GMT-0500 (Central Daylight Time),0
A,A3JGVZEXXELM3C,1281782992190,0,16,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,1229 5388 9238,49 51 50,0 1 2,15855,10,[0 1],1616970845.524,Sun Mar 28 2021 17:34:05 GMT-0500 (Central Daylight Time),0
A,A3JGVZEXXELM3C,1281782992190,0,17,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,2161 2869 3119,49 51 50,0 1 2,8149,10,[0 1],1616970856.416,Sun Mar 28 2021 17:34:16 GMT-0500 (Central Daylight Time),0
A,A3JGVZEXXELM3C,1281782992190,0,18,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,2068 2753 2723,49 51 50,0 1 2,7544,10,[0 1],1616970867.158,Sun Mar 28 2021 17:34:27 GMT-0500 (Central Daylight Time),0
