group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3QLGMZOLGMBQ1,1583089266233,0,0,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,3976 11623 7817,98 97 97,0 1 2,23416,8,[1 0],1616976261.879,Sun Mar 28 2021 20:04:21 GMT-0400 (Eastern Daylight Time),0
A,A3QLGMZOLGMBQ1,1583089266233,0,1,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,2967 5696 4024,98 99 98,0 1 2,12687,2,[1 0],1616976280.031,Sun Mar 28 2021 20:04:40 GMT-0400 (Eastern Daylight Time),0
A,A3QLGMZOLGMBQ1,1583089266233,0,2,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,2392 5567 4289,97 97 97,0 1 2,12248,8,[1 0],1616976299.519,Sun Mar 28 2021 20:04:59 GMT-0400 (Eastern Daylight Time),0
A,A3QLGMZOLGMBQ1,1583089266233,0,3,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],0 0 8,1697 3591 3865,97 98 97,0 1 2,9153,8,[1 0],1616976313.726,Sun Mar 28 2021 20:05:13 GMT-0400 (Eastern Daylight Time),0
A,A3QLGMZOLGMBQ1,1583089266233,0,4,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],0 0 7,3311 4888 3641,98 99 98,0 1 2,11840,7,[1 0],1616976328.607,Sun Mar 28 2021 20:05:28 GMT-0400 (Eastern Daylight Time),0
A,A3QLGMZOLGMBQ1,1583089266233,0,5,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,1831 7041 2792,97 97 97,0 1 2,11664,8,[1 0],1616976343.718,Sun Mar 28 2021 20:05:43 GMT-0400 (Eastern Daylight Time),0
A,A3QLGMZOLGMBQ1,1583089266233,0,6,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,1047 3056 2769,97 97 97,0 1 2,6872,8,[1 0],1616976353.279,Sun Mar 28 2021 20:05:53 GMT-0400 (Eastern Daylight Time),0
A,A3QLGMZOLGMBQ1,1583089266233,0,7,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,863 3608 3369,97 99 98,0 1 2,7840,11,[1 0],1616976364.63,Sun Mar 28 2021 20:06:04 GMT-0400 (Eastern Daylight Time),0
A,A3QLGMZOLGMBQ1,1583089266233,0,8,train,1,[1 0],[0 1],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],0 0 0,1503 3985 2688,98 98 97,0 1 2,8176,0,[1 0],1616976375.327,Sun Mar 28 2021 20:06:15 GMT-0400 (Eastern Daylight Time),0
A,A3QLGMZOLGMBQ1,1583089266233,0,9,train,1,[0 1],[1 0],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],0 0 0,1328 3777 2872,97 99 98,0 1 2,7977,0,[1 0],1616976385.847,Sun Mar 28 2021 20:06:25 GMT-0400 (Eastern Daylight Time),0
A,A3QLGMZOLGMBQ1,1583089266233,0,10,train,1,[0 1],[1 0],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],0 0 0,912 4104 2328,97 99 98,0 1 2,7344,0,[1 0],1616976395.591,Sun Mar 28 2021 20:06:35 GMT-0400 (Eastern Daylight Time),0
A,A3QLGMZOLGMBQ1,1583089266233,0,11,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,928 3063 2344,98 98 97,0 1 2,6335,10,[1 0],1616976404.55,Sun Mar 28 2021 20:06:44 GMT-0400 (Eastern Daylight Time),0
A,A3QLGMZOLGMBQ1,1583089266233,0,12,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,751 2776 2288,97 97 97,0 1 2,5815,8,[1 0],1616976412.83,Sun Mar 28 2021 20:06:52 GMT-0400 (Eastern Daylight Time),0
A,A3QLGMZOLGMBQ1,1583089266233,0,13,train,1,[0 1],[1 0],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],0 0 0,2424 4024 2264,97 99 98,0 1 2,8712,0,[1 0],1616976423.703,Sun Mar 28 2021 20:07:03 GMT-0400 (Eastern Daylight Time),0
A,A3QLGMZOLGMBQ1,1583089266233,0,14,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,1248 3016 2768,98 97 97,0 1 2,7032,8,[1 0],1616976432.965,Sun Mar 28 2021 20:07:12 GMT-0400 (Eastern Daylight Time),0
