group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3QRZPJT2CT2IK,1424775714196,0,0,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,2353 17734 4211,49 50 49,0 1 2,24298,10,[0 1],1616442321.867,Mon Mar 22 2021 15:45:21 GMT-0400 (Eastern Daylight Time),0
A,A3QRZPJT2CT2IK,1424775714196,0,1,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,1832 4159 2786,50 49 50,0 1 2,8777,8,[0 1],1616442333.778,Mon Mar 22 2021 15:45:33 GMT-0400 (Eastern Daylight Time),0
A,A3QRZPJT2CT2IK,1424775714196,0,2,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,715 6507 6056,50 49 50,0 1 2,13278,6,[0 1],1616442351.993,Mon Mar 22 2021 15:45:51 GMT-0400 (Eastern Daylight Time),0
A,A3QRZPJT2CT2IK,1424775714196,0,3,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,788 3885 3077,49 51 50,0 1 2,7750,7,[0 1],1616442364.281,Mon Mar 22 2021 15:46:04 GMT-0400 (Eastern Daylight Time),0
A,A3QRZPJT2CT2IK,1424775714196,0,4,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,908 2989 5604,50 49 50,0 1 2,9501,6,[0 1],1616442378.517,Mon Mar 22 2021 15:46:18 GMT-0400 (Eastern Daylight Time),0
A,A3QRZPJT2CT2IK,1424775714196,0,5,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,460 309 3779 2788,32 50 51 50,1 2 3,7336,11,[0 1],1616442389.105,Mon Mar 22 2021 15:46:29 GMT-0400 (Eastern Daylight Time),0
A,A3QRZPJT2CT2IK,1424775714196,0,6,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],2 0 6,1355 2688 3761,49 49 50,0 1 2,7804,8,[0 1],1616442406.25,Mon Mar 22 2021 15:46:46 GMT-0400 (Eastern Daylight Time),0
A,A3QRZPJT2CT2IK,1424775714196,0,7,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,854 3242 2294,50 50 49,0 1 2,6390,8,[0 1],1616442418.872,Mon Mar 22 2021 15:46:58 GMT-0400 (Eastern Daylight Time),0
A,A3QRZPJT2CT2IK,1424775714196,0,8,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,485 3229 3164,50 49 50,0 1 2,6878,8,[0 1],1616442432.422,Mon Mar 22 2021 15:47:12 GMT-0400 (Eastern Daylight Time),0
A,A3QRZPJT2CT2IK,1424775714196,0,9,train,1,[0 1],[0 1],1 2 5 2 4 6,6,1 3 1 2 2,[4 0];[0 0];[0 0];[0 0];[4 6],0 0 0 0 6,608 227 2379 2222 4501 3572 105 524,32 50 50 50 49 32 51 50,1 2 3 4 7,14138,6,[0 1],1616442450.065,Mon Mar 22 2021 15:47:30 GMT-0400 (Eastern Daylight Time),0
A,A3QRZPJT2CT2IK,1424775714196,0,10,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,620 3015 1889,50 49 50,0 1 2,5524,6,[0 1],1616442460.413,Mon Mar 22 2021 15:47:40 GMT-0400 (Eastern Daylight Time),0
A,A3QRZPJT2CT2IK,1424775714196,0,11,train,1,[1 0],[1 0],1 2 4 2 5 2 4 6,8,1 2 1 3 1 2 2,[4 0];[0 0];[0 0];[0 0];[0 0];[0 0];[4 6],4 0 0 0 0 0 4,656 3160 2505 4378 3893 2608 2293,50 49 49 50 50 49 50,0 1 2 3 4 5 6,19493,8,[0 1],1616442484.065,Mon Mar 22 2021 15:48:04 GMT-0400 (Eastern Daylight Time),0
A,A3QRZPJT2CT2IK,1424775714196,0,12,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,690 2610 1798,50 50 49,0 1 2,5098,8,[0 1],1616442491.809,Mon Mar 22 2021 15:48:11 GMT-0400 (Eastern Daylight Time),0
A,A3QRZPJT2CT2IK,1424775714196,0,13,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,653 1834 2022,49 50 49,0 1 2,4509,10,[0 1],1616442499.665,Mon Mar 22 2021 15:48:19 GMT-0400 (Eastern Daylight Time),0
A,A3QRZPJT2CT2IK,1424775714196,0,14,train,1,[1 0],[1 0],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],4 0 0,682 2482 2550,50 50 49,0 1 2,5714,4,[0 1],1616442507.427,Mon Mar 22 2021 15:48:27 GMT-0400 (Eastern Daylight Time),0
A,A3QRZPJT2CT2IK,1424775714196,0,15,train,1,[0 1],[0 1],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],0 0 0,768 4024 2221,50 51 50,0 1 2,7013,0,[0 1],1616442517.1,Mon Mar 22 2021 15:48:37 GMT-0400 (Eastern Daylight Time),0
A,A3QRZPJT2CT2IK,1424775714196,0,16,train,1,[1 0],[1 0],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],0 0 0,576 3687 1686 578,49 50 51 49,0 1 3,6527,0,[0 1],1616442525.69,Mon Mar 22 2021 15:48:45 GMT-0400 (Eastern Daylight Time),0
A,A3QRZPJT2CT2IK,1424775714196,0,17,train,1,[1 0],[1 0],1 2 3 2 4 2 3 6,8,1 1 1 2 1 1 2,[4 0];[0 0];[0 0];[0 0];[0 0];[0 0];[7 0],4 0 0 0 0 0 7,650 3703 2309 2410 1853 2482 2947,50 51 49 49 49 51 50,0 1 2 3 4 5 6,16354,11,[0 1],1616442544.176,Mon Mar 22 2021 15:49:04 GMT-0400 (Eastern Daylight Time),0
A,A3QRZPJT2CT2IK,1424775714196,0,18,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,582 2503 2086,50 49 50,0 1 2,5171,8,[0 1],1616442551.519,Mon Mar 22 2021 15:49:11 GMT-0400 (Eastern Daylight Time),0
