group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3R5OJR60C6004,1720219061234,0,0,train,1,[0 1],[0 1],1 2 5 2 3 6,6,2 3 1 1 2,[0 2];[0 0];[0 0];[0 0];[7 0],2 0 0 0 0,2032 5873 12224 6912 8000,98 99 97 98 98,0 1 2 3 4,35041,2,[0 1],1616356265.234,Sun Mar 21 2021 15:51:05 GMT-0400 (Eastern Daylight Time),0
A,A3R5OJR60C6004,1720219061234,0,1,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,1072 7102 3121,97 97 97,0 1 2,11295,8,[0 1],1616356285.521,Sun Mar 21 2021 15:51:25 GMT-0400 (Eastern Daylight Time),0
A,A3R5OJR60C6004,1720219061234,0,2,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,1208 3600 4080,98 99 98,0 1 2,8888,10,[0 1],1616356309.12,Sun Mar 21 2021 15:51:49 GMT-0400 (Eastern Daylight Time),0
A,A3R5OJR60C6004,1720219061234,0,3,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,1672 5104 4695,97 99 98,0 1 2,11471,8,[0 1],1616356324.93,Sun Mar 21 2021 15:52:04 GMT-0400 (Eastern Daylight Time),0
A,A3R5OJR60C6004,1720219061234,0,4,train,1,[1 0],[1 0],1 2 5 2 4 6,6,1 3 1 2 2,[4 0];[0 0];[0 0];[0 0];[4 6],4 0 0 0 4,1311 5920 2864 4135 3560,97 99 97 97 97,0 1 2 3 4,17790,8,[0 1],1616356354.176,Sun Mar 21 2021 15:52:34 GMT-0400 (Eastern Daylight Time),0
A,A3R5OJR60C6004,1720219061234,0,5,train,1,[0 1],[0 1],1 2 4 2 3 6,6,2 2 1 1 2,[0 2];[0 0];[0 0];[0 0];[7 0],2 0 0 0 0,1623 2913 2629 4571 3920,98 97 98 98 98,0 1 2 3 4,15656,2,[0 1],1616356373.178,Sun Mar 21 2021 15:52:53 GMT-0400 (Eastern Daylight Time),0
A,A3R5OJR60C6004,1720219061234,0,6,train,1,[0 1],[0 1],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],0 0 0,830 4090 3200 440,97 98 99 98,0 1 3,8560,0,[0 1],1616356385.682,Sun Mar 21 2021 15:53:05 GMT-0400 (Eastern Daylight Time),0
A,A3R5OJR60C6004,1720219061234,0,7,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,1944 3456 3151,98 98 98,0 1 2,8551,7,[0 1],1616356397.242,Sun Mar 21 2021 15:53:17 GMT-0400 (Eastern Daylight Time),0
A,A3R5OJR60C6004,1720219061234,0,8,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,1702 3304 2736,97 98 98,0 1 2,7742,11,[0 1],1616356408.064,Sun Mar 21 2021 15:53:28 GMT-0400 (Eastern Daylight Time),0
A,A3R5OJR60C6004,1720219061234,0,9,train,1,[0 1],[0 1],1 2 4 2 5 6,6,1 2 1 3 2,[4 0];[0 0];[0 0];[0 0];[0 8],0 0 0 0 8,1768 3391 2391 2714 2863,97 97 98 99 98,0 1 2 3 4,13127,8,[0 1],1616356426.738,Sun Mar 21 2021 15:53:46 GMT-0400 (Eastern Daylight Time),0
