group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3VENK02U0X16N,1156902896003,0,0,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,4220 14161 5343,50 49 50,0 1 2,23724,8,[0 1],1616380528.456,Sun Mar 21 2021 22:35:28 GMT-0400 (Eastern Daylight Time),0
A,A3VENK02U0X16N,1156902896003,0,1,train,1,[0 1],[0 1],1 2 3 6,4,2 1 2,[0 2];[0 0];[7 0],2 0 0,1860 7002 4574,49 51 50,0 1 2,13436,2,[0 1],1616380546.34,Sun Mar 21 2021 22:35:46 GMT-0400 (Eastern Daylight Time),0
A,A3VENK02U0X16N,1156902896003,0,2,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,2233 6573 4068 1043,50 50 51 50,0 1 3,13917,6,[0 1],1616380568.049,Sun Mar 21 2021 22:36:08 GMT-0400 (Eastern Daylight Time),0
A,A3VENK02U0X16N,1156902896003,0,3,train,1,[1 0],[1 0],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],0 0 4,1092 4925 3830 1096,49 50 51 50,0 1 3,10943,4,[0 1],1616380591.305,Sun Mar 21 2021 22:36:31 GMT-0400 (Eastern Daylight Time),0
A,A3VENK02U0X16N,1156902896003,0,4,train,1,[1 0],[1 0],1 2 5 2 3 6,6,1 3 1 1 2,[4 0];[0 0];[0 0];[0 0];[7 0],4 0 0 0 7,1678 6126 4935 6459 6025,50 49 49 51 50,0 1 2 3 4,25223,11,[0 1],1616380622.463,Sun Mar 21 2021 22:37:02 GMT-0400 (Eastern Daylight Time),0
A,A3VENK02U0X16N,1156902896003,0,5,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,1420 4877 3874,50 51 50,0 1 2,10171,11,[0 1],1616380637.811,Sun Mar 21 2021 22:37:17 GMT-0400 (Eastern Daylight Time),0
A,A3VENK02U0X16N,1156902896003,0,6,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,1395 4490 3290,50 51 50,0 1 2,9175,11,[0 1],1616380652.314,Sun Mar 21 2021 22:37:32 GMT-0400 (Eastern Daylight Time),0
A,A3VENK02U0X16N,1156902896003,0,7,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,3932 5481 3873,50 50 50,0 1 2,13286,6,[0 1],1616380671.695,Sun Mar 21 2021 22:37:51 GMT-0400 (Eastern Daylight Time),0
A,A3VENK02U0X16N,1156902896003,0,8,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],2 0 6,1495 5717 3801,49 50 50,0 1 2,11013,8,[0 1],1616380686.936,Sun Mar 21 2021 22:38:06 GMT-0400 (Eastern Daylight Time),0
A,A3VENK02U0X16N,1156902896003,0,9,train,1,[1 0],[1 0],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],4 0 4,1700 5941 2742,50 50 50,0 1 2,10383,8,[0 1],1616380701.749,Sun Mar 21 2021 22:38:21 GMT-0400 (Eastern Daylight Time),0
A,A3VENK02U0X16N,1156902896003,0,10,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,935 4635 3694,50 50 50,0 1 2,9264,6,[0 1],1616380716.801,Sun Mar 21 2021 22:38:36 GMT-0400 (Eastern Daylight Time),0
A,A3VENK02U0X16N,1156902896003,0,11,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,1873 2437 3050,50 51 50,0 1 2,7360,11,[0 1],1616380729.628,Sun Mar 21 2021 22:38:49 GMT-0400 (Eastern Daylight Time),0
A,A3VENK02U0X16N,1156902896003,0,12,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[0 0];[4 6],2 0 6,921 5312 3311,49 50 50,0 1 2,9544,8,[0 1],1616380744.236,Sun Mar 21 2021 22:39:04 GMT-0400 (Eastern Daylight Time),0
A,A3VENK02U0X16N,1156902896003,0,13,train,1,[0 1],[0 1],1 2 4 6,4,1 2 2,[4 0];[0 0];[4 6],0 0 6,1651 6128 2978,50 50 50,0 1 2,10757,6,[0 1],1616380758.718,Sun Mar 21 2021 22:39:18 GMT-0400 (Eastern Daylight Time),0
