group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,ACRTRQ23XH20E,1235989484895,0,0,train,1,[1 0],[0 1],1 2 5 2 3 6,6,1 3 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 7],4 0 0 0 7,3969 3712 3015 3296 52272,97 99 97 97 98,0 1 2 3 4,66264,11,[1 0],1616968186.004,Sun Mar 28 2021 17:49:46 GMT-0400 (Eastern Daylight Time),0
A,ACRTRQ23XH20E,1235989484895,0,1,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,802 2577 6875,97 98 97,0 1 2,10254,6,[1 0],1616968198.39,Sun Mar 28 2021 17:49:58 GMT-0400 (Eastern Daylight Time),0
A,ACRTRQ23XH20E,1235989484895,0,2,train,1,[1 0],[0 1],1 2 3 2 3 6,6,2 1 1 1 2,[2 0];[0 0];[0 0];[0 0];[0 7],0 0 0 0 7,361 1767 7411 2147 1804,98 97 97 97 98,0 1 2 3 4,13490,7,[1 0],1616968214.669,Sun Mar 28 2021 17:50:14 GMT-0400 (Eastern Daylight Time),0
A,ACRTRQ23XH20E,1235989484895,0,3,train,1,[0 1],[1 0],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],0 0 0,455 2987 2448,97 97 98,0 1 2,5890,0,[1 0],1616968222.89,Sun Mar 28 2021 17:50:22 GMT-0400 (Eastern Daylight Time),0
A,ACRTRQ23XH20E,1235989484895,0,4,train,1,[1 0],[0 1],1 2 4 2 3 6,6,1 2 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 7],4 0 0 0 7,215 1928 2109 267 1174 3065 1843,97 98 99 32 98 97 98,0 1 4 5 6,10601,11,[1 0],1616968237.295,Sun Mar 28 2021 17:50:37 GMT-0400 (Eastern Daylight Time),0
A,ACRTRQ23XH20E,1235989484895,0,5,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,408 1630 2085,97 97 98,0 1 2,4123,11,[1 0],1616968243.835,Sun Mar 28 2021 17:50:43 GMT-0400 (Eastern Daylight Time),0
A,ACRTRQ23XH20E,1235989484895,0,6,train,1,[0 1],[1 0],1 2 4 2 3 6,6,1 2 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 7],0 0 0 0 0,455 2156 2028 369 1638 1501 3739 1855,97 98 99 32 32 98 97 98,0 1 5 6 7,13741,0,[1 0],1616968259.883,Sun Mar 28 2021 17:50:59 GMT-0400 (Eastern Daylight Time),0
A,ACRTRQ23XH20E,1235989484895,0,7,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,380 2148 1882,97 97 98,0 1 2,4410,11,[1 0],1616968267.5,Sun Mar 28 2021 17:51:07 GMT-0400 (Eastern Daylight Time),0
A,ACRTRQ23XH20E,1235989484895,0,8,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],4 0 0,616 2906 2683,97 99 98,0 1 2,6205,4,[1 0],1616968276.223,Sun Mar 28 2021 17:51:16 GMT-0400 (Eastern Daylight Time),0
A,ACRTRQ23XH20E,1235989484895,0,9,train,1,[1 0],[0 1],1 2 4 2 3 6,6,1 2 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 7],4 0 0 0 7,279 1808 2256 443 2024 4327 409,97 98 99 98 97 99 98,0 1 3 4 6,11546,11,[1 0],1616968295.284,Sun Mar 28 2021 17:51:35 GMT-0400 (Eastern Daylight Time),0
