group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AD1WGUMVD6KED,1049753614710,0,0,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,3062 21625 8320,97 98 98,0 1 2,33007,11,[0 1],1616514484.003,Tue Mar 23 2021 08:48:04 GMT-0700 (Pacific Daylight Time),0
A,AD1WGUMVD6KED,1049753614710,0,1,train,1,[0 1],[0 1],1 2 4 2 5 2 3 6,8,2 2 1 3 1 1 2,[0 2];[0 0];[0 0];[0 0];[0 0];[0 0];[7 0],2 0 0 0 0 0 0,2210 9966 8685 6836 7074 11457 5391,98 99 97 97 97 98 98,0 1 2 3 4 5 6,51619,2,[0 1],1616514552.956,Tue Mar 23 2021 08:49:12 GMT-0700 (Pacific Daylight Time),0
A,AD1WGUMVD6KED,1049753614710,0,2,train,1,[0 1],[0 1],1 2 5 2 5 6,6,1 3 1 3 2,[4 0];[0 0];[0 0];[0 0];[0 8],0 0 0 0 8,1630 8160 7436 8597 2561,97 97 97 97 98,0 1 2 3 4,28384,8,[0 1],1616514590.357,Tue Mar 23 2021 08:49:50 GMT-0700 (Pacific Daylight Time),0
A,AD1WGUMVD6KED,1049753614710,0,3,train,1,[0 1],[0 1],1 2 3 2 3 6,6,1 1 1 1 2,[4 0];[0 0];[0 0];[0 0];[7 0],0 0 0 0 0,879 4190 4417 4067 3231,97 98 97 98 98,0 1 2 3 4,16784,0,[0 1],1616514613.644,Tue Mar 23 2021 08:50:13 GMT-0700 (Pacific Daylight Time),0
A,AD1WGUMVD6KED,1049753614710,0,4,train,1,[1 0],[1 0],1 2 5 2 3 2 5 6,8,1 3 1 1 1 3 2,[4 0];[0 0];[0 0];[0 0];[0 0];[0 0];[0 8],4 0 0 0 0 0 0,17345 28221 16487 15260 21271 8984 4111,97 97 97 98 97 97 98,0 1 2 3 4 5 6,111679,4,[0 1],1616514881.97,Tue Mar 23 2021 08:54:41 GMT-0700 (Pacific Daylight Time),0
A,AD1WGUMVD6KED,1049753614710,0,5,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,2415 4576 4248,97 98 98,0 1 2,11239,11,[0 1],1616514911.463,Tue Mar 23 2021 08:55:11 GMT-0700 (Pacific Daylight Time),0
A,AD1WGUMVD6KED,1049753614710,0,6,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,10484 3445 3189,97 97 98,0 1 2,17118,8,[0 1],1616514935.865,Tue Mar 23 2021 08:55:35 GMT-0700 (Pacific Daylight Time),0
A,AD1WGUMVD6KED,1049753614710,0,7,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,1330 2125 2426,97 97 98,0 1 2,5881,8,[0 1],1616514950.652,Tue Mar 23 2021 08:55:50 GMT-0700 (Pacific Daylight Time),0
A,AD1WGUMVD6KED,1049753614710,0,8,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,520 10202 2321,97 98 98,0 1 2,13043,11,[0 1],1616514974.704,Tue Mar 23 2021 08:56:14 GMT-0700 (Pacific Daylight Time),0
A,AD1WGUMVD6KED,1049753614710,0,9,train,1,[1 0],[1 0],1 2 4 2 4 6,6,1 2 1 2 2,[4 0];[0 0];[0 0];[0 0];[4 6],4 0 0 0 4,1843 3056 6468 21275 5429,97 99 97 99 98,0 1 2 3 4,38071,8,[0 1],1616515044.76,Tue Mar 23 2021 08:57:24 GMT-0700 (Pacific Daylight Time),0
A,AD1WGUMVD6KED,1049753614710,0,10,train,1,[1 0],[1 0],1 2 5 2 5 6,6,2 3 1 3 2,[0 2];[0 0];[0 0];[0 0];[0 8],0 0 0 0 0,3316 43584 10499 14466 3431,98 97 97 97 98,0 1 2 3 4,75296,0,[0 1],1616515130.248,Tue Mar 23 2021 08:58:50 GMT-0700 (Pacific Daylight Time),0
A,AD1WGUMVD6KED,1049753614710,0,11,train,1,[1 0],[1 0],1 2 3 2 3 6,6,2 1 1 1 2,[0 2];[0 0];[0 0];[0 0];[7 0],0 0 0 0 7,1275 3913 9237 6334 2707,98 98 97 98 98,0 1 2 3 4,23466,7,[0 1],1616515164.214,Tue Mar 23 2021 08:59:24 GMT-0700 (Pacific Daylight Time),0
A,AD1WGUMVD6KED,1049753614710,0,12,train,1,[1 0],[1 0],1 2 4 2 4 6,6,2 2 1 2 2,[0 2];[0 0];[0 0];[0 0];[4 6],0 0 0 0 4,1512 4426 4540 4785 3018,98 99 97 99 98,0 1 2 3 4,18281,4,[0 1],1616515193.762,Tue Mar 23 2021 08:59:53 GMT-0700 (Pacific Daylight Time),0
A,AD1WGUMVD6KED,1049753614710,0,13,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,3184 5362 1784,98 97 98,0 1 2,10330,10,[0 1],1616515230.234,Tue Mar 23 2021 09:00:30 GMT-0700 (Pacific Daylight Time),0
A,AD1WGUMVD6KED,1049753614710,0,14,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,827 2846 2420,98 97 98,0 1 2,6093,10,[0 1],1616515241.83,Tue Mar 23 2021 09:00:41 GMT-0700 (Pacific Daylight Time),0
A,AD1WGUMVD6KED,1049753614710,0,15,train,1,[0 1],[0 1],1 2 5 6,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,540 5507 2805,97 97 98,0 1 2,8852,8,[0 1],1616515254.632,Tue Mar 23 2021 09:00:54 GMT-0700 (Pacific Daylight Time),0
A,AD1WGUMVD6KED,1049753614710,0,16,train,1,[0 1],[0 1],1 2 5 6,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,657 3066 2064,98 97 98,0 1 2,5787,10,[0 1],1616515264.651,Tue Mar 23 2021 09:01:04 GMT-0700 (Pacific Daylight Time),0
A,AD1WGUMVD6KED,1049753614710,0,17,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,451 2859 2287,97 98 98,0 1 2,5597,11,[0 1],1616515281.613,Tue Mar 23 2021 09:01:21 GMT-0700 (Pacific Daylight Time),0
