group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AJZEXCH1TSUE1,1013255289012,0,0,train,1,[0 1],[1 0],1 2 4 2 5 6,6,2 2 1 3 2,[2 0];[0 0];[0 0];[0 0];[8 0],2 0 0 0 8,1866 4653 3846 5397 3439,50 51 49 50 50,0 1 2 3 4,19201,10,[1 0],1617074862.313,Mon Mar 29 2021 20:27:42 GMT-0700 (Pacific Daylight Time),0
A,AJZEXCH1TSUE1,1013255289012,0,1,train,1,[1 0],[0 1],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],0 0 0,757 3651 3469,50 50 50,0 1 2,7877,0,[1 0],1617074875.112,Mon Mar 29 2021 20:27:55 GMT-0700 (Pacific Daylight Time),0
A,AJZEXCH1TSUE1,1013255289012,0,2,train,1,[0 1],[1 0],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],0 0 0,1157 3521 2973,49 49 49,0 1 2,7651,0,[1 0],1617074886.09,Mon Mar 29 2021 20:28:06 GMT-0700 (Pacific Daylight Time),0
A,AJZEXCH1TSUE1,1013255289012,0,3,train,1,[1 0],[0 1],1 2 4 2 4 6,6,2 2 1 2 2,[2 0];[0 0];[0 0];[0 0];[6 4],0 0 0 0 4,985 2818 2876 2877 2528,50 51 49 51 50,0 1 2 3 4,12084,4,[1 0],1617074901.403,Mon Mar 29 2021 20:28:21 GMT-0700 (Pacific Daylight Time),0
A,AJZEXCH1TSUE1,1013255289012,0,4,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,1256 3233 2809,50 49 49,0 1 2,7298,2,[1 0],1617074911.109,Mon Mar 29 2021 20:28:31 GMT-0700 (Pacific Daylight Time),0
A,AJZEXCH1TSUE1,1013255289012,0,5,train,1,[1 0],[0 1],1 2 4 2 5 6,6,2 2 1 3 2,[2 0];[0 0];[0 0];[0 0];[8 0],0 0 0 0 0,1017 3598 3328 2702 2952,50 51 49 50 50,0 1 2 3 4,13597,0,[1 0],1617074927.041,Mon Mar 29 2021 20:28:47 GMT-0700 (Pacific Daylight Time),0
A,AJZEXCH1TSUE1,1013255289012,0,6,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],2 0 6,1282 4241 3106,50 51 50,0 1 2,8629,8,[1 0],1617074938.168,Mon Mar 29 2021 20:28:58 GMT-0700 (Pacific Daylight Time),0
A,AJZEXCH1TSUE1,1013255289012,0,7,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,2360 4713 5400,49 51 50,0 1 2,12473,6,[1 0],1617074953.408,Mon Mar 29 2021 20:29:13 GMT-0700 (Pacific Daylight Time),0
A,AJZEXCH1TSUE1,1013255289012,0,8,train,1,[1 0],[0 1],1 2 3 2 4 6,6,2 1 1 2 2,[2 0];[0 0];[0 0];[0 0];[6 4],0 0 0 0 4,1510 3118 3558 4689 3091,50 49 50 51 50,0 1 2 3 4,15966,4,[1 0],1617074972.137,Mon Mar 29 2021 20:29:32 GMT-0700 (Pacific Daylight Time),0
A,AJZEXCH1TSUE1,1013255289012,0,9,train,1,[1 0],[0 1],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],0 0 4,1393 4050 3240,50 51 50,0 1 2,8683,4,[1 0],1617074983.622,Mon Mar 29 2021 20:29:43 GMT-0700 (Pacific Daylight Time),0
A,AJZEXCH1TSUE1,1013255289012,0,10,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,1936 3179 3088,49 51 50,0 1 2,8203,6,[1 0],1617074993.754,Mon Mar 29 2021 20:29:53 GMT-0700 (Pacific Daylight Time),0
A,AJZEXCH1TSUE1,1013255289012,0,11,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],4 0 0,2777 5793 3064 773,49 50 51 50,0 1 3,12407,4,[1 0],1617075008.696,Mon Mar 29 2021 20:30:08 GMT-0700 (Pacific Daylight Time),0
A,AJZEXCH1TSUE1,1013255289012,0,12,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],0 0 7,1393 3848 4090,50 49 49,0 1 2,9331,7,[1 0],1617075020.671,Mon Mar 29 2021 20:30:20 GMT-0700 (Pacific Daylight Time),0
