group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AOAZMLP27GD81,1498654822646,0,0,train,1,[1 0],[0 1],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],0 0 0,3023 8928 4869,50 49 49,0 1 2,16820,0,[1 0],1616566901.558,Tue Mar 23 2021 23:21:41 GMT-0700 (Pacific Daylight Time),0
A,AOAZMLP27GD81,1498654822646,0,1,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,1849 8326 4440,49 50 50,0 1 2,14615,11,[1 0],1616566921.145,Tue Mar 23 2021 23:22:01 GMT-0700 (Pacific Daylight Time),0
A,AOAZMLP27GD81,1498654822646,0,2,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,1105 4397 4497,50 49 49,0 1 2,9999,10,[1 0],1616566937.098,Tue Mar 23 2021 23:22:17 GMT-0700 (Pacific Daylight Time),0
A,AOAZMLP27GD81,1498654822646,0,3,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,4445 5469 7274,49 51 49,0 1 2,17188,8,[1 0],1616566959.668,Tue Mar 23 2021 23:22:39 GMT-0700 (Pacific Daylight Time),0
A,AOAZMLP27GD81,1498654822646,0,4,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,4570 3679 4376,50 49 49,0 1 2,12625,10,[1 0],1616566975.081,Tue Mar 23 2021 23:22:55 GMT-0700 (Pacific Daylight Time),0
A,AOAZMLP27GD81,1498654822646,0,5,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,2459 3480 2464,49 50 50,0 1 2,8403,11,[1 0],1616566987.938,Tue Mar 23 2021 23:23:07 GMT-0700 (Pacific Daylight Time),0
A,AOAZMLP27GD81,1498654822646,0,6,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,4346 9852 2945,49 50 50,0 1 2,17143,11,[1 0],1616567007.977,Tue Mar 23 2021 23:23:27 GMT-0700 (Pacific Daylight Time),0
A,AOAZMLP27GD81,1498654822646,0,7,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,1491 3230 2739,50 49 49,0 1 2,7460,10,[1 0],1616567019.121,Tue Mar 23 2021 23:23:39 GMT-0700 (Pacific Daylight Time),0
A,AOAZMLP27GD81,1498654822646,0,8,train,1,[0 1],[1 0],1 2 3 2 5 6,6,2 1 1 3 2,[2 0];[0 0];[0 0];[0 0];[8 0],2 0 0 0 8,926 6261 2851 4511 2903,50 50 49 49 49,0 1 2 3 4,17452,10,[1 0],1616567040.93,Tue Mar 23 2021 23:24:00 GMT-0700 (Pacific Daylight Time),0
A,AOAZMLP27GD81,1498654822646,0,9,train,1,[1 0],[0 1],1 2 4 2 4 2 5 6,8,2 2 1 2 1 3 2,[2 0];[0 0];[0 0];[0 0];[0 0];[0 0];[8 0],0 0 0 0 0 0 0,2237 3373 4141 6898 9098 5089 4165,50 51 50 51 50 49 49,0 1 2 3 4 5 6,35001,0,[1 0],1616567079.285,Tue Mar 23 2021 23:24:39 GMT-0700 (Pacific Daylight Time),0
A,AOAZMLP27GD81,1498654822646,0,10,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],4 0 0,5113 5162 4657,49 49 49,0 1 2,14932,4,[1 0],1616567097.999,Tue Mar 23 2021 23:24:57 GMT-0700 (Pacific Daylight Time),0
