group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AXKTYKCT9NGHS,1709264181448,0,0,train,1,[1 0],[0 1],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],0 0 4,5298 9625 5344,49 49 50,0 1 2,20267,4,[1 0],1616487232.339,Tue Mar 23 2021 03:13:52 GMT-0500 (Central Daylight Time),1
A,AXKTYKCT9NGHS,1709264181448,0,1,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],0 0 8,3135 6474 5377,50 50 50,0 1 2,14986,8,[1 0],1616487258.808,Tue Mar 23 2021 03:14:18 GMT-0500 (Central Daylight Time),1
A,AXKTYKCT9NGHS,1709264181448,0,2,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],0 0 7,1608 7394 5344,49 51 49,0 1 2,14346,7,[1 0],1616487278.787,Tue Mar 23 2021 03:14:38 GMT-0500 (Central Daylight Time),1
A,AXKTYKCT9NGHS,1709264181448,0,3,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,3137 9570 3705,49 51 49,0 1 2,16412,2,[1 0],1616487300.511,Tue Mar 23 2021 03:15:00 GMT-0500 (Central Daylight Time),1
A,AXKTYKCT9NGHS,1709264181448,0,4,train,1,[1 0],[0 1],1 2 4 2 3 6,6,1 2 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 7],4 0 0 0 7,1392 7818 6586 5096 4938,50 49 49 51 49,0 1 2 3 4,25830,11,[1 0],1616487330.629,Tue Mar 23 2021 03:15:30 GMT-0500 (Central Daylight Time),1
A,AXKTYKCT9NGHS,1709264181448,0,5,train,1,[0 1],[1 0],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],0 0 0,2128 4113 2944,50 51 49,0 1 2,9185,0,[1 0],1616487343.91,Tue Mar 23 2021 03:15:43 GMT-0500 (Central Daylight Time),1
A,AXKTYKCT9NGHS,1709264181448,0,6,train,1,[1 0],[0 1],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],0 0 4,8090 3928 3145,49 49 50,0 1 2,15163,4,[1 0],1616487363.307,Tue Mar 23 2021 03:16:03 GMT-0500 (Central Daylight Time),1
A,AXKTYKCT9NGHS,1709264181448,0,7,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],0 0 8,1552 4801 3048 705,50 50 51 50,0 1 3,10106,8,[1 0],1616487380.974,Tue Mar 23 2021 03:16:20 GMT-0500 (Central Daylight Time),1
A,AXKTYKCT9NGHS,1709264181448,0,8,train,1,[0 1],[1 0],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],0 0 0,1328 4017 3121,50 51 49,0 1 2,8466,0,[1 0],1616487393.296,Tue Mar 23 2021 03:16:33 GMT-0500 (Central Daylight Time),1
A,AXKTYKCT9NGHS,1709264181448,0,9,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],0 0 6,3168 3529 2904,50 49 50,0 1 2,9601,6,[1 0],1616487407.97,Tue Mar 23 2021 03:16:47 GMT-0500 (Central Daylight Time),1
A,AXKTYKCT9NGHS,1709264181448,0,10,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,1865 6881 3792,49 50 50,0 1 2,12538,10,[1 0],1616487431.68,Tue Mar 23 2021 03:17:11 GMT-0500 (Central Daylight Time),1
A,AXKTYKCT9NGHS,1709264181448,0,11,train,1,[1 0],[0 1],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],4 0 0,3280 7418 4233,50 50 50,0 1 2,14931,4,[1 0],1616487449.882,Tue Mar 23 2021 03:17:29 GMT-0500 (Central Daylight Time),1
A,AXKTYKCT9NGHS,1709264181448,0,12,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,1479 3433 2968,50 49 50,0 1 2,7880,8,[1 0],1616487461.1,Tue Mar 23 2021 03:17:41 GMT-0500 (Central Daylight Time),1
A,AXKTYKCT9NGHS,1709264181448,0,13,train,1,[0 1],[1 0],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],2 0 0,1497 4169 3064,49 51 49,0 1 2,8730,2,[1 0],1616487472.814,Tue Mar 23 2021 03:17:52 GMT-0500 (Central Daylight Time),1
A,AXKTYKCT9NGHS,1709264181448,0,14,train,1,[0 1],[1 0],1 2 5 2 3 6,6,1 3 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 7],0 0 0 0 0,1095 521 4120 2985 4185 2736,51 50 50 49 51 49,1 2 3 4 5,15642,0,[1 0],1616487491.746,Tue Mar 23 2021 03:18:11 GMT-0500 (Central Daylight Time),1
