group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AZ5ZYUCAQ0XDL,1438978090638,0,0,train,1,[0 1],[1 0],1 2 3 6,4,1 1 2,[0 4];[0 0];[0 7],0 0 0,3268 18990 12086,49 50 50,0 1 2,34344,0,[1 0],1616358497.49,Sun Mar 21 2021 16:28:17 GMT-0400 (Eastern Daylight Time),0
A,AZ5ZYUCAQ0XDL,1438978090638,0,1,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[0 0];[0 7],0 0 7,3252 6492 6797,50 50 50,0 1 2,16541,7,[1 0],1616358519.085,Sun Mar 21 2021 16:28:39 GMT-0400 (Eastern Daylight Time),0
A,AZ5ZYUCAQ0XDL,1438978090638,0,2,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,2433 8439 3918,49 49 50,0 1 2,14790,8,[1 0],1616358537.943,Sun Mar 21 2021 16:28:57 GMT-0400 (Eastern Daylight Time),0
A,AZ5ZYUCAQ0XDL,1438978090638,0,3,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 4];[0 0];[6 4],4 0 4,2954 4514 4065,49 49 50,0 1 2,11533,8,[1 0],1616358553.052,Sun Mar 21 2021 16:29:13 GMT-0400 (Eastern Daylight Time),0
A,AZ5ZYUCAQ0XDL,1438978090638,0,4,train,1,[0 1],[1 0],1 2 5 6,4,1 3 2,[0 4];[0 0];[8 0],0 0 8,2704 3627 3253,49 51 50,0 1 2,9584,8,[1 0],1616358565.997,Sun Mar 21 2021 16:29:25 GMT-0400 (Eastern Daylight Time),0
A,AZ5ZYUCAQ0XDL,1438978090638,0,5,train,1,[1 0],[0 1],1 2 4 6,4,2 2 2,[2 0];[0 0];[6 4],0 0 4,3152 8532 3102,50 49 50,0 1 2,14786,4,[1 0],1616358584.771,Sun Mar 21 2021 16:29:44 GMT-0400 (Eastern Daylight Time),0
A,AZ5ZYUCAQ0XDL,1438978090638,0,6,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,1806 5370 3346,50 51 50,0 1 2,10522,10,[1 0],1616358609.501,Sun Mar 21 2021 16:30:09 GMT-0400 (Eastern Daylight Time),0
A,AZ5ZYUCAQ0XDL,1438978090638,0,7,train,1,[1 0],[0 1],1 2 3 2 5 6,6,1 1 1 3 2,[0 4];[0 0];[0 0];[0 0];[8 0],4 0 0 0 0,1030 3625 3652 8244 3116,49 50 49 51 50,0 1 2 3 4,19667,4,[1 0],1616358632.2,Sun Mar 21 2021 16:30:32 GMT-0400 (Eastern Daylight Time),0
A,AZ5ZYUCAQ0XDL,1438978090638,0,8,train,1,[1 0],[0 1],1 2 3 2 3 6,6,1 1 1 1 2,[0 4];[0 0];[0 0];[0 0];[0 7],4 0 0 0 7,1063 5348 4005 4227 3001,49 50 49 50 50,0 1 2 3 4,17644,11,[1 0],1616358652.827,Sun Mar 21 2021 16:30:52 GMT-0400 (Eastern Daylight Time),0
A,AZ5ZYUCAQ0XDL,1438978090638,0,9,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,2705 4651 5139,50 51 50,0 1 2,12495,10,[1 0],1616358668.537,Sun Mar 21 2021 16:31:08 GMT-0400 (Eastern Daylight Time),0
