group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1HKYY6XI2OHO1,1606320040628,0,0,train,1,[0 1],[1 0],1 2 4 10,4,2 2 2,[2 0];[0 0];[1 2],2 0 1,19560 2334 2336,  ,0 1 2,24230,3,[1 0],1617584994.323,Sun Apr 04 2021 20:09:54 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1606320040628,0,1,train,1,[1 0],[0 1],1 2 4 10,4,1 2 2,[0 4];[0 0];[1 2],4 0 2,2849 2098 2097,  ,0 1 2,7044,6,[1 0],1617585003.587,Sun Apr 04 2021 20:10:03 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1606320040628,0,2,train,1,[1 0],[0 1],1 2 4 10,4,1 2 2,[0 4];[0 0];[1 2],4 0 2,59646 9638 5862,  ,0 1 2,75146,6,[1 0],1617585084.249,Sun Apr 04 2021 20:11:24 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1606320040628,0,3,train,1,[1 0],[0 1],1 2 4 10,4,1 2 2,[0 4];[0 0];[1 2],4 0 2,45425 4556 5568,  ,0 1 2,55549,6,[1 0],1617585146.875,Sun Apr 04 2021 20:12:26 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1606320040628,0,4,train,1,[0 1],[1 0],1 2 4 10,4,2 2 2,[2 0];[0 0];[1 2],2 0 1,26425 0 5357 6564,119   ,1 2 3,38346,3,[1 0],1617585192.172,Sun Apr 04 2021 20:13:12 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1606320040628,0,5,train,1,[1 0],[0 1],1 2 4 10,4,1 2 2,[0 4];[0 0];[1 2],4 0 2,143797 0 3249 3250,119   ,1 2 3,150296,6,[1 0],1617585348.564,Sun Apr 04 2021 20:15:48 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1606320040628,0,6,train,1,[0 1],[1 0],1 2 4 10,4,2 2 2,[2 0];[0 0];[1 2],2 0 1,78847 0 14194 3992,119   ,1 2 3,97033,3,[1 0],1617585451.658,Sun Apr 04 2021 20:17:31 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1606320040628,0,7,train,1,[1 0],[0 1],1 2 4 10,4,1 2 2,[0 4];[0 0];[1 2],4 0 2,5194 9309 5591,  ,0 1 2,20094,6,[1 0],1617585475.988,Sun Apr 04 2021 20:17:55 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1606320040628,0,8,train,1,[1 0],[0 1],1 2 4 10,4,1 2 2,[0 4];[0 0];[1 2],4 0 2,3156 8984 4053,  ,0 1 2,16193,6,[1 0],1617585497.02,Sun Apr 04 2021 20:18:17 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1606320040628,0,9,train,1,[0 1],[1 0],1 2 4 10,4,2 2 2,[2 0];[0 0];[1 2],2 0 1,2435 3635 5592,  ,0 1 2,11662,3,[1 0],1617585513.083,Sun Apr 04 2021 20:18:33 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1606320040628,0,10,train,1,[1 0],[0 1],1 2 4 10,4,1 2 2,[0 4];[0 0];[1 2],4 0 2,2689 7757 3763,  ,0 1 2,14209,6,[1 0],1617585531.094,Sun Apr 04 2021 20:18:51 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1606320040628,0,11,train,1,[0 1],[1 0],1 2 4 10,4,2 2 2,[2 0];[0 0];[1 2],2 0 1,61435 2426 2421,  ,0 1 2,66282,3,[1 0],1617585601.036,Sun Apr 04 2021 20:20:01 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1606320040628,0,12,train,1,[1 0],[0 1],1 2 4 10,4,1 2 2,[0 4];[0 0];[1 2],4 0 2,1202 2163 2165,  ,0 1 2,5530,6,[1 0],1617585608.864,Sun Apr 04 2021 20:20:08 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1606320040628,0,13,train,1,[1 0],[0 1],1 2 4 10,4,1 2 2,[0 4];[0 0];[1 2],4 0 2,61718 2401 2403,  ,0 1 2,66522,6,[1 0],1617585677.675,Sun Apr 04 2021 20:21:17 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1606320040628,0,14,train,1,[0 1],[1 0],1 2 4 10,4,2 2 2,[2 0];[0 0];[1 2],2 0 1,1195 2277 2280,  ,0 1 2,5752,3,[1 0],1617585685.773,Sun Apr 04 2021 20:21:25 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1606320040628,0,15,train,1,[1 0],[0 1],1 2 4 10,4,1 2 2,[0 4];[0 0];[1 2],4 0 2,113797 2348 2350,  ,0 1 2,118495,6,[1 0],1617585806.583,Sun Apr 04 2021 20:23:26 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1606320040628,0,16,train,1,[0 1],[1 0],1 2 4 10,4,2 2 2,[2 0];[0 0];[1 2],2 0 1,1168 2256 2257,  ,0 1 2,5681,3,[1 0],1617585814.574,Sun Apr 04 2021 20:23:34 GMT-0500 (Central Daylight Time),0
