group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1HKYY6XI2OHO1,1980774975577,0,0,train,1,[0 1],[0 1],1 2 3 10,4,1 1 3,[4 0];[0 0];[1 2],0 0 2,9531 14984 8234,49 50 51,0 1 2,32749,2,[0 1],1617575959.777,Sun Apr 04 2021 17:39:19 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1980774975577,0,1,train,1,[1 0],[1 0],1 2 5 10,4,1 3 2,[4 0];[0 0];[0 8],4 0 0,694 4934 7107,49 49 50,0 1 2,12735,4,[0 1],1617575980.002,Sun Apr 04 2021 17:39:40 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1980774975577,0,2,train,1,[0 1],[0 1],1 2 5 10,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,84850 679761 23212,49 49 50,0 1 2,787823,8,[0 1],1617576992.602,Sun Apr 04 2021 17:56:32 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1980774975577,0,3,train,1,[1 0],[1 0],1 2 3 2 5 10,6,1 1 1 3 2,[4 0];[0 0];[0 0];[0 0];[0 8],4 0 0 0 0,6010 243111 67251 5848 14484,49 50 50 49 50,0 1 2 3 4,336704,4,[0 1],1617577682.357,Sun Apr 04 2021 18:08:02 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1980774975577,0,4,train,1,[0 1],[0 1],1 2 5 10,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,35395 158856 193739,51 49 50,0 1 2,387990,10,[0 1],1617578109.782,Sun Apr 04 2021 18:15:09 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1980774975577,0,5,train,1,[1 0],[1 0],1 2 5 10,4,1 3 2,[4 0];[0 0];[0 8],4 0 0,225118 10950 8670,49 49 50,0 1 2,244738,4,[0 1],1617578363.225,Sun Apr 04 2021 18:19:23 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1980774975577,0,6,train,1,[0 1],[0 1],1 2 5 10,4,2 3 3,[0 2];[0 0];[0 1],2 0 1,43503 463734 33348 227301,51 49 49 0,0 2 3,767886,3,[0 1],1617579189.451,Sun Apr 04 2021 18:33:09 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1980774975577,0,7,train,1,[0 1],[0 1],1 2 5 10,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,90962 22065 22193,0 0 0,0 1 2,135220,10,[0 1],1617579579.466,Sun Apr 04 2021 18:39:39 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1980774975577,0,8,train,1,[1 0],[1 0],1 2 5 10,4,1 3 3,[4 0];[0 0];[0 1],4 0 0,489961 33258 10662,0 0 0,0 1 2,533881,4,[0 1],1617580121.688,Sun Apr 04 2021 18:48:41 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1980774975577,0,9,train,1,[1 0],[1 0],1 2 5 10,4,1 3 3,[4 0];[0 0];[0 1],4 0 0,8703 16723 9854,0 0 0,0 1 2,35280,4,[0 1],1617580166.09,Sun Apr 04 2021 18:49:26 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1980774975577,0,10,train,1,[1 0],[1 0],1 2 5 10,4,1 3 3,[4 0];[0 0];[0 1],4 0 0,8322 224527 4354,97 97 97,0 1 2,237203,4,[0 1],1617580411.524,Sun Apr 04 2021 18:53:31 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1980774975577,0,11,train,1,[0 1],[0 1],1 2 5 10,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,4067 5477 3672,99 97 98,0 1 2,13216,10,[0 1],1617580428.265,Sun Apr 04 2021 18:53:48 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1980774975577,0,12,train,1,[0 1],[0 1],1 2 5 10,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,3089 3178 3964,99 97 98,0 1 2,10231,10,[0 1],1617580440.509,Sun Apr 04 2021 18:54:00 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1980774975577,0,13,train,1,[1 0],[1 0],1 2 5 10,4,1 3 3,[4 0];[0 0];[0 1],4 0 0,5072 3472 4672,97 97 97,0 1 2,13216,4,[0 1],1617580462.704,Sun Apr 04 2021 18:54:22 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1980774975577,0,14,train,1,[1 0],[1 0],1 2 5 10,4,1 3 3,[4 0];[0 0];[0 1],4 0 0,3307 7594 14536,97 97 97,0 1 2,25437,4,[0 1],1617580490.38,Sun Apr 04 2021 18:54:50 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1980774975577,0,15,train,1,[0 1],[0 1],1 2 5 10,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,2544 97220 4898,99 97 98,0 1 2,104662,10,[0 1],1617580606.98,Sun Apr 04 2021 18:56:46 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1980774975577,0,16,train,1,[0 1],[0 1],1 2 5 10,4,2 3 2,[0 2];[0 0];[0 8],2 0 8,2664 17334 3218,99 97 98,0 1 2,23216,10,[0 1],1617580632.635,Sun Apr 04 2021 18:57:12 GMT-0500 (Central Daylight Time),0
A,A1HKYY6XI2OHO1,1980774975577,0,17,train,1,[1 0],[1 0],1 2 5 2 5 10,6,1 3 1 3 3,[4 0];[0 0];[0 0];[0 0];[0 1],4 0 0 0 0,2000 2711 5111 51720 1116 1818,97 97 99 97 0 97,0 1 2 3 5,64476,4,[0 1],1617580699.225,Sun Apr 04 2021 18:58:19 GMT-0500 (Central Daylight Time),0
