group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1YHIQHLLLQIIQ,1740990441881,0,0,train,1,[0 1],[0 1],1 6 7 10,4,3 1 3,[0 1];[4 2];[2 0],1 2 0,5177 49416 24059,49 50 51,0 1 2,78652,3,[0 1],1617618020.556,Mon Apr 05 2021 05:20:20 GMT-0500 (Central Daylight Time),0
A,A1YHIQHLLLQIIQ,1740990441881,0,1,train,1,[0 1],[0 1],1 2 5 10,4,2 3 3,[0 2];[0 0];[0 1],2 0 1,2663 9274 6446,50 50 49,0 1 2,18383,3,[0 1],1617618053.36,Mon Apr 05 2021 05:20:53 GMT-0500 (Central Daylight Time),0
A,A1YHIQHLLLQIIQ,1740990441881,0,2,train,1,[1 0],[1 0],1 2 3 10,4,2 1 3,[0 2];[0 0];[1 2],0 0 1,1333 4408 5152,50 49 49,0 1 2,10893,1,[0 1],1617618073.326,Mon Apr 05 2021 05:21:13 GMT-0500 (Central Daylight Time),0
A,A1YHIQHLLLQIIQ,1740990441881,0,3,train,1,[0 1],[0 1],1 2 3 10,4,2 1 2,[0 2];[0 0];[7 0],2 0 0,1276 15481 5260,50 49 50,0 1 2,22017,2,[0 1],1617618102.345,Mon Apr 05 2021 05:21:42 GMT-0500 (Central Daylight Time),0
A,A1YHIQHLLLQIIQ,1740990441881,0,4,train,1,[0 1],[0 1],1 2 5 10,4,1 3 3,[4 0];[0 0];[0 1],0 0 1,1601 3207 3240,51 50 49,0 1 2,8048,1,[0 1],1617618115.8,Mon Apr 05 2021 05:21:55 GMT-0500 (Central Daylight Time),0
A,A1YHIQHLLLQIIQ,1740990441881,0,5,train,1,[0 1],[0 1],1 6 8 10,4,3 2 1,[0 1];[3 0];[2 1],1 0 1,1932 6160 4568,49 51 51,0 1 2,12660,2,[0 1],1617618134.51,Mon Apr 05 2021 05:22:14 GMT-0500 (Central Daylight Time),0
A,A1YHIQHLLLQIIQ,1740990441881,0,6,train,1,[1 0],[1 0],1 2 5 10,4,2 3 3,[0 2];[0 0];[0 1],0 0 0,2386 6032 3712,50 50 49,0 1 2,12130,0,[0 1],1617618169.714,Mon Apr 05 2021 05:22:49 GMT-0500 (Central Daylight Time),0
A,A1YHIQHLLLQIIQ,1740990441881,0,7,train,1,[0 1],[0 1],1 6 7 10,4,3 1 3,[0 1];[4 2];[2 0],1 2 0,1197 4033 3356,49 50 51,0 1 2,8586,3,[0 1],1617618182.225,Mon Apr 05 2021 05:23:02 GMT-0500 (Central Daylight Time),0
A,A1YHIQHLLLQIIQ,1740990441881,0,8,train,1,[0 1],[0 1],1 2 5 10,4,1 3 3,[4 0];[0 0];[0 1],0 0 1,1642 3832 3567,51 50 49,0 1 2,9041,1,[0 1],1617618194.745,Mon Apr 05 2021 05:23:14 GMT-0500 (Central Daylight Time),0
A,A1YHIQHLLLQIIQ,1740990441881,0,9,train,1,[0 1],[0 1],1 2 5 10,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,2047 3077 2633,51 50 50,0 1 2,7757,8,[0 1],1617618208.009,Mon Apr 05 2021 05:23:28 GMT-0500 (Central Daylight Time),0
A,A1YHIQHLLLQIIQ,1740990441881,0,10,train,1,[1 0],[1 0],1 6 7 10,4,3 1 3,[0 1];[4 2];[2 0],0 4 2,2614 3876 4020,49 50 51,0 1 2,10510,6,[0 1],1617618223.688,Mon Apr 05 2021 05:23:43 GMT-0500 (Central Daylight Time),0
A,A1YHIQHLLLQIIQ,1740990441881,0,11,train,1,[1 0],[1 0],1 2 3 10,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,2027 3151 3527,50 49 50,0 1 2,8705,7,[0 1],1617618245.398,Mon Apr 05 2021 05:24:05 GMT-0500 (Central Daylight Time),0
