group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3H3BTRV6I3LYU,1225766200589,0,0,train,1,[0 1],[0 1],1 6 9 10,4,3 3 2,[0 1];[1 5];[0 1],1 5 1,1928 7073 6400,51 50 49,0 1 2,15401,7,[0 1],1617575209.614,Sun Apr 04 2021 18:26:49 GMT-0400 (Eastern Daylight Time),1
A,A3H3BTRV6I3LYU,1225766200589,0,1,train,1,[1 0],[1 0],1 2 4 10,4,2 2 2,[0 2];[0 0];[2 1],0 0 2,632 3064 2920,50 50 49,0 1 2,6616,2,[0 1],1617575220.638,Sun Apr 04 2021 18:27:00 GMT-0400 (Eastern Daylight Time),1
A,A3H3BTRV6I3LYU,1225766200589,0,2,train,1,[1 0],[1 0],1 6 8 10,4,3 2 1,[0 1];[3 0];[2 1],0 3 2,1408 2552 4016,51 51 50,0 1 2,7976,5,[0 1],1617575232.006,Sun Apr 04 2021 18:27:12 GMT-0400 (Eastern Daylight Time),1
A,A3H3BTRV6I3LYU,1225766200589,0,3,train,1,[1 0],[1 0],1 6 8 10,4,3 2 1,[0 1];[3 0];[2 1],0 3 2,1592 2448 3512,51 51 50,0 1 2,7552,5,[0 1],1617575242.078,Sun Apr 04 2021 18:27:22 GMT-0400 (Eastern Daylight Time),1
A,A3H3BTRV6I3LYU,1225766200589,0,4,train,1,[0 1],[0 1],1 2 4 10,4,1 2 3,[4 0];[0 0];[1 0],0 0 0,1304 2728 1976,49 50 51,0 1 2,6008,0,[0 1],1617575256.102,Sun Apr 04 2021 18:27:36 GMT-0400 (Eastern Daylight Time),1
A,A3H3BTRV6I3LYU,1225766200589,0,5,train,1,[0 1],[0 1],1 2 3 10,4,2 1 2,[0 2];[0 0];[7 0],2 0 0,1575 6800 3240,50 51 50,0 1 2,11615,2,[0 1],1617575270.901,Sun Apr 04 2021 18:27:50 GMT-0400 (Eastern Daylight Time),1
A,A3H3BTRV6I3LYU,1225766200589,0,6,train,1,[1 0],[1 0],1 2 3 2 4 10,6,1 1 1 2 2,[4 0];[0 0];[0 0];[0 0];[2 1],4 0 0 0 2,632 3512 5912 2088 2560,49 51 51 50 49,0 1 2 3 4,14704,6,[0 1],1617575287.965,Sun Apr 04 2021 18:28:07 GMT-0400 (Eastern Daylight Time),1
A,A3H3BTRV6I3LYU,1225766200589,0,7,train,1,[1 0],[1 0],1 6 9 10,4,3 3 2,[0 1];[1 5];[0 1],0 1 0,2200 2496 3568,51 50 49,0 1 2,8264,1,[0 1],1617575300.869,Sun Apr 04 2021 18:28:20 GMT-0400 (Eastern Daylight Time),1
A,A3H3BTRV6I3LYU,1225766200589,0,8,train,1,[1 0],[1 0],1 2 4 2 3 2 5 10,8,2 2 1 1 1 3 2,[0 2];[0 0];[0 0];[0 0];[0 0];[0 0];[0 8],0 0 0 0 0 0 0,688 2512 1856 2120 1840 2184 1886,50 50 50 51 51 49 49,0 1 2 3 4 5 6,13086,0,[0 1],1617575318.373,Sun Apr 04 2021 18:28:38 GMT-0400 (Eastern Daylight Time),1
A,A3H3BTRV6I3LYU,1225766200589,0,9,train,1,[0 1],[0 1],1 2 5 10,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,432 2448 1920,49 49 49,0 1 2,4800,8,[0 1],1617575327.006,Sun Apr 04 2021 18:28:47 GMT-0400 (Eastern Daylight Time),1
A,A3H3BTRV6I3LYU,1225766200589,0,10,train,1,[1 0],[1 0],1 2 5 10,4,1 3 2,[4 0];[0 0];[0 8],4 0 0,768 2064 1896,49 49 49,0 1 2,4728,4,[0 1],1617575334.254,Sun Apr 04 2021 18:28:54 GMT-0400 (Eastern Daylight Time),1
A,A3H3BTRV6I3LYU,1225766200589,0,11,train,1,[1 0],[1 0],1 2 4 10,4,1 2 3,[4 0];[0 0];[1 0],4 0 1,448 1800 2264,49 50 51,0 1 2,4512,5,[0 1],1617575341.606,Sun Apr 04 2021 18:29:01 GMT-0400 (Eastern Daylight Time),1
A,A3H3BTRV6I3LYU,1225766200589,0,12,train,1,[0 1],[0 1],1 2 4 2 3 10,6,1 2 1 1 3,[4 0];[0 0];[0 0];[0 0];[1 2],0 0 0 0 2,360 2240 1736 1944 1896,49 50 50 51 49,0 1 2 3 4,8176,2,[0 1],1617575354.326,Sun Apr 04 2021 18:29:14 GMT-0400 (Eastern Daylight Time),1
A,A3H3BTRV6I3LYU,1225766200589,0,13,train,1,[0 1],[0 1],1 6 9 10,4,3 3 1,[0 1];[1 5];[1 1],1 5 1,992 2328 3271,51 50 51,0 1 2,6591,7,[0 1],1617575367.742,Sun Apr 04 2021 18:29:27 GMT-0400 (Eastern Daylight Time),1
A,A3H3BTRV6I3LYU,1225766200589,0,14,train,1,[1 0],[1 0],1 2 4 10,4,1 2 3,[4 0];[0 0];[1 0],4 0 1,744 2280 1640,49 50 51,0 1 2,4664,5,[0 1],1617575374.478,Sun Apr 04 2021 18:29:34 GMT-0400 (Eastern Daylight Time),1
A,A3H3BTRV6I3LYU,1225766200589,0,15,train,1,[0 1],[0 1],1 2 4 10,4,1 2 3,[4 0];[0 0];[1 0],0 0 0,416 2040 2535,49 50 51,0 1 2,4991,0,[0 1],1617575381.789,Sun Apr 04 2021 18:29:41 GMT-0400 (Eastern Daylight Time),1
A,A3H3BTRV6I3LYU,1225766200589,0,16,train,1,[0 1],[0 1],1 2 4 10,4,1 2 2,[4 0];[0 0];[2 1],0 0 1,367 2520 2424,49 50 49,0 1 2,5311,1,[0 1],1617575389.661,Sun Apr 04 2021 18:29:49 GMT-0400 (Eastern Daylight Time),1
A,A3H3BTRV6I3LYU,1225766200589,0,17,train,1,[0 1],[0 1],1 2 3 10,4,1 1 3,[4 0];[0 0];[1 2],0 0 2,903 2992 2184,49 51 49,0 1 2,6079,2,[0 1],1617575402.389,Sun Apr 04 2021 18:30:02 GMT-0400 (Eastern Daylight Time),1
