group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3OJCVQIA4CPMX,1492108587636,0,0,train,1,[0 1],[0 1],1 6 9 10,4,3 3 1,[0 1];[1 5];[1 1],1 5 1,2383 10546 8158,97 98 98,0 1 2,21087,7,[0 1],1617584981.153,Sun Apr 04 2021 21:09:41 GMT-0400 (Eastern Daylight Time),0
A,A3OJCVQIA4CPMX,1492108587636,0,1,train,1,[1 0],[1 0],1 2 3 10,4,2 1 2,[0 2];[0 0];[7 0],0 0 7,2911 4512 7152,99 99 98,0 1 2,14575,7,[0 1],1617585002.59,Sun Apr 04 2021 21:10:02 GMT-0400 (Eastern Daylight Time),0
A,A3OJCVQIA4CPMX,1492108587636,0,2,train,1,[0 1],[0 1],1 2 3 10,4,1 1 3,[4 0];[0 0];[1 2],0 0 2,1618 5807 5632,98 99 97,0 1 2,13057,2,[0 1],1617585018.415,Sun Apr 04 2021 21:10:18 GMT-0400 (Eastern Daylight Time),0
A,A3OJCVQIA4CPMX,1492108587636,0,3,train,1,[1 0],[1 0],1 2 3 10,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,2192 6256 4928,98 99 98,0 1 2,13376,11,[0 1],1617585036.798,Sun Apr 04 2021 21:10:36 GMT-0400 (Eastern Daylight Time),0
A,A3OJCVQIA4CPMX,1492108587636,0,4,train,1,[1 0],[1 0],1 2 4 10,4,1 2 2,[4 0];[0 0];[2 1],4 0 2,1151 4288 3961,98 97 98,0 1 2,9400,6,[0 1],1617585051.025,Sun Apr 04 2021 21:10:51 GMT-0400 (Eastern Daylight Time),0
A,A3OJCVQIA4CPMX,1492108587636,0,5,train,1,[1 0],[1 0],1 2 5 2 5 10,6,1 3 1 3 2,[4 0];[0 0];[0 0];[0 0];[0 8],4 0 0 0 0,1888 4048 4016 3440 3248,98 98 97 98 99,0 1 2 3 4,16640,4,[0 1],1617585071.634,Sun Apr 04 2021 21:11:11 GMT-0400 (Eastern Daylight Time),0
A,A3OJCVQIA4CPMX,1492108587636,0,6,train,1,[0 1],[0 1],1 2 4 10,4,1 2 3,[4 0];[0 0];[1 0],0 0 0,3600 6161 4719,98 97 97,0 1 2,14480,0,[0 1],1617585091.234,Sun Apr 04 2021 21:11:31 GMT-0400 (Eastern Daylight Time),0
A,A3OJCVQIA4CPMX,1492108587636,0,7,train,1,[0 1],[0 1],1 2 3 10,4,1 1 3,[4 0];[0 0];[1 2],0 0 2,2592 6593 6989,98 99 97,0 1 2,16174,2,[0 1],1617585110.959,Sun Apr 04 2021 21:11:50 GMT-0400 (Eastern Daylight Time),0
A,A3OJCVQIA4CPMX,1492108587636,0,8,train,1,[0 1],[0 1],1 2 3 10,4,2 1 2,[0 2];[0 0];[7 0],2 0 0,3645 7200 5280,99 99 98,0 1 2,16125,2,[0 1],1617585130.207,Sun Apr 04 2021 21:12:10 GMT-0400 (Eastern Daylight Time),0
A,A3OJCVQIA4CPMX,1492108587636,0,9,train,1,[1 0],[1 0],1 2 3 10,4,1 1 3,[4 0];[0 0];[1 2],4 0 1,3568 8992 7760,98 99 97,0 1 2,20320,5,[0 1],1617585154.993,Sun Apr 04 2021 21:12:34 GMT-0400 (Eastern Daylight Time),0
A,A3OJCVQIA4CPMX,1492108587636,0,10,train,1,[0 1],[0 1],1 2 5 10,4,2 3 3,[0 2];[0 0];[0 1],2 0 1,4303 5584 5727,99 98 98,0 1 2,15614,3,[0 1],1617585174.11,Sun Apr 04 2021 21:12:54 GMT-0400 (Eastern Daylight Time),0
A,A3OJCVQIA4CPMX,1492108587636,0,11,train,1,[0 1],[0 1],1 2 4 10,4,2 2 2,[0 2];[0 0];[2 1],2 0 1,2624 6992 5248,99 97 98,0 1 2,14864,3,[0 1],1617585194.318,Sun Apr 04 2021 21:13:14 GMT-0400 (Eastern Daylight Time),0
A,A3OJCVQIA4CPMX,1492108587636,0,12,train,1,[1 0],[1 0],1 2 5 10,4,1 3 3,[4 0];[0 0];[0 1],4 0 0,2446 8402 5806,98 98 98,0 1 2,16654,4,[0 1],1617585214.238,Sun Apr 04 2021 21:13:34 GMT-0400 (Eastern Daylight Time),0
A,A3OJCVQIA4CPMX,1492108587636,0,13,train,1,[0 1],[0 1],1 6 9 10,4,3 3 2,[0 1];[1 5];[0 1],1 5 1,3360 4658 4558,97 98 97,0 1 2,12576,7,[0 1],1617585230.128,Sun Apr 04 2021 21:13:50 GMT-0400 (Eastern Daylight Time),0
A,A3OJCVQIA4CPMX,1492108587636,0,14,train,1,[0 1],[0 1],1 6 8 10,4,3 2 2,[0 1];[3 0];[4 6],1 0 6,2921 4672 4592,97 99 99,0 1 2,12185,7,[0 1],1617585246.551,Sun Apr 04 2021 21:14:06 GMT-0400 (Eastern Daylight Time),0
A,A3OJCVQIA4CPMX,1492108587636,0,15,train,1,[0 1],[0 1],1 2 3 10,4,1 1 2,[4 0];[0 0];[7 0],0 0 0,2416 4367 5360,98 99 98,0 1 2,12143,0,[0 1],1617585261.703,Sun Apr 04 2021 21:14:21 GMT-0400 (Eastern Daylight Time),0
A,A3OJCVQIA4CPMX,1492108587636,0,16,train,1,[0 1],[0 1],1 6 7 10,4,3 1 3,[0 1];[4 2];[2 0],1 2 0,2608 4192 4594,97 97 99,0 1 2,11394,3,[0 1],1617585275.879,Sun Apr 04 2021 21:14:35 GMT-0400 (Eastern Daylight Time),0
A,A3OJCVQIA4CPMX,1492108587636,0,17,train,1,[0 1],[0 1],1 6 9 10,4,3 3 3,[0 1];[1 5];[1 1],1 5 1,4403 4141 5456,97 98 99,0 1 2,14000,7,[0 1],1617585293.303,Sun Apr 04 2021 21:14:53 GMT-0400 (Eastern Daylight Time),0
A,A3OJCVQIA4CPMX,1492108587636,0,18,train,1,[1 0],[1 0],1 6 7 10,4,3 1 2,[0 1];[4 2];[0 1],0 4 0,1712 5456 5360,97 97 97,0 1 2,12528,4,[0 1],1617585308.628,Sun Apr 04 2021 21:15:08 GMT-0400 (Eastern Daylight Time),0
