group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3ROADR7T6811,1408630262474,0,0,train,1,[1 0],[0 1],1 6 7 10,4,3 1 2,[1 0];[2 4];[1 0],0 4 0,3157 17366 10151,49 49 49,0 1 2,30674,4,[1 0],1617588313.111,Sun Apr 04 2021 19:05:13 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,1,train,1,[0 1],[1 0],1 6 8 10,4,3 2 2,[1 0];[0 3];[6 4],1 0 6,4119 3508 4984,49 50 50,0 1 2,12611,7,[1 0],1617588331.532,Sun Apr 04 2021 19:05:31 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,2,train,1,[1 0],[0 1],1 2 4 10,4,2 2 3,[2 0];[0 0];[0 1],0 0 1,2694 5271 3550,51 50 49,0 1 2,11515,1,[1 0],1617588348.476,Sun Apr 04 2021 19:05:48 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,3,train,1,[0 1],[1 0],1 2 3 2 5 10,6,2 1 1 3 2,[2 0];[0 0];[0 0];[0 0];[8 0],2 0 0 0 8,3854 6731 3709 5028 6652,51 51 49 49 51,0 1 2 3 4,25974,10,[1 0],1617588378.761,Sun Apr 04 2021 19:06:18 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,4,train,1,[0 1],[1 0],1 2 5 10,4,1 3 2,[0 4];[0 0];[8 0],0 0 8,3014 8729 7050,50 49 51,0 1 2,18793,8,[1 0],1617588401.662,Sun Apr 04 2021 19:06:41 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,5,train,1,[1 0],[0 1],1 2 3 10,4,1 1 3,[0 4];[0 0];[2 1],4 0 1,3505 8475 3708,50 51 51,0 1 2,15688,5,[1 0],1617588421.244,Sun Apr 04 2021 19:07:01 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,6,train,1,[0 1],[1 0],1 2 5 10,4,1 3 2,[0 4];[0 0];[8 0],0 0 8,4338 5786 4329,50 49 51,0 1 2,14453,8,[1 0],1617588439.72,Sun Apr 04 2021 19:07:19 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,7,train,1,[0 1],[1 0],1 2 5 10,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,3145 3837 3428,51 49 51,0 1 2,10410,10,[1 0],1617588457.142,Sun Apr 04 2021 19:07:37 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,8,train,1,[0 1],[1 0],1 2 5 10,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,7371 5122 2703,51 49 51,0 1 2,15196,10,[1 0],1617588476.564,Sun Apr 04 2021 19:07:56 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,9,train,1,[1 0],[0 1],1 2 4 10,4,1 2 2,[0 4];[0 0];[1 2],4 0 2,4888 5252 4365,50 50 51,0 1 2,14505,6,[1 0],1617588505.012,Sun Apr 04 2021 19:08:25 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,10,train,1,[0 1],[1 0],1 2 5 10,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,3194 2515 2229,51 49 51,0 1 2,7938,10,[1 0],1617588516.799,Sun Apr 04 2021 19:08:36 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,11,train,1,[0 1],[1 0],1 2 5 10,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,3425 2818 2716,51 49 51,0 1 2,8959,10,[1 0],1617588529.176,Sun Apr 04 2021 19:08:49 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,12,train,1,[1 0],[0 1],1 2 5 10,4,1 3 3,[0 4];[0 0];[1 0],4 0 0,1804 4603 5421,50 49 49,0 1 2,11828,4,[1 0],1617588546.924,Sun Apr 04 2021 19:09:06 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,13,train,1,[1 0],[0 1],1 2 5 2 4 10,6,1 3 1 2 3,[0 4];[0 0];[0 0];[0 0];[0 1],4 0 0 0 1,13136 3678 8914 4955 4729,50 49 50 50 49,0 1 2 3 4,35412,5,[1 0],1617588586.613,Sun Apr 04 2021 19:09:46 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,14,train,1,[0 1],[1 0],1 2 5 10,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,17877 2184 2062,51 49 51,0 1 2,22123,10,[1 0],1617588612.288,Sun Apr 04 2021 19:10:12 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,15,train,1,[1 0],[0 1],1 2 3 10,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,2821 5598 5064,50 51 50,0 1 2,13483,11,[1 0],1617588630.422,Sun Apr 04 2021 19:10:30 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,16,train,1,[1 0],[0 1],1 2 3 10,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,4027 2623 3244,50 51 50,0 1 2,9894,11,[1 0],1617588643.001,Sun Apr 04 2021 19:10:43 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,17,train,1,[1 0],[0 1],1 2 3 10,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,10021 4277 2539,50 51 50,0 1 2,16837,11,[1 0],1617588662.924,Sun Apr 04 2021 19:11:02 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,18,train,1,[0 1],[1 0],1 2 5 10,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,1383 2681 2461,51 49 51,0 1 2,6525,10,[1 0],1617588673.625,Sun Apr 04 2021 19:11:13 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,19,train,1,[1 0],[0 1],1 2 3 10,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,1484 2685 2168,50 51 50,0 1 2,6337,11,[1 0],1617588683.123,Sun Apr 04 2021 19:11:23 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,20,train,1,[0 1],[1 0],1 2 5 10,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,1049 2007 1840,51 49 51,0 1 2,4896,10,[1 0],1617588690.779,Sun Apr 04 2021 19:11:30 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,21,train,1,[0 1],[1 0],1 2 5 10,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,580 2820 2079,51 49 51,0 1 2,5479,10,[1 0],1617588698.795,Sun Apr 04 2021 19:11:38 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,22,train,1,[0 1],[1 0],1 2 5 10,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,881 2298 2065,51 49 51,0 1 2,5244,10,[1 0],1617588706.476,Sun Apr 04 2021 19:11:46 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,23,train,1,[1 0],[0 1],1 2 3 10,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,1770 1872 1923,50 51 50,0 1 2,5565,11,[1 0],1617588714.443,Sun Apr 04 2021 19:11:54 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,24,train,1,[0 1],[1 0],1 2 5 10,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,468 1913 3533,51 49 51,0 1 2,5914,10,[1 0],1617588723.208,Sun Apr 04 2021 19:12:03 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,25,train,1,[1 0],[0 1],1 2 3 10,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,1009 2221 2170,50 51 50,0 1 2,5400,11,[1 0],1617588731.014,Sun Apr 04 2021 19:12:11 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,26,train,1,[0 1],[1 0],1 2 5 10,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,468 1887 2262,51 49 51,0 1 2,4617,10,[1 0],1617588738.421,Sun Apr 04 2021 19:12:18 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,27,train,1,[1 0],[0 1],1 2 3 10,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,1667 2613 2175,50 51 50,0 1 2,6455,11,[1 0],1617588747.736,Sun Apr 04 2021 19:12:27 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,28,train,1,[0 1],[1 0],1 2 5 10,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,822 2042 2331,51 49 51,0 1 2,5195,10,[1 0],1617588755.318,Sun Apr 04 2021 19:12:35 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,29,train,1,[1 0],[0 1],1 2 3 10,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,1792 1927 1841,50 51 50,0 1 2,5560,11,[1 0],1617588763.759,Sun Apr 04 2021 19:12:43 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,30,train,1,[1 0],[0 1],1 2 3 10,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,1977 660 4024 1872,32 50 51 50,1 2 3,8533,11,[1 0],1617588775.183,Sun Apr 04 2021 19:12:55 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,31,train,1,[0 1],[1 0],1 2 5 10,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,489 1821 1724,51 49 51,0 1 2,4034,10,[1 0],1617588781.859,Sun Apr 04 2021 19:13:01 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,32,train,1,[0 1],[1 0],1 2 5 10,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,568 1814 1882,51 49 51,0 1 2,4264,10,[1 0],1617588788.542,Sun Apr 04 2021 19:13:08 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,33,train,1,[0 1],[1 0],1 2 5 10,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,511 2200 2329,51 49 51,0 1 2,5040,10,[1 0],1617588796.583,Sun Apr 04 2021 19:13:16 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,34,train,1,[0 1],[1 0],1 2 5 10,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,1273 1928 1900,51 49 51,0 1 2,5101,10,[1 0],1617588804.8,Sun Apr 04 2021 19:13:24 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,35,train,1,[0 1],[1 0],1 2 5 10,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,1156 1891 2739,51 49 51,0 1 2,5786,10,[1 0],1617588813.306,Sun Apr 04 2021 19:13:33 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,36,train,1,[1 0],[0 1],1 2 3 10,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,3869 3582 646 2209,50 32 51 50,0 2 3,10306,11,[1 0],1617588826.144,Sun Apr 04 2021 19:13:46 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,37,train,1,[1 0],[0 1],1 2 3 10,4,1 1 2,[0 4];[0 0];[0 7],4 0 7,631 2755 2037,50 51 50,0 1 2,5423,11,[1 0],1617588833.891,Sun Apr 04 2021 19:13:53 GMT-0700 (Pacific Daylight Time),0
A,A3ROADR7T6811,1408630262474,0,38,train,1,[0 1],[1 0],1 2 5 10,4,2 3 2,[2 0];[0 0];[8 0],2 0 8,1789 2364 2715,51 49 51,0 1 2,6868,10,[1 0],1617588843.521,Sun Apr 04 2021 19:14:03 GMT-0700 (Pacific Daylight Time),0
