group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AIHHRINW9IN1I,1638202026340,0,0,train,1,[1 0],[1 0],1 2 3 10,4,2 1 3,[0 2];[0 0];[1 2],0 0 1,4024 11146 10754,49 49 50,0 1 2,25924,1,[0 1],1617574951.803,Sun Apr 04 2021 18:22:31 GMT-0400 (Eastern Daylight Time),0
A,AIHHRINW9IN1I,1638202026340,0,1,train,1,[1 0],[1 0],1 6 8 10,4,3 2 1,[0 1];[3 0];[2 1],0 3 2,4362 8299 7632,50 49 49,0 1 2,20293,5,[0 1],1617574978.231,Sun Apr 04 2021 18:22:58 GMT-0400 (Eastern Daylight Time),0
A,AIHHRINW9IN1I,1638202026340,0,2,train,1,[1 0],[1 0],1 6 8 10,4,3 2 2,[0 1];[3 0];[4 6],0 3 4,2207 6312 4536,50 49 51,0 1 2,13055,7,[0 1],1617575000.093,Sun Apr 04 2021 18:23:20 GMT-0400 (Eastern Daylight Time),0
A,AIHHRINW9IN1I,1638202026340,0,3,train,1,[0 1],[0 1],1 6 7 10,4,3 1 1,[0 1];[4 2];[1 1],1 2 1,1245 6610 6634,50 50 51,0 1 2,14489,4,[0 1],1617575021.445,Sun Apr 04 2021 18:23:41 GMT-0400 (Eastern Daylight Time),0
A,AIHHRINW9IN1I,1638202026340,0,4,train,1,[1 0],[1 0],1 2 5 10,4,1 3 3,[4 0];[0 0];[0 1],4 0 0,4743 6579 4742,51 50 51,0 1 2,16064,4,[0 1],1617575043.689,Sun Apr 04 2021 18:24:03 GMT-0400 (Eastern Daylight Time),0
A,AIHHRINW9IN1I,1638202026340,0,5,train,1,[1 0],[1 0],1 2 5 2 4 10,6,1 3 1 2 3,[4 0];[0 0];[0 0];[0 0];[1 0],4 0 0 0 1,2468 13977 9673 8722 5576,51 50 49 51 50,0 1 2 3 4,40416,5,[0 1],1617575116.393,Sun Apr 04 2021 18:25:16 GMT-0400 (Eastern Daylight Time),0
A,AIHHRINW9IN1I,1638202026340,0,6,train,1,[0 1],[0 1],1 2 3 10,4,2 1 3,[0 2];[0 0];[1 2],2 0 2,5462 10189 5696,49 49 50,0 1 2,21347,4,[0 1],1617575143.26,Sun Apr 04 2021 18:25:43 GMT-0400 (Eastern Daylight Time),0
A,AIHHRINW9IN1I,1638202026340,0,7,train,1,[0 1],[0 1],1 2 5 10,4,2 3 3,[0 2];[0 0];[0 1],2 0 1,7357 7254 3617,49 50 51,0 1 2,18228,3,[0 1],1617575165.916,Sun Apr 04 2021 18:26:05 GMT-0400 (Eastern Daylight Time),0
A,AIHHRINW9IN1I,1638202026340,0,8,train,1,[1 0],[1 0],1 2 4 10,4,1 2 2,[4 0];[0 0];[2 1],4 0 2,4506 6804 6473,51 51 49,0 1 2,17783,6,[0 1],1617575188.684,Sun Apr 04 2021 18:26:28 GMT-0400 (Eastern Daylight Time),0
A,AIHHRINW9IN1I,1638202026340,0,9,train,1,[0 1],[0 1],1 2 5 10,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,4282 5271 3265,51 50 50,0 1 2,12818,8,[0 1],1617575236.996,Sun Apr 04 2021 18:27:16 GMT-0400 (Eastern Daylight Time),0
