group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,,1340437240732,0,0,train,1,[0 1],[0 1],1 6 8 10,4,3 2 2,[0 1];[3 0];[4 6],1 0 6,1599 5699 7221,49 49 50,0 1 2,14519,7,[0 1],1617573548.028,Sun Apr 04 2021 17:59:08 GMT-0400 (Eastern Daylight Time),0
A,,1340437240732,0,1,train,1,[0 1],[0 1],1 6 9 10,4,3 3 1,[0 1];[1 5];[1 1],1 5 1,788 3248 4522,49 50 51,0 1 2,8558,7,[0 1],1617573561.023,Sun Apr 04 2021 17:59:21 GMT-0400 (Eastern Daylight Time),0
A,,1340437240732,0,2,train,1,[1 0],[1 0],1 6 7 10,4,3 1 3,[0 1];[4 2];[2 0],0 4 2,1288 3400 4600,49 51 50,0 1 2,9288,6,[0 1],1617573573.743,Sun Apr 04 2021 17:59:33 GMT-0400 (Eastern Daylight Time),0
A,,1340437240732,0,3,train,1,[0 1],[0 1],1 2 5 10,4,2 3 3,[0 2];[0 0];[0 1],2 0 1,1120 3012 5177,50 49 49,0 1 2,9309,3,[0 1],1617573586.586,Sun Apr 04 2021 17:59:46 GMT-0400 (Eastern Daylight Time),0
A,,1340437240732,0,4,train,1,[0 1],[0 1],1 2 3 2 4 10,6,2 1 1 2 3,[0 2];[0 0];[0 0];[0 0];[1 0],2 0 0 0 0,810 4277 5480 10930 4326,50 50 51 51 50,0 1 2 3 4,25823,2,[0 1],1617573619.754,Sun Apr 04 2021 18:00:19 GMT-0400 (Eastern Daylight Time),0
A,,1340437240732,0,5,train,1,[1 0],[1 0],1 2 4 10,4,2 2 3,[0 2];[0 0];[1 0],0 0 1,1171 10128 5468,50 51 50,0 1 2,16767,1,[0 1],1617573641.194,Sun Apr 04 2021 18:00:41 GMT-0400 (Eastern Daylight Time),0
A,,1340437240732,0,6,train,1,[0 1],[0 1],1 2 4 10,4,2 2 2,[0 2];[0 0];[2 1],2 0 1,1063 3361 4715,50 51 51,0 1 2,9139,3,[0 1],1617573655.177,Sun Apr 04 2021 18:00:55 GMT-0400 (Eastern Daylight Time),0
A,,1340437240732,0,7,train,1,[1 0],[1 0],1 2 5 10,4,1 3 3,[4 0];[0 0];[0 1],4 0 0,1068 6090 6223,51 49 49,0 1 2,13381,4,[0 1],1617573672.864,Sun Apr 04 2021 18:01:12 GMT-0400 (Eastern Daylight Time),0
A,,1340437240732,0,8,train,1,[1 0],[1 0],1 2 3 10,4,1 1 3,[4 0];[0 0];[1 2],4 0 1,897 6529 8454,51 50 50,0 1 2,15880,5,[0 1],1617573692.643,Sun Apr 04 2021 18:01:32 GMT-0400 (Eastern Daylight Time),0
A,,1340437240732,0,9,train,1,[1 0],[1 0],1 2 5 10,4,1 3 3,[4 0];[0 0];[0 1],4 0 0,1629 7158 5058,51 49 49,0 1 2,13845,4,[0 1],1617573710.659,Sun Apr 04 2021 18:01:50 GMT-0400 (Eastern Daylight Time),0
A,,1340437240732,0,10,train,1,[1 0],[1 0],1 2 3 10,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,709 8199 5076,51 50 49,0 1 2,13984,11,[0 1],1617573729.978,Sun Apr 04 2021 18:02:09 GMT-0400 (Eastern Daylight Time),0
A,,1340437240732,0,11,train,1,[1 0],[1 0],1 2 4 10,4,1 2 2,[4 0];[0 0];[2 1],4 0 2,2476 14314 3427,51 51 51,0 1 2,20217,6,[0 1],1617573755.914,Sun Apr 04 2021 18:02:35 GMT-0400 (Eastern Daylight Time),0
A,,1340437240732,0,146,train,1,[1 0],[1 0],1 2 3 10,4,1 1 2,[4 0];[0 0];[7 0],4 0 7,1218 2692 3053,51 50 49,0 1 2,6963,11,[0 1],1617573781.054,Sun Apr 04 2021 18:03:01 GMT-0400 (Eastern Daylight Time),0
A,,1340437240732,0,0,test,1,[1 1],[1 1],1 2 5 10,4,1 3 2,[4 0];[0 0];[0 8],4 0 8,1196 6441 4299,51 49 51,0 1 2,11936,12,[0 1],1617573800.849,Sun Apr 04 2021 18:03:20 GMT-0400 (Eastern Daylight Time),0
A,,1340437240732,1,0,train,1,[0 1],[0 1],1 2 3 10,4,1 1 3,[4 0];[0 0];[1 2],0 0 2,1024 3763 4595,49 49 50,0 1 2,9382,2,[0 1],1617573818.185,Sun Apr 04 2021 18:03:38 GMT-0400 (Eastern Daylight Time),0
A,,1340437240732,1,1,train,1,[0 1],[0 1],1 2 5 10,4,1 3 2,[4 0];[0 0];[0 8],0 0 8,2549 3022 3599,49 50 49,0 1 2,9170,8,[0 1],1617573832.087,Sun Apr 04 2021 18:03:52 GMT-0400 (Eastern Daylight Time),0
A,,1340437240732,1,2,train,1,[0 1],[0 1],1 2 4 10,4,1 2 2,[4 0];[0 0];[2 1],0 0 1,3274 3398 3445,49 51 51,0 1 2,10117,1,[0 1],1617573845.505,Sun Apr 04 2021 18:04:05 GMT-0400 (Eastern Daylight Time),0
A,,1340437240732,1,3,train,1,[1 0],[1 0],1 6 8 10,4,3 2 1,[0 1];[3 0];[2 1],0 3 2,768 3097 3077,50 49 50,0 1 2,6942,5,[0 1],1617573855.359,Sun Apr 04 2021 18:04:15 GMT-0400 (Eastern Daylight Time),0
