group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,1516698395907,train,1,[1 -2 0],1 4 12,3,42554 14520 25953,49 51 32,0 1,83027,-200,1553800259.288,Thu Mar 28 2019 15:10:59 GMT-0400 (Eastern Daylight Time),0
A,1516698395907,train,1,[1 -1 0],1 3 8,3,647 2929 5365,50 49 32,0 1,8941,90,1553800272.459,Thu Mar 28 2019 15:11:12 GMT-0400 (Eastern Daylight Time),0
A,1516698395907,train,1,[-1 1 0],1 4 12,3,3427 2916 58317,49 51 32,0 1,64660,100,1553800340.946,Thu Mar 28 2019 15:12:20 GMT-0400 (Eastern Daylight Time),0
A,1516698395907,train,1,[-2 1 0],1 2 7,3,3271 2705 17990,51 49 32,0 1,23966,-10,1553800371.834,Thu Mar 28 2019 15:12:51 GMT-0400 (Eastern Daylight Time),0
A,1516698395907,train,1,[-1 1 0],1 2 6,3,1183 2283 13425,51 50 32,0 1,16891,-100,1553800392.139,Thu Mar 28 2019 15:13:12 GMT-0400 (Eastern Daylight Time),0
A,1516698395907,train,1,[1 -1 0],1 2 5,3,574 1989 14826,51 51 32,0 1,17389,-30,1553800419.604,Thu Mar 28 2019 15:13:39 GMT-0400 (Eastern Daylight Time),0
A,1516698395907,train,1,[1 -1 0],1 4 11,3,1047 5696 8261,49 50 32,0 1,15004,0,1553800436.484,Thu Mar 28 2019 15:13:56 GMT-0400 (Eastern Daylight Time),0
A,1516698395907,train,1,[-1 1 0],1 4 13,3,1594 1905 7460,49 49 32,0 1,10959,0,1553800450.398,Thu Mar 28 2019 15:14:10 GMT-0400 (Eastern Daylight Time),0
A,1516698395907,train,1,[1 -2 0],1 3 10,3,699 7869 10997,50 51 32,0 1,19565,-180,1553800474.166,Thu Mar 28 2019 15:14:34 GMT-0400 (Eastern Daylight Time),0
A,1516698395907,train,1,[1 -2 0],1 3 9,3,515 1680 27161,50 50 32,0 1,29356,-80,1553800510.353,Thu Mar 28 2019 15:15:10 GMT-0400 (Eastern Daylight Time),0
A,1516698395907,train,1,[1 -2 0],1 2 6,3,784 3618 7323,51 50 32,0 1,11725,100,1553800535.305,Thu Mar 28 2019 15:15:35 GMT-0400 (Eastern Daylight Time),0
A,1516698395907,train,1,[-2 1 0],1 4 12,3,419 1194 2582,49 51 32,0 1,4195,100,1553800548.956,Thu Mar 28 2019 15:15:48 GMT-0400 (Eastern Daylight Time),0
