group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,1471618432167,train,1,[1 -1 0],1 3 10,3,4599 8548 8861,98 99 32,0 1,22008,-90,1554090493.961,Sun Mar 31 2019 22:48:13 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-2 1 0],1 2 7,3,2977 2859 5126,99 99 32,0 1,10962,-20,1554090505.946,Sun Mar 31 2019 22:48:25 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-2 1 0],1 4 12,3,2731 2841 4684,97 99 32,0 1,10256,100,1554090524.219,Sun Mar 31 2019 22:48:44 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-1 1 0],1 2 7,3,713 2121 2249,99 99 32,0 1,5083,0,1554090534.362,Sun Mar 31 2019 22:48:54 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-1 1 0],1 3 8,3,539 1306 1126,98 98 32,0 1,2971,-90,1554090537.848,Sun Mar 31 2019 22:48:57 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[1 -2 0],1 3 8,3,234 1075 1007,98 98 32,0 1,2316,90,1554090540.47,Sun Mar 31 2019 22:49:00 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[1 -2 0],1 3 8,3,136 1077 1086 190,98 98 98 32,0 1,2489,90,1554090543.326,Sun Mar 31 2019 22:49:03 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-1 1 0],1 3 8,3,198 1109 1027 205,98 98 98 32,0 1,2539,-90,1554090546.225,Sun Mar 31 2019 22:49:06 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-1 1 0],1 4 13,3,69 1202 1049 212,97 97 97 32,0 1,2532,-10,1554090549.376,Sun Mar 31 2019 22:49:09 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[1 -1 0],1 2 7,3,187 1038 116 1011 388,99 32 99 99 32,0 2,2740,0,1554090552.788,Sun Mar 31 2019 22:49:12 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-1 1 0],1 2 6,3,240 1276 1025,99 97 32,0 1,2541,-100,1554090555.833,Sun Mar 31 2019 22:49:15 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-2 1 0],1 4 11,3,147 1126 1010 282 158,97 98 98 98 32,0 1,2723,-20,1554090559.013,Sun Mar 31 2019 22:49:19 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-2 1 0],1 3 10,3,164 1077 1262,98 99 32,0 1,2503,90,1554090561.957,Sun Mar 31 2019 22:49:21 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[1 -1 0],1 3 9,3,229 443 1117 167 1062,102 98 32 97 32,1 3,3018,0,1554090565.367,Sun Mar 31 2019 22:49:25 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-2 1 0],1 4 13,3,158 1036 1006 258 132,97 97 98 98 32,0 1,2590,-20,1554090568.34,Sun Mar 31 2019 22:49:28 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-2 1 0],1 3 8,3,147 1111 1007,98 98 32,0 1,2265,-180,1554090571.005,Sun Mar 31 2019 22:49:31 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[1 -1 0],1 3 10,3,175 1127 1151 158,98 99 99 32,0 1,2611,-90,1554090574.038,Sun Mar 31 2019 22:49:34 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[1 -1 0],1 2 7,3,189 1053 181 1022,99 32 99 32,0 2,2445,0,1554090576.964,Sun Mar 31 2019 22:49:36 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-2 1 0],1 3 9,3,179 1114 228 1028 233 223,98 32 97 97 97 32,0 2,3005,-80,1554090580.418,Sun Mar 31 2019 22:49:40 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[1 -1 0],1 3 8,3,247 1160 1211 175,98 98 98 32,0 1,2793,90,1554090583.868,Sun Mar 31 2019 22:49:43 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[1 -2 0],1 3 8,3,195 1110 1086 302 171,98 98 98 98 32,0 1,2864,90,1554090587.253,Sun Mar 31 2019 22:49:47 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[1 -2 0],1 3 10,3,84 1270 88 1067,98 32 99 32,0 2,2509,-180,1554090590.294,Sun Mar 31 2019 22:49:50 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-2 1 0],1 2 7,3,184 1180 181 1163,99 32 99 32,0 2,2708,-20,1554090593.317,Sun Mar 31 2019 22:49:53 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-2 1 0],1 2 7,3,468 1171 259 310 1259,99 32 32 99 32,0 3,3467,-20,1554090597.038,Sun Mar 31 2019 22:49:57 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-2 1 0],1 3 8,3,328 1035 189 1051,98 32 98 32,0 2,2603,-180,1554090599.929,Sun Mar 31 2019 22:49:59 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[1 -2 0],1 3 8,3,261 1034 1072 275 461,98 98 98 98 32,0 1,3103,90,1554090603.561,Sun Mar 31 2019 22:50:03 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-1 1 0],1 3 8,3,360 301 1207 1315,32 98 98 32,1 2,3183,-90,1554090607.087,Sun Mar 31 2019 22:50:07 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[1 -2 0],1 3 9,3,149 1194 348 241 1270,98 32 32 97 32,0 3,3202,-80,1554090611.216,Sun Mar 31 2019 22:50:11 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-1 1 0],1 4 13,3,201 1190 1131 237,97 97 97 32,0 1,2759,-10,1554090614.536,Sun Mar 31 2019 22:50:14 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[1 -1 0],1 4 13,3,274 594 1017 1028 213 228,32 97 97 97 97 32,1 2,3354,10,1554090619.982,Sun Mar 31 2019 22:50:19 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-1 1 0],1 4 13,3,611 1127 1075 291 249,97 97 97 97 32,0 1,3353,-10,1554090623.72,Sun Mar 31 2019 22:50:23 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-2 1 0],1 3 8,3,229 1230 139 1141,98 32 98 32,0 2,2739,-180,1554090626.985,Sun Mar 31 2019 22:50:26 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-1 1 0],1 3 10,3,315 1070 1095 289 216,98 99 99 99 32,0 1,2985,90,1554090631.612,Sun Mar 31 2019 22:50:31 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-2 1 0],1 3 8,3,466 1462 159 1221 168,98 32 98 98 32,0 2,3476,-180,1554090635.974,Sun Mar 31 2019 22:50:35 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[1 -2 0],1 3 9,3,212 1204 1130 534 5598,98 97 97 97 32,0 1,8678,-80,1554090645.205,Sun Mar 31 2019 22:50:45 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-2 1 0],1 3 8,3,371 347 1005 207 1133,32 98 32 98 32,1 3,3063,-180,1554090649.543,Sun Mar 31 2019 22:50:49 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[1 -2 0],1 3 8,3,591 1200 180 1225 462 432,98 32 98 98 98 32,0 2,4090,90,1554090654.282,Sun Mar 31 2019 22:50:54 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-1 1 0],1 4 13,3,409 1422 1338 926,97 97 97 32,0 1,4095,-10,1554090659.932,Sun Mar 31 2019 22:50:59 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[1 -2 0],1 3 8,3,680 1608 1606 923,98 98 98 32,0 1,4817,90,1554090666.477,Sun Mar 31 2019 22:51:06 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-1 1 0],1 2 7,3,723 1042 1067 488,99 99 99 32,0 1,3320,0,1554090670.822,Sun Mar 31 2019 22:51:10 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-2 1 0],1 2 5,3,559 1809 1427,99 98 32,0 1,3795,20,1554090675.553,Sun Mar 31 2019 22:51:15 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-1 1 0],1 3 8,3,291 1176 1174,98 98 32,0 1,2641,-90,1554090678.81,Sun Mar 31 2019 22:51:18 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[1 -2 0],1 3 8,3,289 1216 1111,98 98 32,0 1,2616,90,1554090682.241,Sun Mar 31 2019 22:51:22 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-2 1 0],1 3 8,3,362 1083 1230,98 98 32,0 1,2675,-180,1554090685.61,Sun Mar 31 2019 22:51:25 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-2 1 0],1 3 9,3,312 1390 309 1109 449 244 662,98 32 97 97 97 97 32,0 2,4475,-80,1554090692.088,Sun Mar 31 2019 22:51:32 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-1 1 0],1 4 13,3,599 1184 1116 307,97 97 97 32,0 1,3206,-10,1554090695.827,Sun Mar 31 2019 22:51:35 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-1 1 0],1 4 13,3,281 1190 1094 371,97 97 97 32,0 1,2936,-10,1554090699.291,Sun Mar 31 2019 22:51:39 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-1 1 0],1 4 13,3,335 1317 321 227 1861,97 32 32 97 32,0 3,4061,-10,1554090704.391,Sun Mar 31 2019 22:51:44 GMT-0500 (Central Daylight Time),7
A,1471618432167,train,1,[-2 1 0],1 4 11,3,481 1579 1863,97 98 32,0 1,3923,-20,1554090709.078,Sun Mar 31 2019 22:51:49 GMT-0500 (Central Daylight Time),7
