group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,1043706485589,train,1,[1 0 0],1 2 6,3,3036 3305 12862,49 49 32,0 1,19203,-10,1564685734.01,Thu Aug 01 2019 14:55:34 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,710 1810 7649,49 49 32,0 1,10169,10,1564685749.608,Thu Aug 01 2019 14:55:49 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,593 1444 3381,49 49 32,0 1,5418,10,1564685757.732,Thu Aug 01 2019 14:55:57 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 2 5,3,2495 2369 7828,49 50 32,0 1,12692,0,1564685772.287,Thu Aug 01 2019 14:56:12 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 2 7,3,1446 1669 5490,49 51 32,0 1,8605,-1,1564685783.504,Thu Aug 01 2019 14:56:23 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,599 1435 41244,49 49 32,0 1,43278,10,1564685829.337,Thu Aug 01 2019 14:57:09 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 3 9,3,1210 2660 43368,50 49 32,0 1,47238,8,1564685880.321,Thu Aug 01 2019 14:58:00 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,907 1550 4359,49 49 32,0 1,6816,10,1564685889.612,Thu Aug 01 2019 14:58:09 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 3 8,3,914 1753 11364,50 50 32,0 1,14031,-10,1564685906.329,Thu Aug 01 2019 14:58:26 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,560 1459 3739,49 49 32,0 1,5758,10,1564685914.536,Thu Aug 01 2019 14:58:34 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,675 1396 2587,49 49 32,0 1,4658,10,1564685921.659,Thu Aug 01 2019 14:58:41 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 3 10,3,727 1696 19729,50 51 32,0 1,22152,9,1564685945.554,Thu Aug 01 2019 14:59:05 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 4 11,3,1730 1699 7780,51 49 32,0 1,11209,0,1564685961.764,Thu Aug 01 2019 14:59:21 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,718 1931 8167,49 49 32,0 1,10816,10,1564685974.947,Thu Aug 01 2019 14:59:34 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,650 1555 4481,49 49 32,0 1,6686,10,1564685984.193,Thu Aug 01 2019 14:59:44 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 4 12,3,988 1848 11239,51 50 32,0 1,14075,10,1564686000.822,Thu Aug 01 2019 15:00:00 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 4 13,3,2109 2245 8018,51 51 32,0 1,12372,0,1564686014.375,Thu Aug 01 2019 15:00:14 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,713 1383 18436,49 49 32,0 1,20532,10,1564686037.13,Thu Aug 01 2019 15:00:37 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,768 1503 1804,49 49 32,0 1,4075,10,1564686042.403,Thu Aug 01 2019 15:00:42 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 4 12,3,2330 1501 2842 1281,51 50 78 32,0 1,7954,10,1564686052.735,Thu Aug 01 2019 15:00:52 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,668 1577 1914,49 49 32,0 1,4159,10,1564686058.23,Thu Aug 01 2019 15:00:58 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,573 1395 1877,49 49 32,0 1,3845,10,1564686063.416,Thu Aug 01 2019 15:01:03 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 4 12,3,846 1378 2107,51 50 32,0 1,4331,10,1564686069.337,Thu Aug 01 2019 15:01:09 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 4 12,3,466 1383 2145,51 50 32,0 1,3994,10,1564686074.333,Thu Aug 01 2019 15:01:14 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,431 1335 1666,49 49 32,0 1,3432,10,1564686078.982,Thu Aug 01 2019 15:01:18 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,466 1945 1862,49 49 32,0 1,4273,10,1564686084.233,Thu Aug 01 2019 15:01:24 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 4 12,3,503 1397 2096,51 50 32,0 1,3996,10,1564686089.304,Thu Aug 01 2019 15:01:29 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,665 1780 5048,49 49 32,0 1,7493,10,1564686098.025,Thu Aug 01 2019 15:01:38 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,416 1377 1579,49 49 32,0 1,3372,10,1564686102.635,Thu Aug 01 2019 15:01:42 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 4 12,3,536 1401 1745,51 50 32,0 1,3682,10,1564686107.73,Thu Aug 01 2019 15:01:47 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 4 12,3,393 1356 1572,51 50 32,0 1,3321,10,1564686112.224,Thu Aug 01 2019 15:01:52 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,395 1499 1579,49 49 32,0 1,3473,10,1564686116.954,Thu Aug 01 2019 15:01:56 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,366 1394 1617,49 49 32,0 1,3377,10,1564686121.403,Thu Aug 01 2019 15:02:01 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,2882 1413 1542,49 49 32,0 1,5837,10,1564686128.445,Thu Aug 01 2019 15:02:08 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,479 1371 1582,49 49 32,0 1,3432,10,1564686132.653,Thu Aug 01 2019 15:02:12 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 4 12,3,415 1419 1555,51 50 32,0 1,3389,10,1564686136.982,Thu Aug 01 2019 15:02:16 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,352 1506 1695,49 49 32,0 1,3553,10,1564686141.781,Thu Aug 01 2019 15:02:21 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 4 12,3,463 1403 1525,51 50 32,0 1,3391,10,1564686146.481,Thu Aug 01 2019 15:02:26 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 4 12,3,535 1350 1563,51 50 32,0 1,3448,10,1564686150.549,Thu Aug 01 2019 15:02:30 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,455 1402 1431,49 49 32,0 1,3288,10,1564686154.919,Thu Aug 01 2019 15:02:34 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 4 12,3,387 1323 1476,51 50 32,0 1,3186,10,1564686159.062,Thu Aug 01 2019 15:02:39 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 4 12,3,379 1390 1564,51 50 32,0 1,3333,10,1564686163.294,Thu Aug 01 2019 15:02:43 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 4 12,3,341 1390 1679,51 50 32,0 1,3410,10,1564686167.778,Thu Aug 01 2019 15:02:47 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 4 12,3,395 1661 1907,51 50 32,0 1,3963,10,1564686172.728,Thu Aug 01 2019 15:02:52 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 4 12,3,438 1373 1760,51 50 32,0 1,3571,10,1564686177.139,Thu Aug 01 2019 15:02:57 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 4 12,3,363 1433 1684,51 50 32,0 1,3480,10,1564686181.602,Thu Aug 01 2019 15:03:01 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,361 1389 1524,49 49 32,0 1,3274,10,1564686186.102,Thu Aug 01 2019 15:03:06 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 4 12,3,360 1404 1610,51 50 32,0 1,3374,10,1564686190.716,Thu Aug 01 2019 15:03:10 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,371 1349 1791,49 49 32,0 1,3511,10,1564686195.44,Thu Aug 01 2019 15:03:15 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,402 1369 1965,49 49 32,0 1,3736,10,1564686200.402,Thu Aug 01 2019 15:03:20 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 4 12,3,548 1564 1650,51 50 32,0 1,3762,10,1564686205.062,Thu Aug 01 2019 15:03:25 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[1 0 0],1 4 12,3,378 1381 1653,51 50 32,0 1,3412,10,1564686209.996,Thu Aug 01 2019 15:03:29 GMT-0400 (Eastern Daylight Time),0
A,1043706485589,train,1,[0 1 0],1 2 6,3,356 1397 1496,49 49 32,0 1,3249,10,1564686214.378,Thu Aug 01 2019 15:03:34 GMT-0400 (Eastern Daylight Time),0
