group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,1785508706720,train,1,[0 0 1],1 3 10,3,1248 3407 5188,49 49 32,0 1,9843,-10,1564781964.946,Fri Aug 02 2019 17:39:24 GMT-0400 (Eastern Daylight Time),0
A,1785508706720,train,1,[0 1 0],1 3 10,3,991 4322 3411,49 49 32,0 1,8724,9,1564781975.571,Fri Aug 02 2019 17:39:35 GMT-0400 (Eastern Daylight Time),0
A,1785508706720,train,1,[0 0 1],1 3 9,3,1200 1376 7139,49 50 32,0 1,9715,8,1564781987.331,Fri Aug 02 2019 17:39:47 GMT-0400 (Eastern Daylight Time),0
A,1785508706720,train,1,[0 1 0],1 3 10,3,1072 1696 26195,49 49 32,0 1,28963,9,1564782017.891,Fri Aug 02 2019 17:40:17 GMT-0400 (Eastern Daylight Time),0
A,1785508706720,train,1,[0 0 1],1 3 9,3,800 1440 9284,49 50 32,0 1,11524,8,1564782031.171,Fri Aug 02 2019 17:40:31 GMT-0400 (Eastern Daylight Time),0
A,1785508706720,train,1,[0 1 0],1 3 10,3,656 1328 4736,49 49 32,0 1,6720,9,1564782039.296,Fri Aug 02 2019 17:40:39 GMT-0400 (Eastern Daylight Time),0
A,1785508706720,train,1,[0 1 0],1 3 10,3,480 1299 3133,49 49 32,0 1,4912,9,1564782045.392,Fri Aug 02 2019 17:40:45 GMT-0400 (Eastern Daylight Time),0
A,1785508706720,train,1,[0 0 1],1 2 6,3,1408 1504 10227,50 49 32,0 1,13139,10,1564782059.939,Fri Aug 02 2019 17:40:59 GMT-0400 (Eastern Daylight Time),0
A,1785508706720,train,1,[0 1 0],1 3 10,3,655 1504 2880,49 49 32,0 1,5039,9,1564782067.231,Fri Aug 02 2019 17:41:07 GMT-0400 (Eastern Daylight Time),0
A,1785508706720,train,1,[0 0 1],1 2 6,3,640 1636 3628,50 49 32,0 1,5904,10,1564782074.336,Fri Aug 02 2019 17:41:14 GMT-0400 (Eastern Daylight Time),0
A,1785508706720,train,1,[0 1 0],1 4 12,3,1727 1984 17236,51 49 32,0 1,20947,10,1564782096.339,Fri Aug 02 2019 17:41:36 GMT-0400 (Eastern Daylight Time),0
A,1785508706720,train,1,[0 0 1],1 2 6,3,1600 1472 5139,50 49 32,0 1,8211,10,1564782106.707,Fri Aug 02 2019 17:41:46 GMT-0400 (Eastern Daylight Time),0
A,1785508706720,train,1,[0 0 1],1 2 6,3,559 1344 2128,50 49 32,0 1,4031,10,1564782113.039,Fri Aug 02 2019 17:41:53 GMT-0400 (Eastern Daylight Time),0
A,1785508706720,train,1,[0 1 0],1 4 12,3,4132 1820 2720,51 49 32,0 1,8672,10,1564782123.407,Fri Aug 02 2019 17:42:03 GMT-0400 (Eastern Daylight Time),0
