group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,1316405414104,train,1,[1 -2 0],1 3 8,3,2623 4647 7914,51 49 32,0 1,15184,90,1565112079.836,Tue Aug 06 2019 12:21:19 GMT-0500 (Central Daylight Time),0
A,1316405414104,train,1,[1 -1 0],1 4 11,3,2361 3886 2943,49 51 32,0 1,9190,0,1565112097.866,Tue Aug 06 2019 12:21:37 GMT-0500 (Central Daylight Time),0
A,1316405414104,train,1,[1 -2 0],1 3 9,3,3537 2193 3598,51 51 32,0 1,9328,-100,1565112108.242,Tue Aug 06 2019 12:21:48 GMT-0500 (Central Daylight Time),0
A,1316405414104,train,1,[1 -1 0],1 3 8,3,944 2264 1705,51 49 32,0 1,4913,90,1565112113.851,Tue Aug 06 2019 12:21:53 GMT-0500 (Central Daylight Time),0
A,1316405414104,train,1,[1 -1 0],1 3 8,3,543 1297 1551,51 49 32,0 1,3391,90,1565112117.714,Tue Aug 06 2019 12:21:57 GMT-0500 (Central Daylight Time),0
A,1316405414104,train,1,[-1 1 0],1 3 10,3,575 1313 1600,51 50 32,0 1,3488,90,1565112121.562,Tue Aug 06 2019 12:22:01 GMT-0500 (Central Daylight Time),0
A,1316405414104,train,1,[1 -2 0],1 3 9,3,525 1176 1690,51 51 32,0 1,3391,-100,1565112125.276,Tue Aug 06 2019 12:22:05 GMT-0500 (Central Daylight Time),0
A,1316405414104,train,1,[1 -2 0],1 3 8,3,424 1264 1416,51 49 32,0 1,3104,90,1565112128.786,Tue Aug 06 2019 12:22:08 GMT-0500 (Central Daylight Time),0
A,1316405414104,train,1,[-1 1 0],1 3 8,3,327 1313 1720,51 49 32,0 1,3360,-90,1565112132.426,Tue Aug 06 2019 12:22:12 GMT-0500 (Central Daylight Time),0
A,1316405414104,train,1,[1 -1 0],1 3 8,3,399 1169 1577,51 49 32,0 1,3145,90,1565112135.795,Tue Aug 06 2019 12:22:15 GMT-0500 (Central Daylight Time),0
A,1316405414104,train,1,[1 -1 0],1 3 10,3,295 1497 1568,51 50 32,0 1,3360,-90,1565112139.37,Tue Aug 06 2019 12:22:19 GMT-0500 (Central Daylight Time),0
A,1316405414104,train,1,[-1 1 0],1 3 8,3,295 1328 1448,51 49 32,0 1,3071,-90,1565112142.826,Tue Aug 06 2019 12:22:22 GMT-0500 (Central Daylight Time),0
A,1316405414104,train,1,[1 -2 0],1 3 8,3,272 1672 1601,51 49 32,0 1,3545,90,1565112146.636,Tue Aug 06 2019 12:22:26 GMT-0500 (Central Daylight Time),0
A,1316405414104,train,1,[-1 1 0],1 3 8,3,328 1624 1767,51 49 32,0 1,3719,-90,1565112150.962,Tue Aug 06 2019 12:22:30 GMT-0500 (Central Daylight Time),0
A,1316405414104,train,1,[-2 1 0],1 3 10,3,439 1561 1376,51 50 32,0 1,3376,90,1565112154.746,Tue Aug 06 2019 12:22:34 GMT-0500 (Central Daylight Time),0
A,1316405414104,train,1,[1 -1 0],1 3 9,3,355 1100 1490,51 51 32,0 1,2945,0,1565112157.972,Tue Aug 06 2019 12:22:37 GMT-0500 (Central Daylight Time),0
A,1316405414104,train,1,[1 -2 0],1 3 10,3,320 1119 1481,51 50 32,0 1,2920,-180,1565112161.194,Tue Aug 06 2019 12:22:41 GMT-0500 (Central Daylight Time),0
A,1316405414104,train,1,[1 -1 0],1 3 8,3,485 1237 1467,51 49 32,0 1,3189,90,1565112164.61,Tue Aug 06 2019 12:22:44 GMT-0500 (Central Daylight Time),0
