group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,1090606023322,train,1,[0 -1 1],1 2 7,3,1417 4611 5090,50 51 32,0 1,11118,0,1565021408.924,Mon Aug 05 2019 13:10:08 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -2 1],1 4 12,3,842 3687 3523,49 51 32,0 1,8052,100,1565021417.979,Mon Aug 05 2019 13:10:17 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -1],1 4 11,3,1102 2663 2025,49 50 32,0 1,5790,0,1565021424.456,Mon Aug 05 2019 13:10:24 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -2 1],1 4 13,3,1202 1380 2189,49 49 32,0 1,4771,-20,1565021429.683,Mon Aug 05 2019 13:10:29 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -1 1],1 2 6,3,823 1747 1950,50 49 32,0 1,4520,-100,1565021435.013,Mon Aug 05 2019 13:10:35 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -1],1 2 5,3,671 1372 1553,50 50 32,0 1,3596,-10,1565021439.154,Mon Aug 05 2019 13:10:39 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -2],1 2 7,3,611 1330 1864,50 51 32,0 1,3805,-70,1565021443.449,Mon Aug 05 2019 13:10:43 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -2 1],1 3 10,3,519 1354 1960,51 49 32,0 1,3833,90,1565021447.857,Mon Aug 05 2019 13:10:47 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -1 1],1 3 10,3,423 1309 1439,51 49 32,0 1,3171,90,1565021451.989,Mon Aug 05 2019 13:10:51 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -2 1],1 3 8,3,500 1275 1660,51 50 32,0 1,3435,-180,1565021456.04,Mon Aug 05 2019 13:10:56 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -2],1 3 9,3,398 1296 1604,51 51 32,0 1,3298,-100,1565021460.508,Mon Aug 05 2019 13:11:00 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -1 1],1 4 12,3,441 1309 1727,49 51 32,0 1,3477,100,1565021464.553,Mon Aug 05 2019 13:11:04 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -2 1],1 4 12,3,408 1322 1279,49 51 32,0 1,3009,100,1565021468.766,Mon Aug 05 2019 13:11:08 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -2 1],1 4 12,3,687 1276 1606,49 51 32,0 1,3569,100,1565021474.251,Mon Aug 05 2019 13:11:14 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -2 1],1 4 12,3,455 1337 1402,49 51 32,0 1,3194,100,1565021478.261,Mon Aug 05 2019 13:11:18 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -1],1 4 12,3,393 1288 1343,49 51 32,0 1,3024,-100,1565021482.147,Mon Aug 05 2019 13:11:22 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -1 1],1 4 12,3,403 1331 1293,49 51 32,0 1,3027,100,1565021485.991,Mon Aug 05 2019 13:11:25 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -2 1],1 4 12,3,518 1249 1457,49 51 32,0 1,3224,100,1565021489.658,Mon Aug 05 2019 13:11:29 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -1 1],1 4 12,3,558 1278 1261,49 51 32,0 1,3097,100,1565021493.102,Mon Aug 05 2019 13:11:33 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -1],1 4 12,3,495 1251 1266,49 51 32,0 1,3012,-100,1565021496.339,Mon Aug 05 2019 13:11:36 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -1],1 4 12,3,2133 1698 1727,49 51 32,0 1,5558,-100,1565021502.131,Mon Aug 05 2019 13:11:42 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -1 1],1 4 13,3,574 1278 1430,49 49 32,0 1,3282,-10,1565021505.887,Mon Aug 05 2019 13:11:45 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -2],1 3 10,3,386 1292 1524,51 49 32,0 1,3202,-180,1565021509.871,Mon Aug 05 2019 13:11:49 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -2],1 3 8,3,344 1336 1567,51 50 32,0 1,3247,90,1565021513.817,Mon Aug 05 2019 13:11:53 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -1],1 3 8,3,421 1283 1614,51 50 32,0 1,3318,90,1565021517.714,Mon Aug 05 2019 13:11:57 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -2],1 3 8,3,421 1272 1253,51 50 32,0 1,2946,90,1565021521.421,Mon Aug 05 2019 13:12:01 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -2 1],1 3 8,3,420 1280 1347,51 50 32,0 1,3047,-180,1565021524.964,Mon Aug 05 2019 13:12:04 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -1],1 3 10,3,859 1196 1614,51 49 32,0 1,3669,-90,1565021528.854,Mon Aug 05 2019 13:12:08 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -1 1],1 3 9,3,461 1290 1598,51 51 32,0 1,3349,0,1565021532.519,Mon Aug 05 2019 13:12:12 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -2 1],1 4 13,3,404 1279 1470,49 49 32,0 1,3153,-20,1565021536.424,Mon Aug 05 2019 13:12:16 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -1],1 4 11,3,382 1285 1626,49 50 32,0 1,3293,0,1565021540.004,Mon Aug 05 2019 13:12:20 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -2],1 4 12,3,326 1275 1404,49 51 32,0 1,3005,-200,1565021543.278,Mon Aug 05 2019 13:12:23 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -2 1],1 2 6,3,238 1396 1452 319,50 49 50 32,0 1,3405,-200,1565021546.939,Mon Aug 05 2019 13:12:26 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -1 1],1 2 5,3,390 1244 1782,50 50 32,0 1,3416,10,1565021550.694,Mon Aug 05 2019 13:12:30 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -2],1 2 7,3,435 1301 1484,50 51 32,0 1,3220,-70,1565021554.209,Mon Aug 05 2019 13:12:34 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -1],1 2 5,3,210 1307 1414,50 50 32,0 1,2931,-10,1565021557.361,Mon Aug 05 2019 13:12:37 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -2 1],1 4 12,3,608 1290 1415,49 51 32,0 1,3313,100,1565021561.001,Mon Aug 05 2019 13:12:41 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -2],1 4 12,3,392 1383 1351,49 51 32,0 1,3126,-200,1565021564.311,Mon Aug 05 2019 13:12:44 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -2],1 2 5,3,5308 1346 3562,50 50 32,0 1,10216,-20,1565021574.831,Mon Aug 05 2019 13:12:54 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -2 1],1 4 12,3,3089 1420 3521,49 51 32,0 1,8030,100,1565021583.125,Mon Aug 05 2019 13:13:03 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -1],1 4 11,3,2708 1320 1732,49 50 32,0 1,5760,0,1565021589.206,Mon Aug 05 2019 13:13:09 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -1],1 4 13,3,460 1526 2937,49 49 32,0 1,4923,10,1565021594.423,Mon Aug 05 2019 13:13:14 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -2],1 4 11,3,2242 1397 1655,49 50 32,0 1,5294,0,1565021600.072,Mon Aug 05 2019 13:13:20 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -1 1],1 3 10,3,3318 1323 2969,51 49 32,0 1,7610,90,1565021607.951,Mon Aug 05 2019 13:13:27 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -2 1],1 3 10,3,2213 1318 1584,51 49 32,0 1,5115,90,1565021613.559,Mon Aug 05 2019 13:13:33 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -1],1 4 13,3,3453 1835 1915,49 49 32,0 1,7203,10,1565021621.011,Mon Aug 05 2019 13:13:41 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -1 1],1 4 11,3,2535 2532 1906,49 50 32,0 1,6973,0,1565021628.345,Mon Aug 05 2019 13:13:48 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -1],1 4 13,3,6396 1590 1915,49 49 32,0 1,9901,10,1565021638.916,Mon Aug 05 2019 13:13:58 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -1],1 2 5,3,2900 1292 2301,50 50 32,0 1,6493,-10,1565021645.794,Mon Aug 05 2019 13:14:05 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -2],1 4 12,3,541 1878 1515,49 51 32,0 1,3934,-200,1565021650.016,Mon Aug 05 2019 13:14:10 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -2],1 2 6,3,828 1475 5705,50 49 32,0 1,8008,100,1565021658.319,Mon Aug 05 2019 13:14:18 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -1 1],1 4 12,3,2359 1396 1651,49 51 32,0 1,5406,100,1565021664.143,Mon Aug 05 2019 13:14:24 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -1 1],1 4 12,3,2149 1365 1450,49 51 32,0 1,4964,100,1565021669.373,Mon Aug 05 2019 13:14:29 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -2],1 2 6,3,2801 1305 1550,50 49 32,0 1,5656,100,1565021675.3,Mon Aug 05 2019 13:14:35 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -2],1 2 6,3,1722 1360 1429,50 49 32,0 1,4511,100,1565021680.059,Mon Aug 05 2019 13:14:40 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -2 1],1 4 12,3,1267 1321 1366,49 51 32,0 1,3954,100,1565021684.399,Mon Aug 05 2019 13:14:44 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 1 -2],1 2 6,3,1536 1305 1349,50 49 32,0 1,4190,100,1565021688.806,Mon Aug 05 2019 13:14:48 GMT-0300 (hora estándar de Argentina),0
A,1090606023322,train,1,[0 -2 1],1 2 6,3,1145 1344 1297,50 49 32,0 1,3786,-200,1565021692.822,Mon Aug 05 2019 13:14:52 GMT-0300 (hora estándar de Argentina),0
