group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,1542867002544,train,1,[1 -2 0],1 3 9,3,2541 4207 5249,49 50 32,0 1,11997,-100,1565270990.282,Thu Aug 08 2019 09:29:50 GMT-0400 (Eastern Daylight Time),0
A,1542867002544,train,1,[-2 1 0],1 2 7,3,2897 2814 2961,51 49 32,0 1,8672,-70,1565271000.827,Thu Aug 08 2019 09:30:00 GMT-0400 (Eastern Daylight Time),0
A,1542867002544,train,1,[-1 1 0],1 4 13,3,1329 2230 2077,50 50 32,0 1,5636,-10,1565271008.172,Thu Aug 08 2019 09:30:08 GMT-0400 (Eastern Daylight Time),0
A,1542867002544,train,1,[1 -2 0],1 2 6,3,1150 3169 7551,51 51 32,0 1,11870,100,1565271021.001,Thu Aug 08 2019 09:30:21 GMT-0400 (Eastern Daylight Time),0
A,1542867002544,train,1,[-2 1 0],1 3 8,3,1215 1584 1524,49 49 32,0 1,4323,-20,1565271027.404,Thu Aug 08 2019 09:30:27 GMT-0400 (Eastern Daylight Time),0
A,1542867002544,train,1,[-1 1 0],1 4 13,3,1088 2223 1521,50 50 32,0 1,4832,-10,1565271032.969,Thu Aug 08 2019 09:30:32 GMT-0400 (Eastern Daylight Time),0
A,1542867002544,train,1,[-1 1 0],1 2 7,3,1038 2097 2032,51 49 32,0 1,5167,0,1565271039.369,Thu Aug 08 2019 09:30:39 GMT-0400 (Eastern Daylight Time),0
A,1542867002544,train,1,[1 -1 0],1 4 11,3,1265 2015 1728,50 51 32,0 1,5008,0,1565271061.144,Thu Aug 08 2019 09:31:01 GMT-0400 (Eastern Daylight Time),0
A,1542867002544,train,1,[-2 1 0],1 4 12,3,880 4431 1761,50 49 32,0 1,7072,100,1565271071.849,Thu Aug 08 2019 09:31:11 GMT-0400 (Eastern Daylight Time),0
A,1542867002544,train,1,[-2 1 0],1 2 5,3,1151 2546 1678,51 50 32,0 1,5375,10,1565271080.168,Thu Aug 08 2019 09:31:20 GMT-0400 (Eastern Daylight Time),0
A,1542867002544,train,1,[1 -1 0],1 4 12,3,1119 1794 1615,50 49 32,0 1,4528,-100,1565271085.608,Thu Aug 08 2019 09:31:25 GMT-0400 (Eastern Daylight Time),0
A,1542867002544,train,1,[-2 1 0],1 4 13,3,669 1695 52049,50 50 32,0 1,54413,-20,1565271140.728,Thu Aug 08 2019 09:32:20 GMT-0400 (Eastern Daylight Time),0
A,1542867002544,train,1,[1 -2 0],1 3 9,3,1201 1599 1569,49 50 32,0 1,4369,-100,1565271146.344,Thu Aug 08 2019 09:32:26 GMT-0400 (Eastern Daylight Time),0
A,1542867002544,train,1,[-2 1 0],1 3 8,3,625 1455 1600,49 49 32,0 1,3680,-20,1565271150.856,Thu Aug 08 2019 09:32:30 GMT-0400 (Eastern Daylight Time),0
A,1542867002544,train,1,[1 -1 0],1 4 13,3,880 1694 1408,50 50 32,0 1,3982,10,1565271156.023,Thu Aug 08 2019 09:32:36 GMT-0400 (Eastern Daylight Time),0
A,1542867002544,train,1,[-1 1 0],1 4 13,3,449 1439 1505,50 50 32,0 1,3393,-10,1565271160.072,Thu Aug 08 2019 09:32:40 GMT-0400 (Eastern Daylight Time),0
A,1542867002544,train,1,[1 -1 0],1 4 11,3,468 1436 1537,50 51 32,0 1,3441,0,1565271164.168,Thu Aug 08 2019 09:32:44 GMT-0400 (Eastern Daylight Time),0
A,1542867002544,train,1,[1 -2 0],1 4 13,3,512 1391 1521,50 50 32,0 1,3424,10,1565271168.024,Thu Aug 08 2019 09:32:48 GMT-0400 (Eastern Daylight Time),0
