group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,1278337665401,train,1,[-1 1 0],1 4 12,3,5637 16620 13017 3486,51 50 49 32,0 1,38760,100,1565801209.453,Wed Aug 14 2019 11:46:49 GMT-0500 (Central Daylight Time),2
A,1278337665401,train,1,[-1 1 0],1 2 5,3,9029 1835 2925 4261,50 32 49 32,0 2,18050,10,1565801232.452,Wed Aug 14 2019 11:47:12 GMT-0500 (Central Daylight Time),2
A,1278337665401,train,1,[-2 1 0],1 2 6,3,2505 3786 3655,50 50 32,0 1,9946,-200,1565801243.822,Wed Aug 14 2019 11:47:23 GMT-0500 (Central Daylight Time),2
A,1278337665401,train,1,[-1 1 0],1 4 11,3,1901 3388 2414,51 51 32,0 1,7703,-20,1565801253.856,Wed Aug 14 2019 11:47:33 GMT-0500 (Central Daylight Time),2
A,1278337665401,train,1,[-2 1 0],1 3 10,3,1580 4670 2805,49 50 32,0 1,9055,90,1565801264.123,Wed Aug 14 2019 11:47:44 GMT-0500 (Central Daylight Time),2
A,1278337665401,train,1,[1 -1 0],1 4 13,3,1475 3022 2611,51 49 32,0 1,7108,10,1565801272.242,Wed Aug 14 2019 11:47:52 GMT-0500 (Central Daylight Time),2
A,1278337665401,train,1,[-2 1 0],1 3 8,3,2489 3220 1257,49 51 32,0 1,6966,-180,1565801281.663,Wed Aug 14 2019 11:48:01 GMT-0500 (Central Daylight Time),2
A,1278337665401,train,1,[1 -2 0],1 3 9,3,1489 1175 3927 2060,49 32 49 32,0 2,8651,-150,1565801291.81,Wed Aug 14 2019 11:48:11 GMT-0500 (Central Daylight Time),2
A,1278337665401,train,1,[-2 1 0],1 2 7,3,1579 4376 2229,50 51 32,0 1,8184,-70,1565801301.323,Wed Aug 14 2019 11:48:21 GMT-0500 (Central Daylight Time),2
A,1278337665401,train,1,[1 -2 0],1 4 12,3,3357 2669 1902,51 50 32,0 1,7928,-200,1565801311.151,Wed Aug 14 2019 11:48:31 GMT-0500 (Central Daylight Time),2
A,1278337665401,train,1,[1 -2 0],1 2 7,3,1763 1279 1601 2131,50 32 51 32,0 2,6774,-70,1565801318.827,Wed Aug 14 2019 11:48:38 GMT-0500 (Central Daylight Time),2
