,1.00
AOTCPS24JM5DQ,0.00
A1KFUXSVGSHL5Z,0.90
A2541C8MY0BYV3,0.00
A2W5RJFHZRE8IS,0.00
A1TLNLB9D87H6,0.00
A3UEJQ4EJB9DBD,0.00
A3UIDRGBV9NJWR,0.90
ALDQRWYZ8KQ9A,1.00
A3A4HFNK0DMWIZ,0.00
A36TE52PSYAAD6,1.00
ATYGSK8FR2JX8,0.90
A3FQDPUAXJB0BS,0.90
ACZCX0BDOL5CK,1.00
A2GG7HIO2OIXUR,1.00
A2XMFTY9WB05U6,0.00
A1S7WGRS6BVBGW,0.10
A3MXB3R0R9G9TA,1.00
A35P2RX8HKZM96,0.00
A2P53AN2M8IWFP,0.00
A35C12CR628WKD,0.00
A1VE6XGZ47GGS,0.00
A23PQPECIUVKHC,0.00
A2MOC4PTJYY15B,0.00
A26M997VYVK0E6,0.00
AV7A20KYBTQHL,0.90
A1V4IGF2OD43ZT,1.00
A1KHRQ121JTDF6,1.00
A1YUK67SL5TWT0,1.00
ADR5NXD0FGONS,0.00
A1B4778ETVFAL8,1.00
A308FEI88TJ8WV,0.00
A2HA7R3TR3TR1A,0.10
A2B7A7NSC8GW3T,0.00
A1ROEDVMTO9Y3X,0.00
A2RHE12CJSKCRE,0.00
A1D4A0N1ZJ3D6G,1.00
A20W9ZCV1YTGEM,1.00
A49A0FF6ZXYDU,1.00
A3OVGQIGX8BAB4,1.00
ALZVG5501Y5IX,0.90
A2SJC9VRBGNC58,0.00
AL0KMCU5KVUM4,1.00
AEBMA5BAWFBMJ,0.00
A3DFJV1RD653DQ,1.00
ADF5F7Z0SP0B3,0.00
A24LB89P1BPKKF,0.00
A28IXG60KOFF4U,0.00
A82VN0BRUIMNO,0.00
A1BHR5XQ16T7LA,1.00
A2QUQ0S2F6K3QJ,1.00
A28TXHXPVNZ0KN,0.00
AKZD89B2WLSX7,0.00
A1KET5Z038NMWD,1.00
A2PUL3ZDXOW0VZ,0.90
A22IIMLQ7K4B3M,0.90
A27HGM9SULA4BC,0.90
A6JKKANO7F4KD,0.90
AZNIEFUIVB2H0,0.00
A1ZJLRH64XQTUV,0.00
A3QC57KUVJP5EW,1.00
ALAEBEEHK525U,0.20
A107RJSS561Y7R,1.00
AZNFEOC5WRHZP,0.00
A3I7SE4FUXGSUL,1.00
A3BU6QQUL1R5OT,0.00
A36O6HP64YFT2Y,1.00
A1UCB0D27PY623,1.00
AGDJB8B8CDZ71,0.00
A3ICFFGBUY4WP9,0.00
A2YGAEODJ5SSF6,0.00
A2QX2B50DM45E2,1.00
A250FES5PFCGK9,1.00
A3LVLZS8S41ZD7,0.00
A32QWM7BWCSPTS,0.90
A1GCTKOPKUTW3G,1.00
A2IP3ZAFYGV8M9,1.00
A2J5N770I859WE,0.10
A2QG8DGOPT6F9P,0.90
A1LA6CIGBNDOH9,1.00
A1QHSVICE056JI,0.00
A3GOR38ZREUSKR,0.00
A3EZ3BRM1C5WKV,0.90
A19UBZFVUWL1ES,0.10
AR2BDL1QQGN53,0.00
A3T261G50BC85B,0.00
AY7WPVKHVNBLG,0.00
A3G55RJTW3BSGM,1.00
A3CXK1KSRGU27V,1.00
AZXHJOJDNOKY9,0.00
A239EUWY6SNDEZ,0.00
A2TVJTQ4VXATE6,0.10
AM8OWAW9TUVLN,1.00
A2S4YDJ9UGAXFQ,0.00
A90G0G4SJ26BM,1.00
AMHUDJ44HF1ZH,0.00
A18XFOKU5G1OL1,0.00
A1YC558J4E5KZ,1.00
A2658LN9LNAR1D,0.00
A1NR3COO33J99C,1.00
A2ZQCHONMAJZF,0.00
