group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,1594262967881,train,1,[1 -1 0],1 4 13,3,3426 17276 6007,50 49 32,0 1,26709,10,1565952549.809,Fri Aug 16 2019 06:49:09 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -2 0],1 3 10,3,2111 1406 1003 2745 1216,49 32 49 50 32,0 2,8481,-20,1565952560.654,Fri Aug 16 2019 06:49:20 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -2 0],1 2 5,3,1569 5171 2794,51 50 32,0 1,9534,-30,1565952572.089,Fri Aug 16 2019 06:49:32 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[-2 1 0],1 2 6,3,387 413 3084 3057,32 51 49 32,1 2,6941,-200,1565952580.914,Fri Aug 16 2019 06:49:40 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[-1 1 0],1 2 7,3,587 3614 1119 3386,51 32 51 32,0 2,8706,0,1565952591.72,Fri Aug 16 2019 06:49:51 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[-1 1 0],1 2 7,3,837 1682 969 5803,51 32 51 32,0 2,9291,0,1565952602.219,Fri Aug 16 2019 06:50:02 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -1 0],1 2 7,3,574 1962 2964,51 51 32,0 1,5500,0,1565952608.522,Fri Aug 16 2019 06:50:08 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[-1 1 0],1 3 10,3,439 2366 2642,49 49 32,0 1,5447,10,1565952616.481,Fri Aug 16 2019 06:50:16 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[-2 1 0],1 3 10,3,538 1728 4550,49 49 32,0 1,6816,10,1565952624.69,Fri Aug 16 2019 06:50:24 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[-2 1 0],1 3 10,3,671 1785 4226,49 49 32,0 1,6682,10,1565952632.102,Fri Aug 16 2019 06:50:32 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -1 0],1 3 10,3,805 1771 2767,49 49 32,0 1,5343,-10,1565952638.741,Fri Aug 16 2019 06:50:38 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -2 0],1 2 7,3,1322 2071 5552,51 51 32,0 1,8945,-70,1565952648.977,Fri Aug 16 2019 06:50:48 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -1 0],1 4 12,3,583 2137 3884,50 50 32,0 1,6604,-100,1565952656.322,Fri Aug 16 2019 06:50:56 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -1 0],1 3 10,3,567 2374 2618,49 49 32,0 1,5559,-10,1565952663.058,Fri Aug 16 2019 06:51:03 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[-2 1 0],1 4 12,3,534 1828 3235,50 50 32,0 1,5597,100,1565952670.646,Fri Aug 16 2019 06:51:10 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -1 0],1 4 12,3,677 1996 2476,50 50 32,0 1,5149,-100,1565952677.025,Fri Aug 16 2019 06:51:17 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -1 0],1 3 10,3,583 2562 1929,49 49 32,0 1,5074,-10,1565952683.301,Fri Aug 16 2019 06:51:23 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -2 0],1 3 10,3,535 1968 1658,49 49 32,0 1,4161,-20,1565952688.715,Fri Aug 16 2019 06:51:28 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -1 0],1 4 12,3,414 1833 1964,50 50 32,0 1,4211,-100,1565952694.64,Fri Aug 16 2019 06:51:34 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -2 0],1 4 12,3,1279 1752 1886,50 50 32,0 1,4917,-200,1565952701.022,Fri Aug 16 2019 06:51:41 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[-1 1 0],1 4 12,3,599 1867 2401,50 50 32,0 1,4867,100,1565952707.018,Fri Aug 16 2019 06:51:47 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -2 0],1 4 12,3,594 2134 2143,50 50 32,0 1,4871,-200,1565952712.736,Fri Aug 16 2019 06:51:52 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[-2 1 0],1 4 12,3,601 2317 2044,50 50 32,0 1,4962,100,1565952719.276,Fri Aug 16 2019 06:51:59 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -1 0],1 4 12,3,640 2048 1814,50 50 32,0 1,4502,-100,1565952724.956,Fri Aug 16 2019 06:52:04 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -1 0],1 3 10,3,469 1625 2149,49 49 32,0 1,4243,-10,1565952732.256,Fri Aug 16 2019 06:52:12 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -1 0],1 3 10,3,650 1672 2490,49 49 32,0 1,4812,-10,1565952738.848,Fri Aug 16 2019 06:52:18 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -2 0],1 3 10,3,865 2094 2276,49 49 32,0 1,5235,-20,1565952745.29,Fri Aug 16 2019 06:52:25 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[-2 1 0],1 4 12,3,595 1811 2472,50 50 32,0 1,4878,100,1565952751.637,Fri Aug 16 2019 06:52:31 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[-2 1 0],1 4 12,3,1472 2313 1796,50 50 32,0 1,5581,100,1565952758.666,Fri Aug 16 2019 06:52:38 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -1 0],1 3 10,3,360 1945 1702,49 49 32,0 1,4007,-10,1565952764.18,Fri Aug 16 2019 06:52:44 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -2 0],1 2 7,3,334 1759 2099,51 51 32,0 1,4192,-70,1565952769.921,Fri Aug 16 2019 06:52:49 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[-2 1 0],1 4 12,3,377 1998 2637,50 50 32,0 1,5012,100,1565952776.81,Fri Aug 16 2019 06:52:56 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -2 0],1 3 10,3,459 1977 2173,49 49 32,0 1,4609,-20,1565952782.947,Fri Aug 16 2019 06:53:02 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -2 0],1 4 12,3,544 2044 2249,50 50 32,0 1,4837,-200,1565952788.798,Fri Aug 16 2019 06:53:08 GMT-0400 (Eastern Daylight Time),2
A,1594262967881,train,1,[1 -2 0],1 3 10,3,1391 1801 1587,49 49 32,0 1,4779,-20,1565952794.476,Fri Aug 16 2019 06:53:14 GMT-0400 (Eastern Daylight Time),2
