group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,1543139589078,train,1,[-1 1 0],1 2 6,3,1494 5039 4736,49 49 32,0 1,11269,-100,1566166656.67,Sun Aug 18 2019 15:17:36 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 2 7,3,2333 2636 4366,49 50 32,0 1,9335,0,1566166671.574,Sun Aug 18 2019 15:17:51 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,2242 1342 4103,49 49 32,0 1,7687,100,1566166682.136,Sun Aug 18 2019 15:18:02 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,743 1814 4205,49 49 32,0 1,6762,100,1566166692.995,Sun Aug 18 2019 15:18:12 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,583 1339 1558,49 49 32,0 1,3480,100,1566166699.686,Sun Aug 18 2019 15:18:19 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,450 1309 1657,49 49 32,0 1,3416,100,1566166706.259,Sun Aug 18 2019 15:18:26 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,685 1472 2316,49 49 32,0 1,4473,100,1566166712.795,Sun Aug 18 2019 15:18:32 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,430 1222 1523,49 49 32,0 1,3175,100,1566166718.2,Sun Aug 18 2019 15:18:38 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 2 6,3,2092 1435 2576,49 49 32,0 1,6103,-100,1566166726.336,Sun Aug 18 2019 15:18:46 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 2 7,3,985 1352 5728,49 50 32,0 1,8065,-40,1566166737.603,Sun Aug 18 2019 15:18:57 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,470 1334 1843,49 49 32,0 1,3647,100,1566166743.528,Sun Aug 18 2019 15:19:03 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,451 1450 1565,49 49 32,0 1,3466,100,1566166748.723,Sun Aug 18 2019 15:19:08 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,406 1654 1512,49 49 32,0 1,3572,100,1566166754.179,Sun Aug 18 2019 15:19:14 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,530 1405 2007,49 49 32,0 1,3942,100,1566166759.139,Sun Aug 18 2019 15:19:19 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 13,3,1322 4748 4588,50 49 32,0 1,10658,-20,1566166772.287,Sun Aug 18 2019 15:19:32 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 12,3,822 1432 3459,50 50 32,0 1,5713,100,1566166780.377,Sun Aug 18 2019 15:19:40 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,2041 1303 1928,49 49 32,0 1,5272,100,1566166787.011,Sun Aug 18 2019 15:19:47 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 12,3,773 1324 1650,50 50 32,0 1,3747,100,1566166792.726,Sun Aug 18 2019 15:19:52 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,490 1197 1993,49 49 32,0 1,3680,100,1566166797.956,Sun Aug 18 2019 15:19:57 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 12,3,1951 1356 1504,50 50 32,0 1,4811,100,1566166803.852,Sun Aug 18 2019 15:20:03 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,432 1381 1718,49 49 32,0 1,3531,100,1566166808.671,Sun Aug 18 2019 15:20:08 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,438 1346 5435,49 49 32,0 1,7219,100,1566166817.362,Sun Aug 18 2019 15:20:17 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 12,3,347 1318 1434,50 50 32,0 1,3099,100,1566166821.784,Sun Aug 18 2019 15:20:21 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 12,3,457 1325 1552,50 50 32,0 1,3334,100,1566166826.977,Sun Aug 18 2019 15:20:26 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,472 1323 1794,49 49 32,0 1,3589,100,1566166832.136,Sun Aug 18 2019 15:20:32 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 12,3,449 1373 3190,50 50 32,0 1,5012,100,1566166838.424,Sun Aug 18 2019 15:20:38 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 12,3,353 1342 2425,50 50 32,0 1,4120,100,1566166844.522,Sun Aug 18 2019 15:20:44 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 12,3,611 1334 1870,50 50 32,0 1,3815,100,1566166849.899,Sun Aug 18 2019 15:20:49 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 12,3,435 1355 2287,50 50 32,0 1,4077,100,1566166860.901,Sun Aug 18 2019 15:21:00 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 12,3,3604 1276 1768,50 50 32,0 1,6648,100,1566166868.79,Sun Aug 18 2019 15:21:08 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 12,3,462 1301 1649,50 50 32,0 1,3412,100,1566166873.258,Sun Aug 18 2019 15:21:13 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 12,3,1342 1325 2021,50 50 32,0 1,4688,100,1566166880.087,Sun Aug 18 2019 15:21:20 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,385 1348 2196,49 49 32,0 1,3929,100,1566166885.281,Sun Aug 18 2019 15:21:25 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 12,3,460 1308 2965,50 50 32,0 1,4733,100,1566166891.27,Sun Aug 18 2019 15:21:31 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,319 1190 1686,49 49 32,0 1,3195,100,1566166896.166,Sun Aug 18 2019 15:21:36 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,443 1277 1447,49 49 32,0 1,3167,100,1566166903.609,Sun Aug 18 2019 15:21:43 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,391 1283 1533,49 49 32,0 1,3207,100,1566166908.301,Sun Aug 18 2019 15:21:48 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,887 1251 8895,49 49 32,0 1,11033,100,1566166920.087,Sun Aug 18 2019 15:22:00 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,454 1409 1676,49 49 32,0 1,3539,100,1566166925.245,Sun Aug 18 2019 15:22:05 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 12,3,357 1325 1358,50 50 32,0 1,3040,100,1566166929.412,Sun Aug 18 2019 15:22:09 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,217 1240 1644,49 49 32,0 1,3101,100,1566166933.714,Sun Aug 18 2019 15:22:13 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,1664 1319 1948,49 49 32,0 1,4931,100,1566166940.299,Sun Aug 18 2019 15:22:20 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,408 1591 1908,49 49 32,0 1,3907,100,1566166945.326,Sun Aug 18 2019 15:22:25 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 12,3,397 1333 2075,50 50 32,0 1,3805,100,1566166951.781,Sun Aug 18 2019 15:22:31 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 12,3,341 1558 1442,50 50 32,0 1,3341,100,1566166956.186,Sun Aug 18 2019 15:22:36 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,270 1665 1692,49 49 32,0 1,3627,100,1566166960.835,Sun Aug 18 2019 15:22:40 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 12,3,413 1591 4312,50 50 32,0 1,6316,100,1566166968.289,Sun Aug 18 2019 15:22:48 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 12,3,214 1559 1808,50 50 32,0 1,3581,100,1566166973.631,Sun Aug 18 2019 15:22:53 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 12,3,267 1506 1714,50 50 32,0 1,3487,100,1566166978.188,Sun Aug 18 2019 15:22:58 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,297 1338 3463,49 49 32,0 1,5098,100,1566166984.168,Sun Aug 18 2019 15:23:04 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 12,3,309 1367 1869,50 50 32,0 1,3545,100,1566166989.363,Sun Aug 18 2019 15:23:09 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 12,3,341 1282 1598,50 50 32,0 1,3221,100,1566166993.917,Sun Aug 18 2019 15:23:13 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 12,3,233 1357 1440,50 50 32,0 1,3030,100,1566166998.44,Sun Aug 18 2019 15:23:18 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,416 1288 2322,49 49 32,0 1,4026,100,1566167007.428,Sun Aug 18 2019 15:23:27 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 12,3,293 1529 1524,50 50 32,0 1,3346,100,1566167011.597,Sun Aug 18 2019 15:23:31 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 13,3,1684 2039 1909,50 49 32,0 1,5632,-10,1566167017.799,Sun Aug 18 2019 15:23:37 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 12,3,872 1368 11384,50 50 32,0 1,13624,100,1566167032.999,Sun Aug 18 2019 15:23:52 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 12,3,495 2213 1675,50 50 32,0 1,4383,100,1566167043.945,Sun Aug 18 2019 15:24:03 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,418 1573 1542,49 49 32,0 1,3533,100,1566167048.517,Sun Aug 18 2019 15:24:08 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,418 1323 1403,49 49 32,0 1,3144,100,1566167052.933,Sun Aug 18 2019 15:24:12 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,355 1297 1364,49 49 32,0 1,3016,100,1566167057.143,Sun Aug 18 2019 15:24:17 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,385 1300 1491,49 49 32,0 1,3176,100,1566167061.463,Sun Aug 18 2019 15:24:21 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 12,3,332 1887 1823,50 50 32,0 1,4042,100,1566167066.737,Sun Aug 18 2019 15:24:26 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 12,3,431 1302 1770,50 50 32,0 1,3503,100,1566167071.823,Sun Aug 18 2019 15:24:31 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 12,3,2134 1152 1615,50 50 32,0 1,4901,100,1566167077.568,Sun Aug 18 2019 15:24:37 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,536 4263 1800,49 49 32,0 1,6599,100,1566167085.474,Sun Aug 18 2019 15:24:45 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 12,3,996 1362 2110,50 50 32,0 1,4468,100,1566167091.044,Sun Aug 18 2019 15:24:51 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 12,3,306 1349 1372,50 50 32,0 1,3027,100,1566167095.218,Sun Aug 18 2019 15:24:55 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 12,3,304 1310 1528,50 50 32,0 1,3142,100,1566167099.372,Sun Aug 18 2019 15:24:59 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,247 1327 3566,49 49 32,0 1,5140,100,1566167105.848,Sun Aug 18 2019 15:25:05 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,267 1370 5186,49 49 32,0 1,6823,100,1566167114.641,Sun Aug 18 2019 15:25:14 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,282 1315 1597,49 49 32,0 1,3194,100,1566167119.291,Sun Aug 18 2019 15:25:19 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 12,3,316 1491 3807,50 50 32,0 1,5614,100,1566167125.93,Sun Aug 18 2019 15:25:25 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 12,3,493 1485 3761,50 50 32,0 1,5739,100,1566167133.713,Sun Aug 18 2019 15:25:33 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 2 6,3,449 1095 1025 1631,49 49 49 32,0 1,4200,-200,1566167139.063,Sun Aug 18 2019 15:25:39 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,439 1771 3818,49 49 32,0 1,6028,100,1566167147.162,Sun Aug 18 2019 15:25:47 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,1026 1340 2236,49 49 32,0 1,4602,100,1566167153.12,Sun Aug 18 2019 15:25:53 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 12,3,2172 1535 1485 1652,87 50 50 32,1 2,6844,100,1566167162.821,Sun Aug 18 2019 15:26:02 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,253 1408 2807,49 49 32,0 1,4468,100,1566167168.151,Sun Aug 18 2019 15:26:08 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 12,3,427 1412 4676,50 50 32,0 1,6515,100,1566167175.803,Sun Aug 18 2019 15:26:15 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,701 1335 1624,49 49 32,0 1,3660,100,1566167180.67,Sun Aug 18 2019 15:26:20 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 12,3,437 1361 1338,50 50 32,0 1,3136,100,1566167184.813,Sun Aug 18 2019 15:26:24 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 12,3,301 1293 1564,50 50 32,0 1,3158,100,1566167189.042,Sun Aug 18 2019 15:26:29 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,293 1586 3695,49 49 32,0 1,5574,100,1566167195.631,Sun Aug 18 2019 15:26:35 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 12,3,228 1293 2002,50 50 32,0 1,3523,100,1566167200.911,Sun Aug 18 2019 15:26:40 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,354 1322 1456,49 49 32,0 1,3132,100,1566167205.002,Sun Aug 18 2019 15:26:45 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-1 1 0],1 4 12,3,364 1348 1344,50 50 32,0 1,3056,100,1566167209.081,Sun Aug 18 2019 15:26:49 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,863 1295 1478,49 49 32,0 1,3636,100,1566167213.785,Sun Aug 18 2019 15:26:53 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,344 1276 1511,49 49 32,0 1,3131,100,1566167218.204,Sun Aug 18 2019 15:26:58 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -2 0],1 2 6,3,205 1073 2294,49 49 32,0 1,3572,100,1566167223.334,Sun Aug 18 2019 15:27:03 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,259 1261 1417,49 49 32,0 1,2937,100,1566167228.18,Sun Aug 18 2019 15:27:08 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,251 1281 1651,49 49 32,0 1,3183,100,1566167232.393,Sun Aug 18 2019 15:27:12 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 12,3,979 1854 2490,50 50 32,0 1,5323,100,1566167242.793,Sun Aug 18 2019 15:27:22 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,354 1373 1865,49 49 32,0 1,3592,100,1566167247.225,Sun Aug 18 2019 15:27:27 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,432 1415 5057,49 49 32,0 1,6904,100,1566167255.409,Sun Aug 18 2019 15:27:35 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 12,3,793 1117 2013,50 50 32,0 1,3923,100,1566167260.347,Sun Aug 18 2019 15:27:40 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 4 12,3,553 1300 1532,50 50 32,0 1,3385,100,1566167264.693,Sun Aug 18 2019 15:27:44 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,326 1309 1771,49 49 32,0 1,3406,100,1566167269.021,Sun Aug 18 2019 15:27:49 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[-2 1 0],1 2 6,3,6056 2038 1270 1650,66 49 49 32,1 2,11014,-200,1566167281.368,Sun Aug 18 2019 15:28:01 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,train,1,[1 -1 0],1 2 6,3,190 1301 1683,49 49 32,0 1,3174,100,1566167286.85,Sun Aug 18 2019 15:28:06 GMT-0700 (Pacific Daylight Time),0
A,1543139589078,test,1,[1 1 1],1 4 12,3,495 1407 2656,50 50 32,0 1,4558,160,1566167296.204,Sun Aug 18 2019 15:28:16 GMT-0700 (Pacific Daylight Time),0
