,0.00
A2WYCY1FMQOD5F,0.00
A1XGWE8U1D7O8,1.00
A2BTV5K5YMXMB8,1.00
AS4E902OXUO5Z,0.10
A3RUSZCTCN70EA,1.00
A3696JXTRKL2FI,1.00
A2GA29WTMFW2W,0.00
A1KS9OHP5553CF,0.90
A2C9M8T6UQCFP5,0.90
A5T9IFDZ3W4T6,0.90
A3QSJY1FFN0N6V,1.00
A3RQN5RZD1N2KP,1.00
A3L0DCUXI7X3A9,0.90
A2MCRVU8I9VNHG,0.10
A25CFVQND4A0EV,1.00
AA9SBG7LNCG8Q,1.00
A1QEQOI98976S0,0.90
A1Q995BGGPBDMB,1.00
A13USF28TRFLKR,1.00
AR5AV0OMG1SJU,1.00
A3APMO8WXVH1V0,1.00
A11EL5LWS2L1HX,0.90
A19F75QCU199K8,1.00
A1LII4M7CS6C9I,0.00
A19L8SNH73AX1Z,0.90
AK6K3ED4D1J8J,0.00
A2N0RWR3JTVBM0,0.00
A3RACQ7F0RX2V7,1.00
A1S2ADOW2KF0MG,1.00
A2OGCXGLS44ZAO,1.00
A1T208Y507O4RS,0.00
A1KXYURHCYHKOL,0.00
A2VNSNAN1LZBAM,0.00
ARFQ8FJRKCUZ6,0.00
AWAD71OKJYB2H,1.00
ARI1EMAHUA9PO,0.90
A3VRDQJNM1IC0E,0.00
AZ1YD13LDUYZF,0.00
A2W3A42TRMJ861,0.10
A2DFBJ46X6A3OE,0.90
AQA46IS6AUNA8,1.00
A8HSPSD88CUTS,0.90
A12XVSIL669PVI,0.90
A1NLW5ZS2WQR35,0.00
A30VLAIIJIG5IS,0.00
AJ92HAKEZ0RXB,0.90
A1CX684F5TEO5W,1.00
A1T9VHNIS0BETZ,0.00
A20SXG1DHDIDI7,1.00
AD1ILDUXZHASF,1.00
A35CL66BEUSJ5Z,0.00
A212OY08MFDGU3,0.90
A1GKD3NG1NNHRP,0.00
A1YGF0LJJGB30G,1.00
A2CKB0JMGY2VJM,0.90
A2E3TO92MCQ9XU,1.00
A18QU0YQB6Q8DF,1.00
A267GLM78AMQ75,1.00
A1QUQ0TV9KVD4C,0.00
ANNVWKERLZG9A,1.00
A3RHJEMZ4EGY2U,1.00
AYW62R027PUT1,1.00
A38QGJJOZANQ4B,1.00
A2UTDZAZV1DF0N,1.00
AOS2PVHT2HYTL,0.00
ABMH09TPJ72JW,0.90
A2WZ8ZEB00LYF7,0.10
A1RKGN3VY39TM1,0.00
A1VZSFHTU51JP0,0.90
A3V57BKH58EUIY,0.90
A351P2O6QGTCS,0.00
AWXIEV9H6KT9E,0.00
A2R0YYUAWNT7UD,0.10
A2YK3N7R4XIETV,0.90
APRZ7BR8C0ZMQ,0.90
A1ODA3Q5H6HTDQ,1.00
A3F51C49T9A34D,1.00
A1KH1O9AZ7S642,0.90
A1H72Y9Z5NJXDS,1.00
A1DGO1HBALAIJU,1.00
AEASOIPE6YBHK,1.00
A20EU0UH5K3VGE,0.90
AZLZA0Q87TJZO,0.90
A2KYOM2ZGYDJGT,1.00
A2QQ3FZXBM1SAX,0.10
A2RCYLKY072XXO,0.90
AQ6IRR0EOFP8Q,1.00
ARB80JPV0HQ5O,0.00
A3ECSOZE7L36IU,1.00
A26RO8GGTQAXGG,0.00
A3NKZMF7M4X0ZP,0.90
A1AZTE5W2MF1TU,1.00
A2SKXKH9YXZYRI,0.90
A18T7E73TNGOKP,0.00
ADAQIHMKC6NVC,0.90
A20SL254675EOK,0.90
A2BH7SMGLKJLI9,0.00
AW0MG225VXWCN,1.00
A2DOMBSKO75VV7,0.10
