group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,125593,train,1,[1 0 0],1 3 8,3,4822 8893 12192,97 99 32,0 1,25907,90,1551402425.029,Thu Feb 28 2019 20:07:05 GMT-0500 (Eastern Standard Time),0
A,125593,train,1,[0 1 0],1 4 13,3,4032 5366 3543 1024,98 98 98 32,0 1,13965,0,1551402440.454,Thu Feb 28 2019 20:07:20 GMT-0500 (Eastern Standard Time),0
A,125593,train,1,[1 0 0],1 3 9,3,2894 2081 2437,97 97 32,0 1,7412,80,1551402448.858,Thu Feb 28 2019 20:07:28 GMT-0500 (Eastern Standard Time),0
A,125593,train,1,[1 0 0],1 2 7,3,1903 2588 2408,99 99 32,0 1,6899,0,1551402459.374,Thu Feb 28 2019 20:07:39 GMT-0500 (Eastern Standard Time),0
A,125593,train,1,[1 0 0],1 3 10,3,1182 1898 1427,97 98 32,0 1,4507,0,1551402464.874,Thu Feb 28 2019 20:07:44 GMT-0500 (Eastern Standard Time),0
A,125593,train,1,[1 0 0],1 2 5,3,489 1336 2504,99 97 32,0 1,4329,0,1551402470.074,Thu Feb 28 2019 20:07:50 GMT-0500 (Eastern Standard Time),0
A,125593,train,1,[1 0 0],1 4 12,3,490 1730 1600,98 97 32,0 1,3820,0,1551402476.046,Thu Feb 28 2019 20:07:56 GMT-0500 (Eastern Standard Time),0
A,125593,train,1,[1 0 0],1 2 7,3,817 2172 1706,99 99 32,0 1,4695,0,1551402481.525,Thu Feb 28 2019 20:08:01 GMT-0500 (Eastern Standard Time),0
A,125593,train,1,[0 1 0],1 3 10,3,1250 504 1543 2057,32 97 98 32,1 2,5354,90,1551402487.629,Thu Feb 28 2019 20:08:07 GMT-0500 (Eastern Standard Time),0
A,125593,train,1,[0 1 0],1 4 11,3,765 2360 1756,98 99 32,0 1,4881,0,1551402493.175,Thu Feb 28 2019 20:08:13 GMT-0500 (Eastern Standard Time),0
A,125593,train,1,[1 0 0],1 2 6,3,633 1519 1605,99 98 32,0 1,3757,100,1551402497.437,Thu Feb 28 2019 20:08:17 GMT-0500 (Eastern Standard Time),0
A,125593,train,1,[0 1 0],1 3 10,3,729 1166 1596,97 98 32,0 1,3491,90,1551402501.638,Thu Feb 28 2019 20:08:21 GMT-0500 (Eastern Standard Time),0
A,125593,train,1,[1 0 0],1 2 7,3,526 1361 1801,99 99 32,0 1,3688,0,1551402505.954,Thu Feb 28 2019 20:08:25 GMT-0500 (Eastern Standard Time),0
A,125593,train,1,[1 0 0],1 4 13,3,520 1413 1811,98 98 32,0 1,3744,0,1551402510.572,Thu Feb 28 2019 20:08:30 GMT-0500 (Eastern Standard Time),0
A,125593,train,1,[0 1 0],1 2 5,3,786 1342 1440,99 97 32,0 1,3568,0,1551402517.001,Thu Feb 28 2019 20:08:37 GMT-0500 (Eastern Standard Time),0
A,125593,train,1,[0 1 0],1 4 13,3,502 3189 2200,98 98 32,0 1,5891,0,1551402524.696,Thu Feb 28 2019 20:08:44 GMT-0500 (Eastern Standard Time),0
A,125593,train,1,[1 0 0],1 3 9,3,1221 2458 1667,97 97 32,0 1,5346,80,1551402530.689,Thu Feb 28 2019 20:08:50 GMT-0500 (Eastern Standard Time),0
A,125593,train,1,[1 0 0],1 2 5,3,772 2176 1404,99 97 32,0 1,4352,0,1551402535.733,Thu Feb 28 2019 20:08:55 GMT-0500 (Eastern Standard Time),0
A,125593,train,1,[1 0 0],1 4 12,3,1936 1643 1560,98 97 32,0 1,5139,0,1551402542.513,Thu Feb 28 2019 20:09:02 GMT-0500 (Eastern Standard Time),0
